,freeforms
Plot What Plot/Porn Without Plot,16
Vaginal Fingering,12
Oral Sex,11
Cunnilingus,8
First Time,7
Mirror Universe,7
Polyamory,6
Lesbian Sex,6
Explicit Sexual Content,5
Smut,5
Sex Toys,5
PWP,4
Teasing,4
Exhibitionism,4
Voyeurism,4
Holodecks/Holosuites,4
Fluff and Smut,4
Bondage,4
Light Bondage,4
Dirty Talk,4
Occupation of Bajor,4
Multiple Orgasms,4
Past Rape/Non-con,3
Rare Pairings,3
Anal Sex,3
Aftercare,3
Established Relationship,3
Pregnant Sex,3
Tenderness,3
Masturbation,3
Pining,3
Semi-Public Sex,3
Vacation,3
Casual Sex,3
Mutual Pining,3
Massage,3
Light BDSM,3
Femslash February,3
Lesbians in Space,3
Spanking,3
Xenophilia,3
Femslash,3
Post-Episode: s07e12 The Emperor's New Cloak,2
Violence,2
Torture,2
Love Confessions,2
Squirting,2
Porn with Feelings,2
Alternate Universe - Canon Divergence,2
Gagh,2
Face-Sitting,2
Blindfolds,2
Interspecies Sex,2
Shower Sex,2
Self-cest,2
Office Sex,2
Friends With Benefits,2
Narcissism,2
AI Dungeon Generated,2
Xenophobia,2
Tender Sex,2
Surreal,2
Restraints,2
Public Masturbation,2
Hurt/Comfort,2
Sexual Fantasy,2
Bajorans,2
Drinking,2
Bajoran Culture,2
Explicit Language,2
Pregnancy,2
Mildly Dubious Consent,2
Double Penetration,2
Alternate Universe,2
Oo-mox,2
Watersports,2
Religious Guilt,2
Internalized Homophobia,2
Implied/Referenced Homophobia,2
Roleplay,2
Light Dom/sub,2
Anal Play,2
Comfort Sex,2
Rimming,2
Vaginal Sex,2
Biting,2
Orgasm Denial,2
Love,2
Slow Burn,2
Alien Sex,2
Porn,2
Tribadism,2
Threesome,2
Season/Series 04,2
Kissing,2
Trills,2
Infidelity,2
Threesome - F/M/M,2
Very Sacrilegious,1
sorry all i want to write on this website is smut upon smut upon smut,1
me working out my religious trauma idk,1
but not for the girls,1
Verbal Humiliation,1
it wasnt what i was going for but i think its sweet,1
Humiliation kink,1
Holodeck Sex,1
someone tell me,1
Did I Mention Very Sacrilegious,1
A Pinch of Angst,1
And a teaspoon of mutual pining,1
Jadzia and Kira show each other a good time,1
this turned out surprisingly tender,1
Fantasy,1
yes there are candles,1
actually idk is there a plot???,1
Wax Play,1
Fucking on the Altar,1
Everyone is having a good time,1
Gentle Sex,1
LETS GO LESBIANS,1
with a dash of fluff,1
BDSM,1
Dom/sub Play,1
reader's gender keeps changing due to weird space stuff,1
Sex,1
During Canon,1
Dancing,1
Canon,1
Breast Kissing,1
Bottom Kira Nerys,1
Ballroom Dancing,1
Questioning,1
Porn With Plot,1
Pansexual Character,1
Genderfluid Character,1
Genderfluid,1
Empath,1
Crossover Pairings,1
Crossover,1
Alcohol,1
time (in)appropriate attitudes toward sexual orientation,1
the rest of the tags are trigger warnings,1
romantic happy ending,1
references to Rwandan and Bosnian genocides,1
one graphic reminisce of non-sexual child abuse due to homophobia,1
many forms of love,1
Fluff,1
Post-Episode: s04e10 Our Man Bashir,1
Scissoring,1
Lesbian Kira Nerys,1
Reader-Insert,1
Kidney Theft,1
Moral Ambiguity,1
Missing Scene,1
Episode: s02e23 Crossover,1
Character Study,1
Angst and Porn,1
Trauma,1
Booty Calls,1
Denial of Feelings,1
Spies & Secret Agents,1
(to a ridiculous degree),1
(Just a little bit),1
Handcuffs,1
Dress Up,1
Double Drabble,1
kind of,1
Banter,1
based on a fan art,1
Top Jadzia Dax,1
it's minor tho,1
Alien Biology,1
quark is a masochist,1
Edging,1
Period-Typical Homophobia,1
Period Typical Attitudes,1
Episode: s06e13 Far Beyond the Stars,1
Very Large Breasts,1
Underage Sex-Slaves,1
Underage Sex,1
Sexual Slavery,1
Non-Consensual Body Modification,1
IQ Reduction,1
HuCow conversion,1
Forced Feminization,1
Don't Like Don't Read,1
Castration,1
Breast Enlargement,1
Romantic Friendship,1
Platonic Cuddling,1
Emotional Hurt/Comfort,1
Dubious Consent Due To Identity Issues,1
Awkward Crush,1
gaywakening,1
during an occupation there's no time to figure out your orientation,1
Fluff and Angst,1
Praise Kink,1
Consensual Kink,1
Enthusiastic Consent,1
Episode: s3e23 Family Business,1
Feelings about Nudity,1
Shibari,1
art and literature,1
Sharing a Bed,1
Medical Procedures,1
Manipulation,1
Introspection,1
making up things about trill and bajoran anatomy ;),1
it really is porn and no plot but also. they both realize they're in love,1
gays in space,1
Meet-Cute,1
Clothed Sex,1
Episode: s05e03 Looking for par'Mach in All the Wrong Places,1
Strong Female Characters,1
Spa Treatments,1
Pussy Worship,1
Pillow Talk,1
Non-Standard Genital Arrangements,1
Kink Scene,1
Getting to Know Each Other,1
Gender Role Reversal,1
Ferengi Genital Headcanon,1
Female Friendship,1
Female Empowerment,1
Femdom,1
Anal figging,1
quark is a sad sad Ferengi,1
actual history and places,1
For Science!,1
Shameless Smut,1
Post-Canon,1
The Holosuites Are For Porn,1
Holosuite Shenanigans,1
Babby's first E-rated fic,1
female prison,1
consuming Odo's liquid,1
Weirdness,1
Time travel man,1
Sexual Humor,1
Self-Insert,1
Odosports,1
NSFW Art,1
Light-Hearted,1
Frippertronics,1
Extremely Dubious Consent,1
somewhere in the fire caves Dukat is crying,1
Foursome - F/F/M/M,1
Fanfic of Fanfic,1
Dom/sub Undertones,1
Drabble,1
Canon What Canon,1
Water Sex,1
Because I can't not write him in it seems,1
ziyal has a dilf kink,1
Explicit Consent,1
unless of course you have the latinum to pay for an after alteration hours fitting,1
unhealthy relationship dynamics,1
they are all consenting adults idk wym this is abusive,1
the magic of a cardassian sauna holosuite program,1
the last two hours of garak's shop are purely consultation only,1
the everlasting tragedy of ziyal's ignorance,1
technically it's around closing in one of the completely closed dressing rooms,1
she is merely idealistic but that does not mean she is sheltered,1
in this house ziyal is empowered by her sexuality and desire to get bred,1
and benny sisko is a dilf if i ever saw one,1
a business tip from quark in exchange for information that truly has made a difference,1
Daddy Kink,1
Breeding Kink,1
smoking cigar with vagina,1
Triple Penetration,1
Nonsense,1
"season 1 episode 15 ""If Wishes Were Horses""",1
My first work with this pairing,1
Implied possible Garashir,1
Grief,1
Fix-it scene with Julian,1
First Kiss,1
Fake Character Death,1
eventual great sex,1
Threats of Rape/Non-Con,1
New York City,1
Music Kink,1
Episode: s03e05 Second Skin,1
Complete,1
Jadzia/Leeta,1
Garak/Julian,1
Elim/Julian,1
A Deep Space Nine AU,1
various offending pairings implied,1
challenge,1
Slash,1
Multiple Pairings,1
Humor,1
Games,1
Multi pairings,1
Lizard Love,1
Cardassian,1
space,1
Romance,1
Holodeck,1
Holo Program,1
Holo Character,1
Assistance,1
Frottage,1
Blackmail,1
Gay Club,1
Breastplay,1
POV Second Person,1
POV Canon Character,1
One Shot Collection,1
Not Canon Compliant,1
Canon Era,1
of the tentacle vagina variety,1
based on the last two tags you can get where this is going,1
almost porn without plot but then plot happened,1
Speculative Cardassian Anatomy,1
Safer Sex,1
Quickies,1
Polyamory Negotiations,1
Group Sex,1
Blow Jobs,1
Threesome - F/F/F,1
Fur,1
Memories,1
Hot Tub,1
Strap-Ons,1
Humour,1
DS9 Discord Kink Bingo 2018,1
trekfemslashbigbag2016,1
missing moment,1
coming to terms,1
Reassociation,1
Food Sex,1
Aliens Made Them Do It,1
using runabouts for nefarious purposes,1
justwolf writes watersports every time,1
golden showers,1
Researching kinks in Starfleet manuals,1
Outdoor Sex,1
Holosuite sex,1
Hold-it contests,1
