,freeforms
Trills,4
Angst,4
Crossover Pairings,4
Femslash,4
Occupation of Bajor,4
Humor,4
Getting Together,4
Post-Canon,4
Drabble Collection,3
Oral Sex,3
Hurt/Comfort,3
Polyamory,3
Rare Pairings,3
Fluff,3
Episode Related,3
Friendship,3
First Time,3
Alien Culture,3
Drabble,3
Bajor,3
Implied Sexual Content,3
Pre-Relationship,2
Blood and Gore,2
Cute,2
Art,2
Developing Relationship,2
Post-Series,2
Light Angst,2
Therapy,2
Fluff and Angst,2
First Kiss,2
Mirror Universe,2
Love,2
Kissing,2
POV Julian Bashir,2
Bad Things Happen Bingo,2
Pining,2
Alcohol Abuse/Alcoholism,2
Established Relationship,2
Angst with a Happy Ending,2
Hallucinations,2
Cunnilingus,2
Non-Explicit Sex,2
Face Sitting,2
Threesome - F/F/M,2
Grief/Mourning,2
Friends With Benefits To Lovers,2
BDSM,2
Internalized Homophobia,2
Domestic Fluff,2
Slice of Life,2
Slash,2
Sex,2
Crossover,2
Cardassians,2
Trek Women,2
Canon Disabled Character,2
Women Being Awesome,2
POV Female Character,2
Telepathy,2
Consensual Infidelity,1
Keiko/Kira (past),1
o'brien polycule,1
keiko gives garak relationship advice,1
keiko and garak are bffs,1
garak is always a lil bit angsty,1
Sexual Imagery,1
Open Marriage,1
Female-Centric,1
Garak POV,1
Julian/Miles (past),1
Gardening,1
very suggestive descriptions of plants,1
Discussions of sex,1
Fighting,1
he wants to sue,1
book discussions,1
anonymously published novel,1
Seriously bullying Dukat,1
Julian is incredibly upbeat,1
I can’t stress enough how much we’re bullying Dukat here,1
other relationships that are mentioned:,1
Dubious Consent,1
Demonic Possession,1
Bajorans,1
Gay Sex,1
Friends to Lovers,1
Fatherhood,1
Falling In Love,1
Cultural Differences,1
Cardassian Anatomy,1
Breaking down walls,1
Bottom Julian Bashir,1
Body Image,1
Alien Sex,1
Accidental Baby Acquisition,1
Abandonment,1
sorry I dunk on Quark so much,1
i love Grilka/Natima,1
i know some of y’all like him,1
Some wlws making out,1
It’s pretty heavily ‘implied’,1
space gladiator,1
lot of Romulans,1
crackship,1
Some Humor,1
Rare Characters,1
Post-Traumatic Stress Disorder - PTSD,1
Bullying Dukat,1
Selfcest,1
WTF Kombat 2021,1
Mpreg,1
Introspection,1
Bad Decisions,1
Sparring,1
No actual sex,1
Mostly just humor,1
Light Bondage,1
very little sex,1
rating for BDSM,1
but not a major part of the story - Freeform,1
bisexual lesbian romantic character,1
a bi lesbian and her perfect trans scientist wife,1
Stalking,1
Romulans,1
Post-Dominion War (Star Trek),1
Lesbians in Space,1
Happy Ending,1
Don’t copy to another site,1
Dominion War (Star Trek),1
Dominatrix,1
Canonical Character Death,1
Break Up,1
Porn with Feelings,1
Plot What Plot/Porn Without Plot,1
Mental Health Issues,1
Religions,1
Wherein we try and fail to predict what sort of cultural view the Federation would take towards,1
Broken Bones,1
Mirror Universe (Star Trek),1
Fanart,1
Don't copy to another site,1
Used As Bait,1
Surgery,1
Section 31 (Star Trek),1
Implied/Referenced Torture,1
Implied/Referenced Character Death,1
Heavy Angst,1
Electrocution,1
Blood and Injury,1
Enemies to Friends to Lovers,1
Holosuite,1
Porn Battle,1
Julian's POV,1
Haircuts,1
Fem!Julian,1
Fem!Elim,1
skipping some steps in there though lol,1
recovering Cardassia,1
Post-Canon Cardassia,1
Minor time skip,1
Loss,1
No beta we die like Jem'Hadar,1
i like lizards,1
aspec Honor Harrington,1
and therefore everyone who was not immortal-ish like they are has died of old age,1
and i switch between the two,1
Queerplatonic Relationships,1
Past Relationship(s),1
Past Character Death,1
Honor goes by her middle name in the 'present',1
Alternate Universe - Modern with Magic,1
(i think comma ive never written one before),1
Sex Pollen,1
teddy bear,1
flower picking,1
chocolate kisses,1
burning desire,1
angsty,1
Valentine's Day,1
Threesome - F/M/M,1
Steamy,1
Male Slash,1
Jadzia Dax Lives,1
Fluffy,1
Bubble Bath,1
B'Elanna on DS9,1
Affairs,1
anthro treecats,1
duck prints press prompt-a-duck,1
POV Elim Garak,1
i do a lot of dubious worldbuilding,1
spirk,1
daforge - Freeform,1
Vulcan Language,1
Vulcan Culture,1
Vulcan,1
Tumblr Prompt,1
Sickfic,1
Sehlats (Star Trek),1
References to Depression,1
Pon Farr,1
Minor Character Death,1
LGBTQ Character,1
Jewish Spock (Star Trek),1
Jewish Holidays,1
Implied/Referenced Suicide,1
Depression,1
Blind Spock,1
Andorians,1
Alien Cultural Differences,1
30 day writing challenge,1
tagged M for mentions of body writing but it's only a little bit,1
so sorry if that confuses you,1
silly little fic that somehow grew to 2k words,1
guns but no shooting,1
a pinch of fluff,1
Roughhousing,1
Over the Clothes,1
Temporary Character Death,1
Serious Injuries,1
Other Additional Tags to Be Added,1
Post-Coital Cuddling,1
POV First Person,1
One Shot,1
Vorta Culture,1
Spa Treatments,1
Sexual Humor,1
Implied/Referenced Dubious Consent,1
Implied/Referenced Abuse,1
Forbidden Love,1
Dayoun is referenced,1
Cardassian Culture,1
Alien Gender/Sexuality,1
graphic birth,1
erotic birth,1
bias,1
Trials,1
Top Elim Garak,1
Pregnancy Kink,1
Parenthood,1
Character of Color,1
Torture,1
5+1 Things,1
Autistic Julian Bashir,1
self-edited may the Prophets forgive me,1
Old West,1
Mistletoe,1
But NSFW,1
eventual kid fic,1
Pregnancy,1
Mature for chapter 16,1
Living their lives,1
Kira and Kasidy waiting for Ben,1
Hanging with lovesick Julian lol,1
Comfort,1
breaking up,1
Promenade,1
angst and alcohol,1
Slight Canon Divergence,1
Imprisonment,1
Garak shouldn't be drinking like this,1
Garak is an angsty fella,1
Episode: s05e07 Let He Who Is Without Sin...,1
Episode: s04e26 Broken Link,1
sensory processing issues,1
auditory processing issues,1
Social Anxiety,1
lizard porn,1
Ensemble Cast,1
Why Did I Write This?,1
Digital Painting,1
Spoilers,1
POV Third Person,1
POV Second Person,1
POV Multiple,1
Not Canon Compliant,1
Non-Linear Narrative,1
Canon Era,1
sorry - Freeform,1
Canon-Typical Violence,1
Bechdel Test Fail,1
these two are so adorable I can't even,1
also there's an alien lady band just go with it,1
Trill Culture and Customs,1
Secrets,1
Recovery,1
Post-Divorce,1
Physical Therapy,1
Language Before the Universal Translator,1
Injury Recovery,1
Comfort Sex,1
Gymnastics,1
Dax's past hosts (mentioned),1
Dancing,1
Stream of Consciousness,1
Inspired by Fanfiction,1
Mentions past non-con elements,1
Slow Burn,1
Fake/Pretend Relationship,1
Massage,1
Intoxication,1
Fisting,1
Female Ejaculation,1
Government Conspiracy,1
Revolution,1
Trill Worldbuilding,1
Trill Culture and Taboo,1
Team as Family,1
Post-War,1
"Post-""Equilibrium""",1
