,freeforms
Podfic,3
Podfic & Podficced Works,3
Alternate Universe - Canon Divergence,2
Friendship/Love,2
Erotica,2
True Love,2
Sexual Humor,2
aroace character,1
Love Triangles,1
Sexy,1
Sexual Tension,1
Sexual Fantasy,1
Sexual,1
Resolved Sexual Tension,1
Male Slash,1
Love/Hate,1
friendships,1
Love,1
Cute,1
Alternate Universe,1
Forbidden Love,1
changlings,1
its not set in the 80s theyre all just like that,1
heavy 80s music reference specifically ladies of the 80s,1
band au,1
Jadzia is an idiot,1
Unresolved Sexual Tension,1
Slash,1
Ficlet,1
Substance Abuse,1
Aromantic Character,1
Platonic shipping,1
Non-Sexual Intimacy,1
No Beta,1
I wrote this for myself but you can read it too,1
Character Study,1
Bad Matchmaking,1
Asexual Character,1
Arospec awareness week,1
Aromantic Awareness Week 2021,1
Ficlet Collection,1
Aromantic Awareness Week,1
background garashir,1
Original Character(s),1
Mirror Universe (Star Trek),1
Songfic,1
Holodecks/Holosuites,1
background kiradax,1
cardassians have tails,1
Star Trek Bookverse,1
Pansexual Character,1
Slow Romance,1
Romance,1
Light Angst,1
original footage,1
multifandom vid,1
Work Contains Fan(s) or Fandom(s),1
Video Format: Streaming,1
Meta,1
Fanvids,1
Fandom history,1
Download Available,1
Femslash Big Bang Monthly Challenge,1
Spanking,1
Rape Aftermath,1
PWP,1
Orgy,1
Light Bondage,1
Explicit Sexual Content,1
Dildos,1
Attempted Rape/Non-Con,1
Threesome - F/F/F,1
Post-Canon,1
Religious Conflict,1
Trek Rarepair Swap,1
Drama & Romance,1
Symbiont,1
Interspecies Sex,1
Interspecies Romance,1
Interspecies Relationship(s),1
Interspecies Awkwardness,1
Implied Sexual Content,1
Falling In Love,1
Eventual Romance,1
Awkward Sexual Situations,1
Don't copy to another site,1
Awkward Romance,1
Angst and Romance,1
Alien Sex,1
See each chapter for relevant tags,1
Trill Worldbuilding,1
Self-Discovery,1
set phasers to: GIRLS,1
Episode: s01e03 Past Prologue,1
Episode: s06e26 Tears of the Prophets,1
