,freeforms
Fluff,30
Angst,20
Getting Together,19
Pining,18
Established Relationship,17
First Kiss,17
Post-Canon,15
Femslash,14
Hurt/Comfort,13
Ficlet,11
Alternate Universe - Canon Divergence,10
Holodecks/Holosuites,10
Friends to Lovers,9
Emotional Hurt/Comfort,9
Kissing,9
Pre-Relationship,9
Polyamory,9
Fanart,8
Romance,8
Trills,8
Drabble,8
Alternate Universe,7
Occupation of Bajor,7
Kiradax,6
Happy Ending,6
Lesbians in Space,6
Canon Compliant,6
Songfic,6
Mirror Universe,6
Post-Traumatic Stress Disorder - PTSD,6
Friendship,6
Family,6
Lesbian Kira Nerys,5
Alcohol,5
Mild Hurt/Comfort,5
Bajoran Culture,5
Ficlet Collection,5
Character Study,5
Canonical Character Death,5
Trauma,5
Grief/Mourning,5
Christmas,5
Pregnancy,4
POV Second Person,4
Mutual Pining,4
Angst and Hurt/Comfort,4
Femslash February,4
Cuddling & Snuggling,4
Making Out,4
Slow Burn,4
First Dates,4
Community: femslashficlets,4
Fanvids,4
Flirting,4
One Shot,4
Alien Cultural Differences,4
Love Confessions,4
Embedded Video,4
Comfort,4
Episode: s04e06 Rejoined,4
Character Death,3
Sexuality Crisis,3
Past Relationship(s),3
Missing Scene,3
Cute,3
Implied Sexual Content,3
During Canon,3
Nudity,3
Developing Relationship,3
Episode Tag,3
I'm having a Bajoran moment don't touch me,3
Slice of Life,3
Drinking,3
Ambiguous/Open Ending,3
Podfic,3
Identity Issues,3
Time Travel,3
Morning After,3
Symbionts,3
Crack,3
Anxiety,3
Fix-It,3
Nightmares,3
Crushes,3
Mental Health Issues,3
Dancing,3
Trill Culture (Star Trek),3
Angst with a Happy Ending,3
Reunions,3
Alien Culture,3
Crossover,3
Flashbacks,3
Female Friendship,3
Food,3
Humor,3
Domestic,3
Deep Space Nine - Freeform,2
Compulsory Heterosexuality,2
Internalized Homophobia,2
Surgery,2
Drawing,2
Post-Break Up,2
Regret,2
Prompt Fic,2
Don't copy to other sites,2
Taboo,2
Anxiety Attacks,2
Episode: s03e04 Equilibrium,2
Episode: s03e10 Fascination,2
Falling In Love,2
Past Lives,2
Crack Relationships,2
Bajor,2
Pre-Canon,2
Innuendo,2
Physical Triggers,2
Minor Character Death,2
Post-War,2
Sharing a Bed,2
Kira-centric,2
Post-Episode: s02e23 Crossover,2
Star Trek - Freeform,2
Light Angst,2
Femslash February 2019,2
Episode Related,2
Feelings Realization,2
Hangover,2
Jadzia's a vampire,2
Jadzia and Worf are basically x-files,2
Genocide,2
Post-Dominion War (Star Trek),2
