,freeforms
Smut,34
Oral Sex,29
Plot What Plot/Porn Without Plot,28
First Time,24
Rough Sex,23
Alien Sex,23
Vaginal Sex,23
Sex,19
Alien Biology,19
Dirty Talk,18
Vaginal Fingering,16
Angst,16
Cunnilingus,16
Cardassians,15
Threesome - F/M/M,14
Het,14
Explicit Sexual Content,13
Established Relationship,13
Alternate Universe - Canon Divergence,13
Dubious Consent,13
Voyeurism,12
Masturbation,12
Anal Sex,12
Screenplay/Script Format,11
Penis In Vagina Sex,11
Blow Jobs,11
Polyamory,11
Xenophilia,10
Interspecies Sex,10
Romance,10
Biting,9
Prompt Fill,9
Fluff and Smut,9
Cardassian Anatomy,9
Porn with Feelings,9
Fluff,9
Pegging,9
Alien Culture,8
Semi-Public Sex,8
Hurt/Comfort,8
Trills,8
Reader-Insert,8
Threesome,8
Creampie,8
Friends to Lovers,7
Hand Jobs,7
BDSM,7
Mirror Universe,7
Orgasm Denial,7
Multiple Orgasms,6
Violence,6
Awkwardness,6
PWP,6
Dom/sub,6
Sexual Content,6
Daddy Kink,6
Alien Cultural Differences,6
Alternate Universe,6
Lemon,6
Canon-Typical Violence,6
Orgasm Delay/Denial,6
Fingering,6
Praise Kink,6
Femdom,6
Torture,6
Sexual Fantasy,6
Ferengi,6
Holodecks/Holosuites,5
Power Imbalance,5
Deepthroating,5
Alien Gender/Sexuality,5
Blood and Injury,5
Kissing,5
Anal Fingering,5
Hate Sex,5
Unprotected Sex,5
anon prompt from tumblr,5
Pregnancy,5
Trektober 2020,5
Dark,5
Dominion War (Star Trek),5
Gay Sex,5
Exhibitionism,5
Alcohol,5
Choking,5
Post-Traumatic Stress Disorder - PTSD,5
Slow Burn,5
Anon Prompt,5
Light Dom/sub,5
Sadism,4
Objectification,4
piv smut,4
Forbidden Love,4
prompt from tumblr,4
Shameless Smut,4
Dom/sub Undertones,4
Bajoran Culture,4
Riding,4
Fingerfucking,4
Alien anatomy,4
Parent/Child Incest,4
Cardassian Culture,4
Nipple Play,4
Weddings,4
Episode Related,4
super short,4
Masochism,4
Age Difference,4
Ficlet,4
Power Play,4
Canon Compliant,4
Bondage,4
Begging,4
Double Penetration,4
Emotional/Psychological Abuse,4
Porn With Plot,4
Heterosexual Sex,4
Don’t copy to another site,4
Daddy Issues,4
Friendship,4
Bottom Elim Garak,4
Blood,4
Occupation of Bajor,4
Light Angst,4
Jealousy,4
Power Dynamics,4
Rimming,4
