,freeforms
Angst,22
Alternate Universe - Canon Divergence,19
Occupation of Bajor,12
Romance,11
First Time,11
Post-Canon,10
Cardassians,9
Humor,9
Hurt/Comfort,9
Slow Burn,9
Pre-Canon,8
Fluff,8
Sex,7
Sexual Content,7
Violence,7
Drama,7
Established Relationship,7
Friendship,7
Politics,6
Emotional Hurt/Comfort,6
Alien Biology,6
Post-Traumatic Stress Disorder - PTSD,6
Crossover,6
Alien Sex,6
Holodecks/Holosuites,6
Bajoran Culture,5
Angst with a Happy Ending,5
Alternate Universe,5
First Kiss,5
Getting Together,5
when a monk and a warrior fall in love,5
Bajorans,5
Dominion War (Star Trek),5
Canon-Typical Violence,5
Implied/Referenced Rape/Non-con,5
Alien Culture,5
Pregnancy,4
Love,4
Rape/Non-con Elements,4
Suicidal Thoughts,4
Fanart,4
Dubious Consent,4
Pre-Relationship,4
Canon Compliant,4
Mirror Universe,4
Character Study,4
Friends to Lovers,4
Het,4
Implied/Referenced Torture,4
Screenplay/Script Format,4
Smut,4
Trills,3
Telepathy,3
Drabble Collection,3
Light Angst,3
Fluff and Angst,3
Ableism,3
Science Fiction,3
meriel and essan,3
Romulans,3
Tragedy,3
Fake/Pretend Relationship,3
Original Character(s),3
Character Death,3
Slash,3
Prompt Fic,3
Starfleet,3
Happy Ending,3
Fantastic Racism,3
Alternate Universe - Pre-Canon,3
Alternate History,3
Crack,3
Recovery,3
Murder,3
Grief/Mourning,3
Blood,3
Vulcan Culture,3
One-Sided Attraction,3
Suicide,3
Polyamory,3
Crossover Pairings,3
Religion,3
Friendship/Love,3
Secret Relationship,3
Bajor,3
Slice of Life,3
Jealousy,3
Rough Sex,3
Age Difference,3
Drabble,3
Art,3
Don't copy to another site,3
Dominion War,3
Past Rape/Non-con,3
Eventual Smut,3
Changelings,3
Genetic Engineering,3
Interspecies Romance,3
Trauma,3
Flashbacks,3
Garak POV,3
Erotica,3
Unresolved Sexual Tension,3
Implied Sexual Content,3
Stalking,2
Arguing,2
Mental Health Issues,2
Consensual Sex,2
Kidnapping,2
Comedy,2
Anxiety,2
Dark,2
Alien Cultural Differences,2
Ensemble Cast,2
First Meetings,2
Open Marriage,2
Babies,2
Psychological Horror,2
Body Horror,2
Pon Farr,2
Panic Attacks,2
Reader-Insert,2
Episode: s01e01 Caretaker,2
Multiple Selves,2
Rebuilding,2
Symbionts,2
