,freeforms
Polyamory,3
Podfic & Podficced Works,3
Podfic,3
Friendship,2
Sexual Humor,2
Alternate Universe,2
Friendship/Love,2
True Love,2
Erotica,2
Light Angst,2
Cardassians,2
Alien Sex,2
Angst,2
Grief/Mourning,2
Lies,1
POV Third Person,1
Jewish Headcanons,1
Insults,1
Garak POV,1
Anger,1
Jewish Character,1
angsty,1
Misunderstandings,1
Crying,1
First Time,1
Jealousy,1
Love Confessions,1
Sexy,1
Sex,1
Paranoia,1
Replicants,1
Surgery,1
Mirror Universe (Star Trek),1
Evil Author Day,1
Fic Snippets,1
Slash,1
Episode Related,1
Sexual Tension,1
Sexual Fantasy,1
Romance,1
Slow Romance,1
Unresolved Sexual Tension,1
Bajorans,1
Domionion War,1
Maquis,1
Non-Explicit Sex,1
Occupation of Bajor,1
Original Character(s),1
Post-Traumatic Stress Disorder - PTSD,1
Rewrite,1
Starfleet Academy,1
Starfleet Intelligence,1
Starfleet Vows,1
changlings,1
Forbidden Love,1
Love,1
Love Triangles,1
Love/Hate,1
Male Slash,1
Resolved Sexual Tension,1
Sexual,1
Idiots in Love,1
I Will Go Down With This Ship,1
posting because the longfic in progress won't get here for years,1
No beta we die like Jem'Hadar,1
Ghosts,1
Fluff,1
Mutual Pining,1
Pining,1
Pride and Prejudice References,1
Requited Unrequited Love,1
Vulcans,1
Insomnia,1
Death is Apparently a Theme...,1
Drabbles,1
Ficlets,1
Froday Flash Fiction Challenge,1
Holodecks/Holosuites,1
Work In Progress,1
Pictures Come to Life,1
Trans Female Character,1
Trans Male Character,1
Trans!Sara Sue,1
Trans!Simon Holmes,1
video games - Freeform,1
Attempt at Humor,1
Data and Spot don't appear on screen,1
Episode: s06e14 One Little Ship,1
Ficlet,1
Not Beta Read,1
Female Reader,1
Episode: s07e04 Take Me Out to the Holosuite,1
Angst with a Happy Ending,1
friendships,1
i may or may not post fleshed out versions later,1
Interspecies Sex,1
Art,1
Chibi,1
Cute,1
Digital Art,1
Ship in a Bottle,1
Aromantic Awareness Week,1
Aromantic Awareness Week 2021,1
Aromantic Character,1
Arospec awareness week,1
Asexual Character,1
Bad Matchmaking,1
Character Study,1
I wrote this for myself but you can read it too,1
No Beta,1
Non-Sexual Intimacy,1
Platonic shipping,1
Substance Abuse,1
aroace character,1
background garashir,1
background kiradax,1
cardassians have tails,1
Pansexual Character,1
Falling In Love,1
Interspecies Romance,1
Panic attack based on my own experiences,1
Graphics,1
artwork,1
Episode: s05e22 Children of Time,1
Eric Flint Assiti reference,1
Fix It,1
Time Travel,1
alternate timeline explanation,1
episode rewrite,1
guardian of forever (reference),1
Alternate Universe - Pizza Place,1
DD9 AU,1
Deep Dish Nine,1
Dukat is an asshole,1
Too mean,1
Self-Discovery,1
Trill Worldbuilding,1
Alcohol,1
Ambiguous/Open Ending,1
Break Up,1
Hurt No Comfort,1
I'm not a good writer eck,1
Jadzia dax is alive so jot that down,1
Julian says fuck,1
Charity Auctions,1
Possibly Unrequited Love,1
One Shot,1
Orgy,1
Episode: s05e16 Doctor Bashir I Presume,1
Hurt/Comfort,1
Post-Episode: s05e16 Doctor Bashir I Presume,1
Alternate Universe - Daemons,1
Alien Gender/Sexuality,1
Voyeurism,1
Attempted Rape/Non-Con,1
Dildos,1
Explicit Sexual Content,1
Light Bondage,1
PWP,1
No Smut,1
Rape Aftermath,1
Spanking,1
Download Available,1
Fandom history,1
Fanvids,1
Meta,1
Video Format: Streaming,1
Work Contains Fan(s) or Fandom(s),1
multifandom vid,1
original footage,1
Panic Attacks,1
also it's not stated here but julian is autistic here hi,1
Interspecies Relationship(s),1
Canonical Character Death,1
Sex pollen?,1
but then why are you even here,1
but you need to sex to get the substance,1
cardassian xenobiology,1
everyone loves garak,1
it probably say more about me than them,1
its not really a substance that makes you want to sex,1
look i don't know why i like to write fic about star trek characters getting high,1
luxury gay space socialism,1
non-binary femme,1
phlebotinum,1
sex pheremones,1
unless you consider a cardassian erection a downside,1
well except the bajorans,1
See each chapter for relevant tags,1
Angst and Romance,1
Awkward Romance,1
Awkward Sexual Situations,1
Drama & Romance,1
Eventual Romance,1
Episode Tag,1
Implied Sexual Content,1
Interspecies Awkwardness,1
Non-binary character,1
Non-Monogamy,1
Mind/Mood Altering Substances,1
Character Death,1
Family Loss,1
Funeral,1
Lost Love,1
Missing Scene,1
Starfleet Funeral,1
we never saw Jadzia's funeral and that's absurd,1
Action & Romance,1
Alternate Universe - Canon Divergence,1
Blood and Violence,1
Brain Damage,1
Extremely Dubious Consent,1
Humor,1
Identity Issues,1
Major Character Injury,1
Memory Loss,1
Other Additional Tags to Be Added,1
Rough Sex,1
Telepathic Sex,1
Telepathy,1
Alien Biology,1
Crack Fic,1
Drugs,1
Poetry but no poems are shown,1
