,freeforms
Violence,3
Hurt/Comfort,2
Post-Traumatic Stress Disorder - PTSD,2
Alternate Universe,2
Original Character(s),2
Suicide,2
Post-Canon Cardassia,2
Deep Space Nine - Freeform,1
Slow Build,1
Assisted Suicide,1
(not actually beta canon compliant though),1
torture from the point of view of the torturer,1
Traumatic Bonding,1
Graphic depiction of torture,1
Aftermath of Torture,1
Slow Dancing,1
Romantic Soulmates,1
Disassociation,1
Romantic Gestures,1
Romantic Fluff,1
Dancing,1
Screenplay/Script Format,1
Porn Watching,1
Mating Cycles/In Heat,1
Masturbation,1
Homophobia,1
Flashbacks,1
Contemplations of Suicide,1
gratuitous references to a stitch in time,1
Hopeful Ending,1
Cardassian Anatomy,1
cannibalism sort of but does it count when it's another humanoid species other than ones own?,1
authoritarianism,1
Unsettling,1
Trauma,1
Symbolism,1
Psychological Trauma,1
Psychological Horror,1
Non-Graphic Rape/Non-Con,1
Nightmares,1
Night Terrors,1
Injury,1
Implied/Referenced Sexual Assault,1
Dreams,1
Disturbing Themes,1
Dead Dove: Do Not Eat,1
Bodily Fluids,1
Aftermath of Violence,1
this starts out rather dark so please proceed with caution,1
survival and healing through community,1
it's immediately post-fire Cardassia there are a lot of dead bodies in this,1
in other news i learned about work skins so that's exciting,1
First Time,1
Blood and Violence,1
Yaoi,1
Alien Gender/Sexuality,1
Odo Is A Parent,1
Grief/Mourning,1
Fix-It,1
Fish out of Water,1
Divergent Timelines,1
Denial of Feelings,1
Bisexual Male Character,1
Alien/Human Relationships,1
Alien Sex,1
Alien Culture,1
Psychic Bond,1
Alien Cultural Differences,1
Alien Biology,1
Visions,1
Sexual Situations,1
Fake Science,1
Awkward Sexual Situations,1
Torture,1
Rape,1
Non Consensual,1
Pansexual Character,1
The baby changling lives,1
Non-Canon Relationship,1
Prompt Fill,1
Character Death,1
Pon Farr,1
Graphic Description of Corpses,1
Alternate Universe - Canon Divergence,1
writing sex is ugh,1
sort of 69 but not really,1
petty references to both Jadzia and Ziyal being alive,1
kinda fluffy too so,1
because canon is arse,1
Long Distance Call,1
Very Slow Burn Julian Bashir/Original Character,1
Fluff,1
Established Relationship,1
EDITED 02/2019,1
Blow Jobs,1
Arguing,1
1st Chapter is Gen 2nd Mature/Explicit,1
Polyamory,1
Complete,1
Vulcan Mind Melds,1
i'm not sure whether dead dove is appropriate but just in case,1
