,freeforms
Angst,14
Alternate Universe - Canon Divergence,11
Occupation of Bajor,7
Pre-Canon,6
Implied/Referenced Rape/Non-con,6
Torture,6
Cardassians,5
Violence,5
Bajorans,5
Blood and Violence,5
Post-Traumatic Stress Disorder - PTSD,5
Emotional Hurt/Comfort,4
Mental Health Issues,4
Don't copy to another site,4
Fanart,4
Crossover,4
Slavery,4
Friendship,4
Mirror Universe,3
Suicide,3
Post-Canon,3
Alternate Universe,3
Psychological Horror,3
Hurt No Comfort,3
Dominion War (Star Trek),3
Original Character(s),3
Starfleet,3
Self-Harm,3
Canon-Typical Violence,3
Ambiguous/Open Ending,3
Implied/Referenced Torture,3
Pregnancy,3
Art,3
Humor,3
Kid Fic,2
Fix-It,2
the occupation of bajor,2
Post-Dominion War (Star Trek),2
Fandom Kombat 2020,2
Domestic Fluff,2
Child Neglect,2
Implied/Referenced Sexual Assault,2
Family Fluff,2
Xenophobia,2
Slash,2
Trans Julian Bashir,2
Horror,2
Intrusive Thoughts,2
Portraits,2
Childhood,2
Original Character Death(s),2
Non-Graphic Rape/Non-Con,2
Imprisonment,2
Hurt/Comfort,2
Terok Nor (Star Trek),2
Mystery,2
Time Loop,2
Ableism,2
Post-Canon Cardassia,2
Slow Burn,2
Deep Space Nine - Freeform,2
Emotional/Psychological Abuse,2
Hallucinations,2
Flirting,2
Sex,2
Therapy,2
Trauma,2
Character Death,2
Starvation,2
Implied/Referenced Self-Harm,2
Sexual Slavery,2
Angst with a Happy Ending,2
Introspection,2
Character Study,2
Smut,2
Cardassian Culture,2
Grooming,2
Body Horror,2
Hybrids,2
Implied/Referenced Child Abuse,2
Physical Disability,2
War,2
Politics,2
Concentration Camps,2
Past Drug Addiction,2
Ensemble Cast,2
Cardassian Occupation,2
Worldbuilding,2
Tragedy,2
Klingon,2
Cooking,1
Cake,1
Familial Love,1
Baseball,1
skipping some steps in there though lol,1
Father-Son Relationship,1
recovering Cardassia,1
tagged M for mentions of body writing but it's only a little bit,1
Making Out,1
Minor time skip,1
Bad Decisions,1
Enemies to Friends to Lovers,1
Wherein we try and fail to predict what sort of cultural view the Federation would take towards,1
Platonic Love,1
Alcohol Abuse/Alcoholism,1
many headcanons,1
Pining,1
Gen or Pre-Slash,1
Flashbacks,1
Fix-It of Sorts,1
Amsha Bashir’s A++ parenting,1
Dayoun is not the abusive relationship,1
rating for dark topic,1
War Crimes,1
Not Canon Compliant,1
flirtation,1
Self Love (no not that kind),1
a touch of Romantic/Sexual Love,1
Bajoran Culture,1
i do a lot of dubious worldbuilding,1
Adoptive Faily,1
silly little fic that somehow grew to 2k words,1
Abusive Parents,1
very suggestive descriptions of plants,1
other relationships that are mentioned:,1
o'brien polycule,1
keiko gives garak relationship advice,1
keiko and garak are bffs,1
garak is always a lil bit angsty,1
Sexual Imagery,1
Open Marriage,1
Light Angst,1
Keiko/Kira (past),1
so sorry if that confuses you,1
Julian/Miles (past),1
Gardening,1
Garak POV,1
Discussions of sex,1
Developing Relationship,1
WTF Kombat 2021,1
Risa - Freeform,1
Jamaharon,1
we are ignoring canon timelines,1
unlikely friendship,1
love of life and love of exploration,1
Vorta centric,1
Dax-centric,1
Victim Blaming,1
Possession,1
oc based on quark,1
minor depictions of violence,1
POV Julian Bashir,1
Super Powers AU,1
Crack Treated Seriously,1
Unrequited Love,1
Heartbreak,1
Everything Hurts,1
Seahorse fatherhood,1
Angst with a Hopeful Ending,1
Autistic Julian Bashir,1
Child Death,1
Epistolary,1
A Stitch in Time - Andrew Robinson,1
Guilt,1
Trektober 2020,1
Stream of Consciousness,1
Free Will,1
Control,1
Addiction,1
Obsidian Order,1
I'm a sociology student not a medical student,1
Medical Inaccuracies,1
Episode: s03e05 Second Skin (indirectly referenced),1
Cover Art,1
Not Beta Read,1
Yeah it gets kind of dark,1
Changelings are weird,1
Vorta made to order,1
Genetic Engineering,1
Abuse,1
Child Abuse,1
Rape Recovery,1
Rape Aftermath,1
Prisoner of War,1
Prison,1
Past Rape/Non-con,1
Mental Instability,1
Medical Experimentation,1
Internal Conflict,1
Headcanon,1
Don’t copy to another site,1
Past Child Abuse,1
Time Travel,1
Really Not Explicit At All,1
Temporary Character Death,1
Mother-Daughter Relationship,1
Richard Bashir's A++ Parenting,1
Episode: s06e17 Wrongs Darker Than Death Or Night,1
Comedy,1
Sexual Harassment,1
