,freeforms
Alternate Universe - Daemons,5
Podfic,4
Angst,4
Worldbuilding,4
Post-Traumatic Stress Disorder - PTSD,4
Alternate Universe,4
Fanvids,4
Friendship/Love,3
Sexual Humor,3
Alien Sex,3
Autistic Character,3
Podfic & Podficced Works,3
Cardassians,3
Hurt/Comfort,3
Alternate Universe - His Dark Materials Fusion,3
Post-Canon,3
Alternate Universe - Canon Divergence,3
Nightmares,3
Erotica,3
Character Study,3
Pansexual Character,2
Flashbacks,2
Unresolved Sexual Tension,2
True Love,2
Medical Procedures,2
Mystery,2
Bajor,2
Romance,2
Interspecies Sex,2
Holodecks/Holosuites,2
Interspecies Romance,2
Meta,2
Interspecies Relationship(s),2
Ficlet,2
Implied Sexual Content,2
Not Beta Read,2
Awkward Sexual Situations,2
Introspection,2
Character Death,2
Friendship,2
Humor,2
Nonbinary Character,2
Trills,2
Sexual Tension,2
Blood,2
Sexual Fantasy,2
Episode Related,2
Occupation of Bajor,2
Episode: s05e16 Doctor Bashir I Presume,2
Love,2
Elim Garak Cares Too Much,2
Queer Themes,2
meltdowns,2
Alcohol,2
background garashir,2
Another Risa episode basically,1
also I low/highkey ship Julian and Data in an aro/ace way we'll see - also pre-relationship,1
Pre-Friendships but they're to come,1
Picard is dad... he's not as obviously dad as Sisko but he's dad,1
unresolved childhood trauma,1
Neurodiverse Picard,1
self indulgent self and friend insert alert,1
although they're not the main characters,1
Community: lgbtfest,1
Jadzia and Keiko love their dank ass space weed,1
Recreational Drug Use,1
Trek Women,1
shameless flirting,1
Sex references but as written by an asexual,1
Holograms try to understand sex,1
Garak makes kinky shit for people after hours,1
phaser injury,1
forced/arranged marriage,1
Plasma phasers,1
Hostage Situation,1
Mostly just zaps with a Klingon painstick,1
Mild torture,1
Kidnapping,1
Julian Bashir in Disguise,1
literally every holiday trope in existence wrapped up in a wacky slapstick rom com,1
but this time it's a free for all,1
Basically Lower Decks but it's on DS9 and it's my friends and I,1
this one is for my son garak,1
Neurodiverse Julian,1
Sith Julian,1
Self-Harm,1
Retelling,1
Harm to Daemons,1
DÆS9,1
The high ground will not save you,1
Star Wars holodeck program,1
Snuggy,1
Silly,1
Good Counselling Practise,1
Julian being edgy,1
Slash,1
Sexy,1
Sexual,1
Resolved Sexual Tension,1
Male Slash,1
Love/Hate,1
Trauma,1
"Miles ""fellas is it gay to love your daemon"" O'Brien",1
daemon injury,1
Another playlist,1
Deanna gets to do good therapy stuff,1
Bad Counselling Practise,1
Augment Prejudice,1
post episode,1
mental trauma,1
Mentions of Augmented Humans,1
Julian Bashir is not ok,1
Genetically Engineered Beings,1
Episode: s05e15 By Inferno's Light,1
Can be read as pre-garashir,1
Bur doesn't need to be if that's not your thing,1
Women Being Awesome,1
spooky lizard jams,1
cardassian radio,1
Spotify,1
Violence against women,1
