,freeforms
Angst,76
Friendship,44
Hurt/Comfort,43
Alternate Universe,37
Occupation of Bajor,32
Post-Canon,31
Canon-Typical Violence,30
Alternate Universe - Canon Divergence,29
Character Study,28
Pre-Canon,25
Claustrophobia,24
Crossover,24
Grief/Mourning,20
Post-Traumatic Stress Disorder - PTSD,20
Dominion War (Star Trek),20
Cardassians,19
Fluff,19
Humor,18
Pre-Slash,18
Emotional Hurt/Comfort,18
Genetic Engineering,17
Drug Use,16
Autistic Julian Bashir,15
Crossovers & Fandom Fusions,14
Alternate Universe - Star Trek Fusion,14
Canon Compliant,14
Post-Episode: s02e22 The Wire,13
Family,12
Missing Scene,12
Depression,12
Drama,11
Introspection,10
Guilt,10
Worldbuilding,10
Minor Character Death,10
Post-Canon Cardassia,10
Implied/Referenced Child Abuse,10
Episode: s05e16 Doctor Bashir I Presume,10
War,10
Injury,9
Childhood Trauma,9
Alien Culture,9
Episode Related,9
Whump,9
Science Fiction,9
Crack,9
Obsidian Order,8
Addiction,8
Minor Violence,8
Torture,8
Pregnancy,8
Light Angst,8
Drabble,8
Alcohol,8
Bajor,8
Trauma,8
Drug Addiction,8
Dominion War,7
Developing Friendships,7
Mirror Universe,7
Internment Camp 371 (Star Trek),7
Bajorans,7
Bajoran Culture,7
Implied/Referenced Rape/Non-con,7
Multiple Crossovers,7
Character Death,7
Episode Tag,7
Gen or Pre-Slash,7
Ficlet,7
Multiverse,7
Time Travel,7
Terok Nor (Star Trek),7
Age Swap,6
Identity Issues,6
Post-Movie: Star Trek Nemesis (2002),6
Alternate Universe - Age Changes,6
alcohol use,6
Blood and Injury,6
Screenplay/Script Format,6
Death,6
Alien Cultural Differences,6
Episode: s05e14 In Purgatory's Shadow,6
Flashbacks,6
POV Julian Bashir,6
Romance,6
Found Family,6
Holodecks/Holosuites,6
Trans Julian Bashir,6
Canonical Character Death,6
Pre-Relationship,6
Original Character(s),5
Slavery,5
POV Female Character,5
Alien Biology,5
Drabble Collection,5
Post-Episode: s05e16 Doctor Bashir I Presume,5
Father-Daughter Relationship,5
Father-Son Relationship,5
Kid Fic,5
