,freeforms
Oral Sex,188
Anal Sex,150
Plot What Plot/Porn Without Plot,131
Established Relationship,125
First Time,109
Cardassian Anatomy,90
Alien Biology,82
Smut,78
Explicit Sexual Content,73
Angst,73
Porn with Feelings,63
Hurt/Comfort,61
Bottom Elim Garak,55
Rough Sex,55
Alien Sex,54
Masturbation,52
Hand Jobs,51
Friends to Lovers,49
Light Dom/sub,45
Fluff,42
Holodecks/Holosuites,42
Dubious Consent,41
Porn With Plot,41
PWP,40
Kinktober,40
Xenophilia,39
Anal Fingering,38
Top Elim Garak,37
Fluff and Smut,36
Dirty Talk,36
Blow Jobs,36
Bottom Julian Bashir,36
Post-Canon Cardassia,34
BDSM,34
Top Julian Bashir,33
Semi-Public Sex,33
Bondage,33
Sex Toys,32
Getting Together,31
Frottage,31
POV Elim Garak,31
Teasing,30
First Kiss,28
Rimming,28
Cardassian Culture,27
Spanking,26
Love Confessions,25
Shameless Smut,25
Voyeurism,24
Trans Julian Bashir,24
Romance,24
Biting,23
Gay Sex,23
Humor,23
Dom/sub,22
Kissing,22
POV Julian Bashir,22
Sex,22
Banter,21
Pining,21
Orgasm Delay/Denial,21
Slash,21
Post-Canon,21
Praise Kink,20
Xeno,20
Post-Traumatic Stress Disorder - PTSD,19
Alcohol,19
Multiple Orgasms,19
Jealousy,19
Podfic,19
Podfic & Podficced Works,19
Overstimulation,19
Cardassians,19
Explicit Consent,18
Mirror Universe,18
Violence,18
Light Bondage,18
Public Sex,17
Size Kink,17
Hate Sex,17
Humiliation,17
Mutual Pining,17
Alien Culture,17
Angst with a Happy Ending,17
Fingering,16
Sexual Content,16
Ferengi,16
Oo-mox,16
Fingerfucking,16
Emotional Hurt/Comfort,16
Light BDSM,16
Sharing a Bed,15
Sex Pollen,15
Happy Ending,14
Alien Cultural Differences,14
Power Play,14
Polyamory,14
Alternate Universe,14
Solid!Odo,14
Alternate Universe - Canon Divergence,14
Screenplay/Script Format,14
Torture,14
Aftercare,13
Cunnilingus,13
Sexual Fantasy,13
Penetrative Sex,13
Scent Kink,13
Mildly Dubious Consent,13
Sub Elim Garak,13
Edging,13
Rough Oral Sex,13
Begging,13
Threesome - M/M/M,13
Rape/Non-con Elements,13
Dominance,13
Illustrated,13
Lingerie,12
Anal,12
Choking,12
Sexual Roleplay,12
Double Penetration,12
Crying,12
Foot Fetish,12
Rare Pairings,12
Roleplay,12
Cuddling & Snuggling,12
Shapeshifting,12
Age Difference,12
Extremely Dubious Consent,12
Threesome - F/M/M,12
Wet & Messy,12
Crack,12
Marking,12
Podfic Length: 0-10 Minutes,11
Scent Marking,11
Sexual Tension,11
Friends With Benefits,11
Vaginal Sex,11
Angst and Fluff and Smut,11
Alien Gender/Sexuality,11
Garashir - Freeform,11
One Shot,11
Resolved Sexual Tension,11
Vibrators,10
Bottom Garak,10
Age Swap,10
Massage,10
Panic Attacks,10
Crossdressing,10
Porn,10
Mental Health Issues,10
Blindfolds,10
Sleepy Sex,10
Arguing,10
Episode Related,10
Flirting,10
Autistic Julian Bashir,10
Cultural Differences,10
Fuck Or Die,9
Complicated Relationships,9
Canon Compliant,9
Awkward Sexual Situations,9
Gratuitous Smut,9
Trans Male Character,9
Medical Kink,9
Fantasizing,9
Dom Julian Bashir,9
Oblivious Julian Bashir,9
Idiots in Love,9
Alternate Universe - Age Changes,9
Canon-Typical Violence,9
Non-Consensual Drug Use,9
Exhibitionism,9
Fluff and Angst,9
Mutual Masturbation,9
Dissociation,9
Power Dynamics,9
Submission,9
Wall Sex,9
Trauma,9
Threesome,9
Hair-pulling,8
Homophobia,8
Body Worship,8
Cloacal Sex,8
