,freeforms
Fluff,256
Established Relationship,154
Post-Canon Cardassia,124
Post-Canon,100
Pre-Slash,74
Angst,72
Humor,71
Hurt/Comfort,59
Domestic Fluff,56
Ficlet,52
First Kiss,49
Drabble,49
Pre-Relationship,39
Friends to Lovers,38
Flirting,34
Alternate Universe,34
Emotional Hurt/Comfort,32
Fanart,30
Romance,30
Friendship,30
Pining,30
Getting Together,29
Deep Dish Nine,27
Character Study,25
Love Confessions,22
Episode Related,22
Kid Fic,22
Introspection,21
Garashir - Freeform,21
Fluff and Humor,21
Cardassian Culture,20
Light Angst,20
Banter,20
Fluff and Angst,20
Family,19
Holodecks/Holosuites,19
Cuddling & Snuggling,19
Alternate Universe - Canon Divergence,18
Domestic,18
Crack,17
Humour,17
Polyamory,16
Autistic Julian Bashir,16
Mutual Pining,16
Angst with a Happy Ending,16
One Shot,15
Alien Cultural Differences,15
Marriage Proposal,15
AU,15
A Stitch in Time - Andrew Robinson,15
Short & Sweet,15
Developing Relationship,14
Mild Hurt/Comfort,14
Julian Bashir and Elim Garak's Book Club,14
Dialogue-Only,14
Art,14
Kissing,14
Illustrated,14
Cultural Differences,13
POV Elim Garak,13
Cardassia,13
Episode: s02e22 The Wire,12
Sweet,12
Cuddling,12
Conversations,12
Crossover,12
Kidfic,12
Screenplay/Script Format,12
Unrequited Love,12
Poetry,12
soft,11
Podfic,11
Episode: s05e16 Doctor Bashir I Presume,11
Jealousy,10
Cardassian flirting,10
Gen or Pre-Slash,10
Grief/Mourning,10
Cute,10
Slice of Life,9
Vignette,9
Dominion War,9
Found Family,9
Silly,9
POV Julian Bashir,9
Literal Sleeping Together,9
Sharing a Bed,9
Trans Julian Bashir,9
Christmas,9
Alien Culture,8
Cooking,8
Short One Shot,8
Missing Scene,8
Nightmares,8
Dancing,8
Secret Relationship,8
Romantic Fluff,8
Sickfic,8
Post-Traumatic Stress Disorder - PTSD,7
Friendship/Love,7
Soulmate-Identifying Marks,7
Enabran Tain's A+ Parenting,7
No beta we die like Jem'Hadar,7
Sexual Tension,7
Time Travel,7
Canon Compliant,7
Oblivious Julian Bashir,7
Huddling For Warmth,7
Fanvids,7
Comfort,7
Bickering,7
Holidays,7
Sort Of,7
Episode: s05e14 In Purgatory's Shadow,7
Book: Enigma Tales (Star Trek),7
Love,7
Holding Hands,6
Adoption,6
Songfic,6
Tooth-Rotting Fluff,6
Spoilers,6
kind of,6
Aesop's Fables - Freeform,6
Garak's Fables,6
Episode: s05e15 By Inferno's Light,6
Don't copy to another site,6
Marriage,6
Comedy,6
Canon Disabled Character,6
POV First Person,6
Miscommunication,6
Mirror Universe,6
