,freeforms
Established Relationship,79
Angst,78
Friends to Lovers,48
First Time,44
Humor,44
Fluff,39
Hurt/Comfort,39
Post-Canon Cardassia,37
Getting Together,37
First Kiss,32
Emotional Hurt/Comfort,31
Crack,30
Post-Canon,30
POV Julian Bashir,28
Mutual Pining,24
Alternate Universe,23
Sexual Content,22
Secret Relationship,21
POV Elim Garak,20
Alternate Universe - Canon Divergence,20
Pining,20
Garashir - Freeform,19
Implied Sexual Content,18
Friendship,18
Angst with a Happy Ending,17
Holodecks/Holosuites,17
Flirting,17
Autistic Julian Bashir,16
Romance,16
Slash,16
Unrequited Love,16
Cardassian Culture,16
Unresolved Sexual Tension,16
Idiots in Love,15
Jealousy,15
Podfic,15
Post-Traumatic Stress Disorder - PTSD,15
Domestic Fluff,15
Cardassian Anatomy,14
Developing Relationship,14
Dark,13
Sexual Tension,13
Fluff and Angst,13
Alien Sex,13
Oblivious Julian Bashir,13
Fanart,13
Drabble,13
Rare Pairings,13
Nudity,13
Humour,12
Love Confessions,12
Age Difference,12
Sexual Humor,12
Kissing,12
Oral Sex,12
Smut,12
Addiction,11
Anal Sex,11
Torture,11
Kinktober,11
Alien Culture,11
Mild Sexual Content,10
Light Angst,10
Sharing a Bed,10
Drama,10
Biting,10
Xenophilia,10
Dialogue-Only,10
Dominion War (Star Trek),10
Rough Sex,10
Misunderstandings,10
Pre-Slash,10
Fade to Black,9
Claustrophobia,9
Plot What Plot/Porn Without Plot,9
Banter,9
Awkward Sexual Situations,9
Ficlet,9
Alcohol Abuse/Alcoholism,9
Fluff and Humor,9
Episode Related,9
Dubious Consent,8
Alien Cultural Differences,8
Anxiety,8
Dialogue Heavy,8
Cardassians,8
Self-Harm,8
Introspection,8
Emotional Manipulation,8
Sorry Not Sorry,8
Podfic & Podficced Works,8
Post-Episode: s02e22 The Wire,8
Alien Biology,8
Heavy Angst,7
Cuddling & Snuggling,7
Oo-mox,7
Politics,7
Pregnancy,7
Vorta - Freeform,7
Slow Burn,7
Interspecies Relationship(s),7
Pre-Canon,7
Seduction,7
Episode: s05e15 By Inferno's Light,7
Love,7
Intimacy,7
Happy Ending,7
Weyoun 6 lives,7
Mirror Universe,7
Drug Use,7
Bisexual Julian Bashir,7
POV Alternating,7
Fuck Form,7
Dramatic Elim Garak,7
Implied/Referenced Self-Harm,7
Fake/Pretend Relationship,7
Mind Games,6
Grief/Mourning,6
Recovery,6
Pining Elim Garak,6
Art,6
Trans Julian Bashir,6
Polyamory,6
Past Child Abuse,6
Implied/Referenced Torture,6
Childhood Trauma,6
Angst and Humor,6
5+1 Things,6
Genetic Engineering,6
Friendship/Love,6
Crack Treated Seriously,6
Alcohol,6
Ferengi,6
Violence,6
Illustrated,6
Love Triangles,6
Epistolary,6
Voyeurism,6
Missing Scene,6
Pre-Relationship,6
Suicidal Thoughts,6
Secrets,6
Crossover,6
Self-Esteem Issues,6
Spies & Secret Agents,6
Implied/Referenced Rape/Non-con,6
Canon Compliant,6
Making Out,6
Mental Health Issues,6
Depression,6
Flashbacks,6
Past Abuse,6
Canon-Typical Violence,5
Mpreg,5
Post-A Stitch in Time - Andrew Robinson,5
Semi-Public Sex,5
PWP,5
Stripping,5
Eventual Smut,5
Character Study,5
Implied/Referenced Child Abuse,5
Podfic Length: 0-10 Minutes,5
Poetry,5
Interrogation,5
Implied/Referenced Sex,5
Worldbuilding,5
Murder,5
Medical Procedures,5
Minor Character Death,5
Fluff and Smut,5
Canonical Character Death,5
Not Beta Read,5
Panic Attacks,5
Non-Sexual Intimacy,5
One-Shot,5
Section 31 (Star Trek),5
Sex Toys,5
Ableism,5
Embarrassment,5
Angst and Feels,5
Hallucinations,5
Light BDSM,5
No Sex,5
No beta we die like Jem'Hadar,5
One Shot,5
Solid!Odo,5
Nightmares,5
Marriage,5
Solid Odo,5
Not Canon Compliant,5
Angst and Hurt/Comfort,5
Unhealthy Coping Mechanisms,5
Making Love,4
Not Actually Unrequited Love,4
Unrequited Crush,4
probably out of character,4
Alternate Universe - Age Changes,4
Non-Consensual Drug Use,4
Exile,4
Teasing,4
Alternate Reality,4
Age Swap,4
Character Death,4
Mental Breakdown,4
First Date,4
Pansexual Elim Garak,4
Comfort,4
Obsidian Order,4
BDSM,4
Unreliable Narrator,4
Bottom Elim Garak,4
Romantic Fluff,4
Episode: s04e10 Our Man Bashir,4
Oneshot,4
Quark's Bar (Star Trek),4
Sexual Fantasy,4
Friends With Benefits,4
Dominance,4
Implied/Referenced Incest,4
Grief,4
Mating Rituals,4
Podfic Welcome,4
Yearning,4
Unresolved Romantic Tension,4
Time Travel,4
Falling In Love,4
Dramatic Weyoun,4
Some Humor,4
Cultural Differences,4
Bittersweet,4
Podfic Length: 1-1.5 Hours,4
Revenge,4
Minor Violence,4
Kid Fic,4
A Stitch in Time - Andrew Robinson,4
Drinking,4
Aftercare,4
Vomiting,4
Top Elim Garak,4
Internalized Homophobia,4
Psychological Trauma,4
Blood and Gore,4
Innuendo,4
Canon Disabled Character,4
Rape/Non-con Elements,4
Sexual Slavery,4
Don't copy to another site,4
Xenobiology,4
Sex,4
Alien Gender/Sexuality,4
Songfic,4
Bottom Julian Bashir,4
Hopeful Ending,4
Family Issues,4
Attempted Rape/Non-Con,4
Asexual Character,4
Hurt No Comfort,4
Family,4
Gay Character,4
Awkward Crush,4
Kidnapping,4
Dom/sub,4
Slow Build,4
Augmented Julian Bashir,4
Literal Sleeping Together,4
Explicit Sexual Content,4
Mental Anguish,4
Hand Jobs,4
Sickfic,4
Bathing/Washing,4
Dom/sub Undertones,4
Odo being Odo,4
Father-Son Relationship,3
Audio Format: Streaming,3
Espionage,3
One-Sided Attraction,3
Breathplay,3
Touching,3
Garak POV,3
Naive Weyoun,3
Post-Episode: s04e01-02 Way of the Warrior,3
Feelings,3
Coda,3
Digital Art,3
Episode: s03e18 Distant Voices,3
Emotional/Psychological Abuse,3
Maquis,3
Episode: s05e09 The Ascent,3
GFY,3
Awkward Conversations,3
Lingerie,3
Audio Format: MP3,3
Manipulation,3
Blackmail,3
Caretaking,3
Inspired by Poetry,3
Challenge Response,3
Episode: s02e22 The Wire,3
Longing,3
Hate Sex,3
Mutual Masturbation,3
Julian Bashir and Elim Garak's Book Club,3
Reunions,3
Cardassian scales,3
Excessive Drinking,3
Consent Issues,3
Non-Sexual Age Play,3
Don’t copy to another site,3
Power Dynamics,3
Post-Dominion War (Star Trek),3
Internalised ableism,3
Genetically Engineered Beings,3
Post-Canon Fix-It,3
Inspired by Fanfiction,3
First Dates,3
Ambiguous Relationships,3
Ambiguous/Open Ending,3
Podfic Length: 45-60 Minutes,3
Past Rape/Non-con,3
Pointless,3
Gift Giving,3
The Garak/Bashir Mysteries,3
Stream of Consciousness,3
Alien anatomy,3
Silly,3
Family Fluff,3
Scents & Smells,3
Blood,3
Tumblr Prompt,3
Quark - Freeform,3
Past Torture,3
Enemies to Lovers,3
Injury,3
Alternate Universe - Star Trek Fusion,3
Mystery,3
Mental Instability,3
Sexy,3
Morning After,3
Cardassia,3
protective Garak,3
Fluffy,3
Ensemble Cast,3
First Meetings,3
Frottage,3
Porn,3
originally posted to alt.startrek.creative.erotica.moderated,3
Psychological Horror,3
Screenplay/Script Format,3
flirtation,3
Weird Plot Shit,3
Bad Decisions,3
Drabble Collection,3
Implied/Referenced Character Death,3
Post-Episode: s03e01-e02 The Search,3
Blood and Injury,3
Shame,3
Cuddling and Snuggling,3
