,freeforms
Fluff,14
Established Relationship,12
Angst,10
Hurt/Comfort,8
Explicit Sexual Content,8
Post-Canon Cardassia,8
Romance,6
Emotional Hurt/Comfort,5
Angst with a Happy Ending,5
Humor,5
Nightmares,4
Love,4
Podfic,4
Fluff and Humor,4
Garashir - Freeform,4
Marriage,3
Post-Canon,3
Crossover,3
Alien Sex,3
Podfic & Podficced Works,3
Sexual Fantasy,3
Cultural Differences,3
Sexual Humor,3
Fanart,3
Holodecks/Holosuites,3
Erotica,3
Friendship/Love,3
Ambiguous/Open Ending,3
Episode: s02e22 The Wire,3
Alternate Universe - Canon Divergence,3
Alternate Universe,3
Pre-Slash,2
Kid Fic,2
Sort Of,2
Sexual Torture,2
Light Angst,2
Gay,2
Rape,2
Cuddling & Snuggling,2
Love Confessions,2
Sexual Tension,2
Panic Attacks,2
Whipping,2
Awkward Sexual Situations,2
Other Additional Tags to Be Added,2
Interspecies Romance,2
Falling In Love,2
Pining,2
Interspecies Sex,2
Pansexual Character,2
Alcohol,2
Meta,2
Interspecies Relationship(s),2
Illness,2
True Love,2
This Is Why We Can't Have Nice Things,2
Unresolved Sexual Tension,2
Domestic Fluff,2
Implied Sexual Content,2
Polyamory,2
Unimaginable sappiness,2
Dissociation,2
More Fluff,2
Drama & Romance,2
Consensual Kink,2
Spotify,2
Identity Issues,2
Pre-Canon,2
Claustrophobia,2
Deep Dish Nine,2
Post-Episode: s05e16 Doctor Bashir I Presume,2
Friendship,2
Episode: s05e16 Doctor Bashir I Presume,2
Episode Tag,2
POV Julian Bashir,2
Drabble Collection,2
Playlist,2
Reunions,2
Sweet,2
Flirting,2
Ficlet,2
First Kiss,2
Hurt No Comfort,2
Hugs,2
Fanvids,2
Drinking,2
Art,2
Episode Related,2
Rough Sex,2
Mental Health Issues,2
Pre-Relationship,2
Bondage,2
Light Bondage,2
Alternate Universe - Modern Setting,2
PTSD,2
Internalized Homophobia,2
Rape Aftermath,2
Getting Together,2
Garak's POV,1
Ferengi Rules of Acquisition,1
Here's the happy ending I promised y'all!,1
Episode: s05e12 The Begotten,1
Eventual Romance,1
Angst and Hurt/Comfort,1
'Afterimage' S7E03,1
Garak's Past,1
Series,1
Solid!Odo,1
Interspecies Awkwardness,1
changlings,1
Morning After,1
Queerplatonic Relationships,1
Hallucinations,1
Queer Themes,1
Drunkenness,1
Canon Queer Character,1
Canon Queer Relationship,1
Brotherly Love,1
Bisexuality,1
Found Family,1
Slow Romance,1
Homosexuality,1
Angst and Humor,1
Adoption,1
Adopted Children,1
Mutual Pining,1
Stream of Consciousness,1
Mentions of Major Character Death,1
Male Homosexuality,1
Canon Bisexual Character,1
Check out the linked album it's sick,1
Alternate Universe - Fantasy,1
Awkward Romance,1
Angst and Romance,1
unedited,1
DS9,1
Dominion War,1
Mitski-inspired,1
Star Trek - Freeform,1
Star Trek: Deep Space Nine - Freeform,1
THEY JUST LOVE EACH OTHER OK,1
War feels,1
beginning of war,1
i mean...,1
Cultureshock,1
Meditation,1
Romulus - Freeform,1
Vulcans,1
Action & Romance,1
I was given this prompt on tumbles ages ago,1
Forgot I wrote this,1
tain is a garbage parent,1
everyone else is only alluded to,1
Low-key calling out the haters that drove me away from the sequels as a kid,1
Metafiction,1
Non-fic,1
Only Kirk Spock and Janeway are mentioned by name,1
Relationships are only mentioned briefly,1
You've been warned,1
hates on Star wars a bit,1
shitty parent,1
only a little gay,1
or more accurately,1
Another unedited bit from my Google drive,1
Explicitly Bi/pan garak btw,1
I'm going through wips,1
not going to finish this I just loved it,1
Blood and Violence,1
Brain Damage,1
Character Death,1
I Wrote This Instead of Sleeping,1
non-binary femme,1
phlebotinum,1
sex pheremones,1
unless you consider a cardassian erection a downside,1
well except the bajorans,1
See each chapter for relevant tags,1
assassin julian,1
its not really a substance that makes you want to sex,1
but you don't really have to read that one,1
doctor is just garak's sarcastic nickname for him,1
it's related to the first prompt fill in this series,1
so uh,1
they're both just vague sketches of a plot anyway,1
this is the climax of a fic i haven't written,1
look i don't know why i like to write fic about star trek characters getting high,1
it probably say more about me than them,1
Extremely Dubious Consent,1
Drugs,1
Major Character Injury,1
Memory Loss,1
Telepathic Sex,1
Telepathy,1
Alien Biology,1
Crack Fic,1
Mind/Mood Altering Substances,1
everyone loves garak,1
Non-Monogamy,1
Non-binary character,1
Sex pollen?,1
but then why are you even here,1
but you need to sex to get the substance,1
cardassian xenobiology,1
luxury gay space socialism,1
hot damn,1
Forbidden Love,1
Sad with a Happy Ending,1
background garashir,1
background kiradax,1
cardassians have tails,1
friendships,1
Alternate Universe - Flower Shop,1
Alternate Universe - Role Reversal,1
Homesickness,1
Insomnia,1
Trans!Sara Sue,1
Death is Apparently a Theme...,1
Drabbles,1
Ficlets,1
Froday Flash Fiction Challenge,1
Ghosts,1
Pictures Come to Life,1
Trans Female Character,1
aroace character,1
Substance Abuse,1
Platonic shipping,1
Non-Sexual Intimacy,1
does it count as an au if i made up something that doesn't actually happen,1
for a school assignment,1
But in its own way,1
Comfort?,1
a little idea of how those two spend their last minutes among the living,1
about ninety years post-canon in fact,1
Aromantic Awareness Week,1
Aromantic Awareness Week 2021,1
Aromantic Character,1
Arospec awareness week,1
Asexual Character,1
Bad Matchmaking,1
Character Study,1
I wrote this for myself but you can read it too,1
No Beta,1
Trans Male Character,1
