,freeforms
Fluff,227
Established Relationship,168
Angst,154
First Kiss,111
Post-Canon,103
Post-Canon Cardassia,92
Hurt/Comfort,90
Humor,74
Friends to Lovers,72
Getting Together,70
Pre-Slash,68
Emotional Hurt/Comfort,68
Alternate Universe - Canon Divergence,53
Romance,53
POV Elim Garak,51
Pining,50
Friendship,49
Flirting,48
Cuddling & Snuggling,44
POV Julian Bashir,44
Fluff and Angst,41
Mutual Pining,36
Kissing,36
Holodecks/Holosuites,35
Love Confessions,35
Ficlet,34
Cardassian Culture,34
Pre-Relationship,33
Idiots in Love,33
Angst with a Happy Ending,33
Domestic Fluff,31
Alien Cultural Differences,30
Developing Relationship,29
Alternate Universe,28
One Shot,27
Sharing a Bed,27
Drabble,27
Light Angst,26
First Time,26
Genetic Engineering,25
Episode Related,25
Character Study,25
Jealousy,25
Autistic Julian Bashir,24
Implied Sexual Content,23
Claustrophobia,23
Happy Ending,23
Fluff and Humor,23
Post-Traumatic Stress Disorder - PTSD,22
Misunderstandings,22
Julian Bashir and Elim Garak's Book Club,22
Slow Burn,22
Angst and Hurt/Comfort,22
Garashir - Freeform,22
Banter,21
Introspection,21
Cultural Differences,21
Crack,21
Deep Dish Nine,19
Canon Compliant,18
Fanart,18
Alien Biology,18
Alcohol,18
Post-Episode: s05e16 Doctor Bashir I Presume,17
Nightmares,17
Oblivious Julian Bashir,17
Anxiety,16
Slash,16
Mental Health Issues,15
Love,14
Trans Julian Bashir,14
Panic Attacks,14
Family,14
Unrequited Love,14
Fake/Pretend Relationship,14
Mild Hurt/Comfort,14
Post-Episode: s02e22 The Wire,14
Canon-Typical Violence,13
Comedy,13
Richard Bashir's A+ Parenting,13
Polyamory,13
Screenplay/Script Format,13
Humour,13
Vignette,13
Making Out,13
Drama,13
Alien Culture,13
Secret Relationship,13
Missing Scene,12
Sexual Tension,12
Mpreg,12
Romantic Fluff,12
Tooth-Rotting Fluff,12
Non-Sexual Intimacy,12
Pre-Canon,12
Episode: s05e16 Doctor Bashir I Presume,12
A Stitch in Time - Andrew Robinson,12
POV Alternating,12
Silly,12
Suicidal Thoughts,11
Flashbacks,11
Slice of Life,11
POV First Person,11
Unresolved Sexual Tension,11
Dialogue Heavy,11
Sweet,11
Miscommunication,11
Cardassians,11
Solid!Odo,10
Conversations,10
Sort Of,10
Crack Treated Seriously,10
Literal Sleeping Together,10
AU,10
Podfic Welcome,10
Character Death,10
Christmas,10
Bickering,10
Depression,10
Episode: s05e15 By Inferno's Light,10
Ambiguous/Open Ending,10
Confessions,10
i love these two,10
Illustrated,10
Marriage Proposal,10
Domestic,10
Ambiguous Relationships,10
Innuendo,9
Drunkenness,9
Rare Pairings,9
Epistolary,9
Secrets,9
Spies & Secret Agents,9
Self-Esteem Issues,9
Time Travel,9
Short One Shot,9
Songfic,9
Implied/Referenced Self-Harm,9
Reunions,9
Gossip,9
Mirror Universe,9
Shapeshifting,9
Kid Fic,9
Episode: s05e14 In Purgatory's Shadow,9
First Dates,9
Art,9
Episode: s07e25 What You Leave Behind,8
Cardassian Anatomy,8
Matchmaking,8
Post-Coital Cuddling,8
Arguing,8
Kidnapping,8
Podfic & Podficced Works,8
Fanvids,8
Mild Sexual Content,8
Married Couple,8
Mental Breakdown,8
Trauma,8
Friendship/Love,8
Sleepy Cuddles,8
Feelings,8
Gen or Pre-Slash,8
Podfic,8
Enabran Tain's A+ Parenting,8
Self-Harm,8
Pining Elim Garak,8
Episode: s02e22 The Wire,8
POV Outsider,8
Implied/Referenced Sex,8
Friends With Benefits,7
Mary Russell Mysteries,7
No beta we die like Jem'Hadar,7
Episode: s04e10 Our Man Bashir,7
Hopeful Ending,7
Unreliable Narrator,7
Embedded Video,7
Section 31,7
Awkwardness,7
Public Display of Affection,7
Grief/Mourning,7
Recovery,7
Xenophilia,7
Minor Character Death,7
One-Sided Attraction,7
Post-Canon Fix-It,7
Section 31 (Star Trek),7
Fix-It,7
Christmas Fluff,7
Fix-It of Sorts,7
Bisexual Julian Bashir,7
Oblivious Elim Garak,7
Awkward Flirting,7
Don't copy to another site,7
Flufftober 2021,7
Episode: s03e21 The Die Is Cast,7
Regret,7
Valentine's Day,7
Episode: s03e10 Fascination,7
Seduction,7
Implied/Referenced Torture,7
Dancing,7
Prompt Fic,6
Crossover,6
No Smut,6
Found Family,6
Nog is my gay son,6
Dark,6
Post-Series,6
Romantic Soulmates,6
Long-Distance Relationship,6
Dialogue-Only,6
Oo-mox,6
Mild Language,6
Canon Disabled Character,6
Telepathy,6
Past Relationship(s),6
Past Child Abuse,6
Weddings,6
Dominion War (Star Trek),6
Pregnancy,6
Tailoring,6
Drunken Confessions,6
Gay Character,6
Age Difference,6
Soulmate-Identifying Marks,6
Alternate Universe - Modern Setting,6
Post-Episode: s04e10 Our Man Bashir,6
Murder Mystery,6
Getting Back Together,6
Music,6
Poetry,6
Cuddling,6
Alternate Universe - Human,6
Massage,6
Attempt at Humor,6
Episode Tag,6
Implied/Referenced Child Abuse,6
Ferengi,6
Cardassia,6
Comfort,6
Deadly Sins Garak/Bashir Fest,6
Intimacy,6
Injury,6
Childhood Trauma,6
Espionage,6
Medical Procedures,6
Trans Male Character,6
Male Character of Color,6
Awkward Conversations,6
Cardassian flirting,6
Other Ships Not Mentioned in Tags,6
Mystery,6
Addiction,5
Angst and Feels,5
Vorta - Freeform,5
Father-Son Relationship,5
Future Fic,5
5+1 Things,5
Sexual Humor,5
Pansexual Elim Garak,5
recursive fic,5
Implied/Referenced Character Death,5
Exile,5
Medical Examination,5
AU where Garak is the head of the Obsidian Order and Dukat is an exile,5
Trektober 2021,5
Let's give them the happy ending they deserve,5
Suicide Attempt,5
Audio Format: MP3,5
Morning After,5
Episode: s03e02 The Search Part II,5
Drinking,5
Bittersweet,5
Stimming,5
Obsidian Order,5
Interspecies Relationship(s),5
Inspired by Fanfiction,5
Alternate Universe - Soulmates,5
Homesickness,5
Coming Out,5
Platonic Relationships,5
Platonic Cuddling,5
Alternate Universe - Age Changes,5
Bad Flirting,5
Age Swap,5
Post-Episode: s05e15 By Inferno's Light,5
Teasing,5
Coda,5
Diary/Journal,5
Touch-Starved,5
Video,5
quickfic,5
Enemies to Lovers,5
Episode: s05e09 The Ascent,5
First Meetings,5
Hurt No Comfort,5
Holding Hands,5
Episode: s03e20 Improbable Cause,5
Post-Episode: s04e26 Broken Link,5
Fluff without Plot,5
Internment Camp 371 (Star Trek),5
Ensemble Cast,5
No Sex,5
Horror,5
Not Actually Unrequited Love,5
Fluff and Crack,5
Short & Sweet,5
Drunken Shenanigans,5
Light-Hearted,5
Mostly Dialogue,5
Late Night Conversations,5
One-Shot,5
Heavy Angst,5
Falling In Love,5
Worldbuilding,5
Dreams,4
Lies,4
Whump,4
Blood and Injury,4
Feelings Realization,4
Overworking,4
Cute,4
Violence,4
Mentions of Sex,4
War,4
Denial of Feelings,4
New Relationship,4
Drug Addiction,4
