,freeforms
Oral Sex,26
Anal Sex,15
Plot What Plot/Porn Without Plot,15
Threesome - F/M/M,13
Polyamory,12
Angst,12
Rough Sex,10
Voyeurism,10
Alien Biology,9
Smut,9
Hurt/Comfort,8
Double Penetration,8
Bottom Elim Garak,7
Group Sex,7
Vaginal Sex,7
Porn with Feelings,7
Porn With Plot,7
Exhibitionism,7
BDSM,7
Threesome - M/M/M,7
Semi-Public Sex,6
Violence,6
Sex Toys,6
Dirty Talk,6
Dubious Consent,5
Threesome,5
Intersex Kelas Parmak,5
Jealousy,5
Rough Oral Sex,5
Anal Fingering,5
Sex,5
Masturbation,5
Alien Gender/Sexuality,4
Daddy Kink,4
Aftercare,4
Fisting,4
Kinktober,4
Fluff,4
Power Play,4
Established Relationship,4
Consensual Non-Consent,4
Post-Traumatic Stress Disorder - PTSD,4
Hand Jobs,4
Blow Jobs,4
Dissociation,4
Shapeshifting,4
Public Sex,4
Trans Julian Bashir,4
Multiple Orgasms,4
Gang Rape,4
Alien Sex,4
Orgy,4
Frottage,4
Cardassians,4
Cunnilingus,4
Top Elim Garak,3
Fingering,3
Light Bondage,3
Scent Marking,3
PWP,3
Double Penetration in One Hole,3
Dom/sub Undertones,3
Facials,3
Penis In Vagina Sex,3
Explicit Consent,3
Light Dom/sub,3
Fluff and Smut,3
Alien Culture,3
Screenplay/Script Format,3
Bondage,3
Restraints,3
Sexual Fantasy,3
Post-Canon Cardassia,3
Roleplay,3
Pining,3
Shameless Smut,3
Sexual Violence,3
Xenophobia,3
Xenophilia,3
Come Eating,3
Foot Fetish,3
Consensual Kink,3
Holodecks/Holosuites,3
Complicated Relationships,3
Grief/Mourning,3
Humiliation,3
Spanking,3
Blindfolds,3
Spitroasting,3
Blood and Injury,3
Rimming,3
Torture,3
Forced Orgasm,3
Emotional/Psychological Abuse,2
Clothed Sex,2
Blood and Gore,2
Wet & Messy,2
Cardassian Anatomy,2
Violent Sex,2
Office Sex,2
Rape Roleplay,2
Face-Sitting,2
Recreational Drug Use,2
Quickies,2
Alcohol,2
Shower Sex,2
Pining Elim Garak,2
Dax's past hosts,2
Blood,2
Bukkake,2
Pegging,2
Angst and Fluff and Smut,2
Polyamorous Character,2
Masochism,2
AI Dungeon Generated,2
Hair-pulling,2
Praise Kink,2
Rape,2
Asphyxiation,2
Choking,2
Clothing Kink,2
Dacryphilia,2
Sadism,2
Impact Play,2
Salirophilia,2
Verbal Humiliation,2
Nonsense,2
Surreal,2
Post-Episode: s07e12 The Emperor's New Cloak,2
Healing,2
Holosuite Dates (Star Trek),2
Implied/Referenced Rape/Non-con,2
Scent Kink,2
Casual Sex,2
Illustrated,2
Service Top,2
Blood Kink,2
Biting,2
Size Kink,2
Strength Kink,2
Dom/sub,2
Pon Farr,2
Mind Games,2
Penetrative Sex,2
Mildly Dubious Consent,2
Deepthroating,2
Teasing,2
Oblivious Julian Bashir,2
Mirror Universe,2
Reader-Insert,2
Watersports,2
Post-Canon,2
kind of,2
Human/Cardassian,2
Food Sex,2
Drabble Collection,2
Emotional Hurt/Comfort,2
Kissing,2
POV Julian Bashir,2
Crying,2
Don’t copy to another site,2
Bisexual Male Character,2
Lingerie,2
Gangbang,2
Love Confessions,2
Alien Cultural Differences,2
Changelings,2
Crossover,2
Foursome,2
Ferengi,2
Minor Character Death,2
Humor,2
Non-Consensual Drug Use,2
Getting Together,2
Porn,2
First Time,2
Bisexuality,2
Nipple Play,2
Genital Torture,2
Collars,2
Introspection,2
Explicit Sexual Content,2
Come Shot,2
Relief,1
bedroomfantasies,1
Vaginal,1
makinglove,1
Rope Bondage,1
onelastime,1
Multiple Sex Positions,1
