,freeforms
Polyamory,36
Fluff,16
Post-Canon,9
Domestic Fluff,8
Post-Canon Cardassia,6
Established Relationship,6
OT3,5
Humor,5
Hurt/Comfort,5
Emotional Hurt/Comfort,4
Asexual Character,4
Family,4
A Stitch in Time - Andrew Robinson,4
Eventual Romance,4
Book: Enigma Tales (Star Trek),4
Slow Romance,4
Interspecies Romance,4
Drama & Romance,3
in a relationship,3
Episode: s05e16 Doctor Bashir I Presume,3
Dancing,3
Alien Culture,3
Polyamory Negotiations,3
Slow Dancing,3
Crossover,3
Romance,3
Canon Disabled Character,3
Friendship,3
Cooking,3
Alien Gender/Sexuality,3
Doctors and Lizards Triad,3
BFFs,2
Sleepy Cuddles,2
Erotica,2
Snippets,2
Alternate Universe - Canon Divergence,2
Friends to Lovers,2
Unconventional Families,2
Nonbinary Character,2
Friendship/Love,2
Implied Sexual Content,2
Alternate Universe,2
Partners to Lovers,2
Dominion War,2
Fun,2
Fluff and Humor,2
Comedy,2
Pining,2
Cardassian flirting,2
Cardassians,2
flashfic,2
Disabled Julian Bashir,2
Original Character(s),2
Found Family,2
Resolved Sexual Tension,2
Deep Space Nine - Freeform,2
Angst,2
Everyone Is Gay,2
Fanart,2
Alien Cultural Differences,2
Headcanon,2
True Love,2
Soulmates,2
Sexual Tension,2
Fluff and Angst,2
Long-Distance Relationship,2
Ficlet,2
Huddling For Warmth,2
Crack,2
Silly,2
Character Study,2
Domestic,2
Families of Choice,2
Father-Son Relationship,2
Alien Biology,2
Christmas,2
Fix-It,2
Kira is constantly confused,1
self-idulgent fic,1
Jake Sisko deserves everything good,1
Cardassian Culture,1
Analysis,1
Jean-Luc Picard just needs a break,1
Trills,1
Light Angst,1
POV Male Character,1
One-Sided Attraction,1
Hanahaki Disease,1
nonbinary!odo,1
Essays,1
no beta we die like men,1
Kardasi is a little bit inspired by German,1
i just put all the ships in there,1
i guess,1
because i love christmas,1
and i just want the whole fam to celebrate it,1
also odo is nb and only uses he/him pronouns in the show bc 90s babeyyy,1
Sorry Not Sorry,1
the crossover nobody expected but here we are,1
set vaguely in the Little Achievements universe,1
Courtship,1
Flirting,1
Stone is a badass and should be treated as such,1
fairy tale,1
s6ep13 Far Beyond The Stars,1
s6ep08 Resurrection,1
Trans Male Character,1
Trans Female Character,1
Cardassian gender concepts touched upon,1
Multiple Trans Characters,1
Jadzia and Leeta are the flirty bisexual friends we deserved to see more of,1
Gotta trans 'em all!,1
Cardassians think she's really hot,1
Happy Ending,1
Many episode references,1
Awkwardness,1
Fanfiction,1
Other Ships Not Mentioned in Tags,1
Basically Ben and Jake are catching up,1
Garak is In Control Of His Emotions (except really not),1
