,freeforms
Rare Pairings,7
Fluff and Humor,6
Sexual Content,6
Humor,6
Unrequited Love,6
Alternate Universe - Canon Divergence,6
Sexual Humor,6
Cardassians,6
Cardassian Culture,5
Dramatic Elim Garak,5
Angst and Humor,5
Weyoun 6 lives,5
Vorta - Freeform,5
Polyamory,5
Bisexual Julian Bashir,5
Idiots in Love,5
Love Triangles,5
Not Actually Unrequited Love,4
Emotional Manipulation,4
Quark's Bar (Star Trek),4
Post-Canon,4
Pining Elim Garak,4
Autistic Julian Bashir,4
Garashir - Freeform,4
POV Alternating,4
Oblivious Julian Bashir,4
Crack,4
Sorry Not Sorry,4
Odo being Odo,4
Mind Games,4
Mating Rituals,3
Post-Canon Cardassia,3
Implied Sexual Content,3
Oral Sex,3
Awkward Crush,3
Pansexual Elim Garak,3
POV Julian Bashir,3
Weird Plot Shit,3
Dramatic Weyoun,3
Promiscuity,3
Unrequited Lust,3
Drabble,3
Sex,3
Threesome - F/M/M,3
Post-canon Bajor,2
Sexual Tension,2
Cardassian Anatomy,2
Emotional Hurt/Comfort,2
Romance,2
Platonic Garashir,2
Slash,2
POV Queer Character,2
Changelings,2
Unrequited Crush,2
Implied/Referenced Underage Sex,2
POV Weyoun,2
Comedy,2
Cardassia,2
Grief/Mourning,2
Jadzia Dax Lives,2
Naive Weyoun,2
Mutual Pining,2
Fake/Pretend Relationship,2
Threesome,2
Bajorans,2
Devious Elim Garak,2
POV Elim Garak,2
Dominion War (Star Trek),2
Threesome - F/F/M,2
Crossover,2
Section 31,2
Weyoun being Weyoun,2
Bajoran Culture,2
Forbidden Love,2
Non-Explicit,2
Awkward Boners,2
Queerplatonic Relationships,2
Science Fiction,2
Flirting,2
Vorta can purr,2
Mental Health Issues,2
Pregnancy,2
Drama,2
Manipulation,2
Alternate Universe - Crack,2
Angst,2
Humour,2
Enemies to Lovers,2
Alternate Universe,2
Slow Burn,2
Gay Character,2
Excessive Drinking,2
Occupation of Bajor,2
Established Relationship,2
Dramatic Julian Bashir,2
Blood and Injury,1
Male Slash,1
Unrequited Everything Basically,1
Fantasizing,1
Starts en media res,1
Femslash,1
Rough Sex,1
Fluffy,1
kiiinda,1
Crossover Pairings,1
because these two love each other in every universe,1
Working title: If you give Garak a Bajoran boyfriend,1
Bubble Bath,1
B'Elanna on DS9,1
Affairs,1
well i mean it's worf and dax you know what they're like,1
No actual threesome,1
This is niche as hell and if you like it I think you're just aces,1
Short,1
Drabble Collection,1
Kira and Garak coparenting,1
Kira and Garak being the gay-lesbian solidarity we need and deserve,1
Transgender Miles O'Brien,1
Polyamory Negotiations,1
Internalized Homophobia,1
Internalized Biphobia,1
DSNiners' Yule Flash Kinkswap 2021,1
eventual kid fic,1
Post-Series,1
Mature for chapter 16,1
Living their lives,1
Kira and Kasidy waiting for Ben,1
Hanging with lovesick Julian lol,1
Comfort,1
Strangulation,1
Self-Pity,1
Resentment,1
Possession,1
Dark,1
Choking,1
Bad BDSM Etiquette,1
Adopted Children,1
Alternate Universe - Science Fiction,1
Episode s5e1 Apocalypse Rising,1
Mental Torture,1
Ensemble Cast,1
Weddings,1
Suicide Attempt,1
Self-Sacrifice,1
Valentine's Day,1
Secret Relationship,1
Possessive Behavior,1
Mind Manipulation,1
Memory Alteration,1
Episode s5e10 Rapture,1
Explicit Sexual Content,1
Escape,1
Episode: s5e25 In The Cards,1
Episode: s05e22 Children of Time,1
Episode: s05e19 Ties of Blood and Water,1
Episode: s05e15 By Inferno's Light,1
Episode: s05e14 In Purgatory's Shadow,1
Episode: s05e08 Things Past,1
Steamy,1
Accidental Stimulation,1
angsty,1
because I said so,1
Making Out,1
Involuntary sexual attraction,1
Inappropriate Humor,1
First Kiss,1
Embarrassing Situations,1
Crack Treated Seriously,1
Awkward Conversations,1
pining Julian bashir,1
Queer Character,1
Payback,1
Non-Sexual Intimacy,1
Jealousy,1
Intrigue,1
Hijinks & Shenanigans,1
Garawey,1
Founders,1
Crush at First Sight,1
Courting Rituals,1
One-Sided Attraction,1
Plotting and scheming,1
burning desire,1
Weird Biology,1
Physical Abuse,1
Past Abuse,1
Lovesickness,1
Implied/Referenced Child Abuse,1
Hangover,1
Crack Relationships,1
Attempted Seduction,1
Angst and Feels,1
Weird Aliens,1
Promiscuous Julian Bashir,1
Revenge,1
Jealous Elim Garak,1
Gambling,1
Ferengi,1
Binge Drinking,1
sexual inuendo,1
not really one-sided,1
Rambling Julian Bashir,1
Benjamin Sisko is so done,1
Arguing as flirting,1
Alien Mythology/Religion,1
and therefore everyone who was not immortal-ish like they are has died of old age,1
All the soft tropes are right here folks come and get 'em!,1
tagged M for mentions of body writing but it's only a little bit,1
so sorry if that confuses you,1
silly little fic that somehow grew to 2k words,1
i do a lot of dubious worldbuilding,1
duck prints press prompt-a-duck,1
aspec Honor Harrington,1
anthro treecats,1
and i switch between the two,1
Alien Cultural Differences,1
Past Relationship(s),1
Past Character Death,1
Honor goes by her middle name in the 'present',1
Alternate Universe - Modern with Magic,1
(i think comma ive never written one before),1
teddy bear,1
flower picking,1
chocolate kisses,1
Babies,1
Happy Ending,1
Marriage Proposal,1
Sisko Family Feels,1
The Dominion (Star Trek) - Freeform,1
Spies and Diplomats,1
Spies & Secret Agents,1
Queer Themes,1
Pining Weyoun,1
Gay Panic,1
Gay Male Character,1
Garawey?,1
First Love,1
Devious Weyoun,1
Boys In Love,1
Third degree burns,1
Ziyal POV,1
Young Love,1
Wedding Fluff,1
Tora Ziyal Lives,1
These two getting to be happy and young and free damnit,1
Whumptober,1
Neither will Dukat haters,1
Protective Worf,1
PTSD,1
sub!Julian Bashir,1
negotiating relationships,1
established Data/Picard,1
autistic bashir,1
Sub!Picard,1
Setting Boundaries,1
Romantic Fluff,1
Post-A Stitch in Time canon,1
Post-A Stitch in Time - Andrew Robinson,1
Platonic BDSM,1
No Sex,1
Romulans,1
Nemesis didn’t happen,1
M/M/M,1
Long-Distance Relationship,1
Kink Negotiation,1
Implied kink,1
Healing from trauma,1
Grey-A-ish Garak,1
Garak is learning to trust,1
Garak is a needy old man,1
Fluff,1
Chastity Device,1
Ishka manipulates Zek by withholding sex,1
Mild Kink,1
Interspecies Sex,1
Post-100 Year War (Avatar TV),1
Other Additional Tags to Be Added,1
Original Female Characters - Freeform,1
Mystery,1
Military Science Fiction,1
Long Live Feedback Comment Project,1
Human Biology,1
Evolution,1
Culture Shock,1
Crossovers & Fandom Fusions,1
Cross-posted on SpaceBattles,1
Cross-Posted on FanFiction.Net,1
Constructive Criticism Welcome,1
Birth of the Federation,1
Badass Zuko (Avatar),1
Badass Ty Lee,1
Badass Sokka (Avatar),1
Badass Katara (Avatar),1
Andorians,1
Starts out funny but ends kind of sad,1
Sex with males females and other things,1
Established Julian Bashir/Elim Garak,1
Established Bashir/Data/Picard,1
Dom!Data,1
Family,1
Violence,1
Endgame,1
Character Death,1
Intersex,1
Implied/Referenced Torture,1
Hurt/Comfort,1
Cuddling & Snuggling,1
Murder,1
Implied/Referenced Incest,1
Damaged Julian,1
Risa - Freeform,1
various - Freeform,1
Het,1
Wedding Planning,1
Childhood Trauma,1
Zhian'tara,1
Threesome - F/F/F,1
Personal Favorite,1
Complicated Relationships,1
Character Study,1
Mirror Universe,1
Alien Culture,1
Hallucinations,1
Autistic Character,1
Healing,1
Aftercare,1
Abuse referenced,1
we'll just call it pegging for now idk.,1
pegging?,1
mollyamory,1
is it pegging if its a female pseudopenis?,1
coz i like face sitting,1
Recreational Drug Use,1
Face Sitting,1
Cunnilingus,1
polyamory is wrong (it should be multiamory),1
Semi-Public Sex,1
Fingerfucking,1
Sassy,1
On-Again/Off-Again Relationship,1
No one has their shit together,1
Trill Worldbuilding,1
Trill Culture and Taboo,1
Team as Family,1
Post-War,1
Nonverbal Communication,1
Recent African Origin of modern humans,1
Starfleet,1
Medical Jargon,1
NSFW Art,1
Episode: s01e03 Past Prologue,1
Episode: s01e01-02 Emissary,1
Dukat lovers will not be disappointed,1
Bajor,1
Adoption,1
Abduction,1
alliieenns,1
alien redesigns,1
Star Trek References,1
Star Trek - Freeform,1
My First Fanart,1
The Romulan War is coming,1
Inspired by Fanart,1
Illustrations,1
Fanart,1
DS9,1
Aliens,1
Alien Biology,1
Alternate Universe - Time Travel,1
Xenopsychology,1
Xenobiology,1
Meta,1
Episode: s01e07 Q-Less (Deep Space Nine),1
Episode: s01e16 If Wishes Were Horses,1
Episode: s01e19 Duet (Deep Space Nine),1
Episode: s01e20 In the Hands of the Prophets,1
Let's just go with it,1
Klingon Bedside Manner,1
I Don't Even Know,1
Fire,1
Episode: s06e03 Sons And Daughters,1
Body Horror,1
Awkward Father-Son Relationship,1
(maybe?) - Freeform,1
there's something for everyone,1
Unwanted Sexual Pursuit,1
Unresolved Sexual Tension,1
Star Trek Novels - Freeform,1
Star Trek Books - Freeform,1
Post-Episode: s01e08 Dax (Deep Space Nine),1
Physical Torture,1
Original Character(s),1
Ficlet Collection,1
Episode: s02e10 Sanctuary,1
Episode: s02e05 Cardassians,1
Episode: s02e03 The Siege (Deep Space Nine),1
Episode: s02e02 The Circle,1
Vorta Culture,1
Spa Treatments,1
Pining,1
Sex Is Fun,1
Slice of Life,1
Prompt Fic,1
Pre-Slash,1
Pre-Relationship,1
One True Pairing,1
My First Smut,1
Love,1
Fluff and Smut,1
Cute,1
Angst and Hurt/Comfort,1
Adorable,1
Step-parents,1
Post-Dominion War (Star Trek),1
Old Married Couple,1
Mind Meld,1
Inspired by Music,1
Homecoming,1
Growing Old,1
out of the frying pan,1
into the fire,1
Vulcans,1
Wholesome,1
Episode: s04 ep08 Little Green Men,1
Light Angst,1
First Time,1
Implied/Referenced Dubious Consent,1
Implied/Referenced Abuse,1
Dayoun is referenced,1
Alien Gender/Sexuality,1
who among us has not had a crush on a gay older man?,1
unethical seductions,1
the beheading of Procal Dukat,1
Sauna,1
Missing Scene,1
Episode: s04e22 For the Cause,1
Age Difference,1
night on the prowl,1
friend zone to end zone,1
skipping some steps in there though lol,1
recovering Cardassia,1
Minor time skip,1
Enemies to Friends to Lovers,1
Sitcom,1
Recovery,1
Mental Instability,1
Getting Together,1
The Dominion,1
