,freeforms
Podfic,3
Podfic & Podficced Works,3
Alien Sex,3
Erotica,3
Sexual Humor,3
Friendship/Love,3
Interspecies Relationship(s),2
Alcohol,2
Awkward Sexual Situations,2
Implied Sexual Content,2
Flashbacks,2
Meta,2
Pansexual Character,2
Romance,2
True Love,2
Unresolved Sexual Tension,2
Love,2
Sexual Fantasy,2
Sexual Tension,2
Interspecies Sex,2
Interspecies Romance,2
Humor,2
Fandom history,1
Sexual,1
Non-Sexual Intimacy,1
No Beta,1
I wrote this for myself but you can read it too,1
Character Study,1
Bad Matchmaking,1
Asexual Character,1
Arospec awareness week,1
Aromantic Character,1
Aromantic Awareness Week 2021,1
Aromantic Awareness Week,1
Slash,1
Sexy,1
Resolved Sexual Tension,1
Substance Abuse,1
Male Slash,1
Love/Hate,1
Love Triangles,1
Forbidden Love,1
changlings,1
Alien Culture,1
Mentions of Violence,1
Nightmares,1
Queerplatonic Relationships,1
Queer Themes,1
Male Homosexuality,1
fake medical jargan,1
Platonic shipping,1
aroace character,1
Canon Queer Relationship,1
background garashir,1
Cardassians,1
Cardassian Anatomy,1
Alternate Universe - Modern Setting,1
Nonfiction,1
Essays,1
Episode: s03e25 Facets,1
Episode: s03e11-12 Past Tense,1
Character Analysis,1
Analysis,1
Evil Author Day,1
Abandoned Work - Unfinished and Discontinued,1
Friendship,1
video games - Freeform,1
Trans!Simon Holmes,1
Trans!Sara Sue,1
Trans Male Character,1
Trans Female Character,1
Pictures Come to Life,1
Holodecks/Holosuites,1
Ghosts,1
Froday Flash Fiction Challenge,1
Ficlets,1
Drabbles,1
Death is Apparently a Theme...,1
friendships,1
cardassians have tails,1
background kiradax,1
Homosexuality,1
Canon Queer Character,1
Fanvids,1
Canon Bisexual Character,1
Blood and Violence,1
Alternate Universe - Canon Divergence,1
PWP,1
Action & Romance,1
two guys being sad and petty and inappropriate,1
but also some friendship,1
No Smut,1
No Sex,1
Drunken Confessions,1
Background Relationships,1
Dementia,1
Rape Aftermath,1
post-war cardassia,1
crimson shadow,1
Pre-OT3,1
Parents,1
Fluff and Angst,1
Top Julian Bashir,1
Rating varies by chapter and is in the chapter notes,1
Nonnies Made Me Do It,1
Spanking,1
Ficlet Collection,1
original footage,1
multifandom vid,1
Work Contains Fan(s) or Fandom(s),1
Video Format: Streaming,1
Download Available,1
Brain Damage,1
Character Death,1
Extremely Dubious Consent,1
Explicit Sexual Content,1
Brotherly Love,1
Bisexuality,1
Fake Science,1
Slow Romance,1
Platonic Cuddling,1
mental breakdowns,1
Deep Space Nine - Freeform,1
School District 9 - Freeform,1
Guilt,1
Attempted Rape/Non-Con,1
Interspecies Awkwardness,1
Dildos,1
Falling In Love,1
Identity Issues,1
Eventual Romance,1
Light Bondage,1
Drama & Romance,1
Orgy,1
Awkward Romance,1
Angst and Romance,1
Telepathy,1
Telepathic Sex,1
Rough Sex,1
Other Additional Tags to Be Added,1
Memory Loss,1
Major Character Injury,1
Smut,1
