,freeforms
Hurt/Comfort,3
Deep Dish Nine,3
Angst,3
Fluff,3
Dominion War (Star Trek),2
Established Relationship,2
Anthology,2
Self-Esteem Issues,2
Alternate Universe,2
Alternate Universe - Pizza Place,2
Possibly Unrequited Love,2
Sort Of,2
Post-Break Up,2
DD9 AU,2
POV Julian Bashir,2
Friendship,2
Parody,2
Autistic Julian Bashir,1
this is a sad one,1
Elim Garak: Anxiety Lizard,1
We don't deserve Keiko,1
Pre-Slash,1
threatening each other with weapons is how garak and bashir flirt,1
Bitterness,1
No Dialogue,1
Slice of Life,1
Cats,1
Crack,1
this is canon,1
Flashbacks,1
Introspection,1
poem,1
No Apologies,1
Voyager,1
Brief suicidal ideation,1
Depression,1
Genetic Engineering,1
there is not much of this,1
Moral Dilemmas,1
Mutual Pining,1
Self-Reflection,1
and surprise! it's relevant,1
pre slash,1
spy julian,1
but i like it,1
Prisoner of War,1
Internment Camp 371 (Star Trek),1
Miscommunication,1
Abuse,1
Blood and Injury,1
Whump,1
dermal regenerators,1
general malaise,1
gratuitous everything,1
the dominion is bad news,1
DD9,1
Assault,1
Implied/Referenced Child Abuse,1
Not Canon Compliant,1
References to Depression,1
Separation Anxiety,1
oof ow ouchie,1
Letters,1
POV Ezri Dax,1
Feelings Realization,1
Mpreg,1
Communication,1
Complicated Relationships,1
Surgery,1
Unethical Experimentation,1
Emotional Hurt/Comfort,1
Genetic Enhancement,1
also ages of all the kids will be posted here,1
may have forgotten one set of nose ridges,1
this is for my fic What are we now?,1
visual aids cuz 7 characters is a lot in one chapter,1
Alternate Universe - Canon Divergence,1
Implied Violence,1
damar is emotionally repressed,1
dayoun if you squint,1
weyoun is a damsel,1
Break Up,1
Fluff and Humor,1
Episode: s06e09 Statistical Probabilities,1
Tooth-Rotting Fluff,1
Shenko - Freeform,1
Soulmate-Identifying Marks,1
soul marks,1
It's not a cultural misunderstanding when neither of you really understand the culture,1
Other Additional Tags to Be Added,1
Weird Fluff,1
Alternate Universe - Star Trek Fusion,1
mShakarian - Freeform,1
Post-War,1
Dominion War,1
Holodecks/Holosuites,1
Poetry,1
College,1
Hockey,1
Homelessness,1
mostly Bashir being Bashir,1
Everything goes wrong on DS9 all the time,1
Aliens made them say it,1
meddling OC,1
Post Season 7,1
How i think it should've ended,1
gross stuff,1
bad language,1
trill!lock,1
symbionts and hosts,1
many lives,1
its complicated,1
Trill - Freeform,1
Treklock,1
Taboo,1
Star Trek - Freeform,1
Joan Watson - Freeform,1
International Relations,1
Angst and Hurt/Comfort,1
Sharing a Bed,1
Drunken Confessions,1
Out of Character,1
Alternate Reality,1
Fanvids,1
Time Travel,1
Unwritten Timelines,1
Cultural Differences,1
Calm Before The Storm,1
Auras,1
Domestic Fluff,1
RP log,1
Moving In Together,1
complicated relationship,1
Avoiding Big Conversations Through Cuddling,1
Light Domesticity,1
Multiple Crossovers,1
Mary Sue,1
Intentionally Bad Spelling & Grammar,1
Crossovers & Fandom Fusions,1
Crossover,1
Bad Flirting,1
i love them both so much,1
Not Romance,1
Just Friends,1
Julian is meant for Garak,1
Julian is an awkward fellow,1
Helping each other out,1
Ezri is a kind human,1
Cute Friendship,1
introduction,1
gotta love this au,1
Medical,1
Post-Canon,1
