,freeforms
Angst,9
Work In Progress,9
Male Friendship,6
Introspection,6
Post ASIT,6
Post Series,6
Mild Hurt/Comfort,5
POV Elim Garak,5
Angst and Hurt/Comfort,5
Analysis,4
Fluff and Humor,4
Meta,4
Episode Review,4
Humor,4
Identity Issues,4
Crack,4
Nonfiction,4
Science Fiction,4
Unreliable Narrator,4
Post-Canon Cardassia,4
Denial of Feelings,3
Cuddling & Snuggling,3
Hurt/Comfort,3
Canon-Typical Violence,3
POV Julian Bashir,3
Fluff,3
Implied M/M,3
Spoilers,3
Trektober 2020,3
Klingon,3
Cardassian Culture,2
Depression,2
Drinking,2
Sexual Humor,2
Symbionts,2
Quark's Bar (Star Trek),2
Past Lives,2
Multiple Personalities,2
Humour,2
Fluff and Crack,2
Dominion War (Star Trek),2
Trills,2
Bajoran Culture,2
Light Angst,2
Weyoun 6 lives,2
Trans Julian Bashir,2
harsh words,2
Flirting,2
Awkward Flirting,2
Attempted Seduction,2
Courtroom Drama,2
Genetic Engineering,2
POV First Person,2
Sorry Not Sorry,2
Implied/Referenced Rape/Non-con,2
Starfleet Academy,2
Post-Canon,2
Episode: s07e04 Take Me Out to the Holosuite,2
Character Death,2
Communication,2
M/M implied,2
Kanar,2
Enemies to Allies To Lovers,1
Tal Shiar,1
Romulans centric,1
Romulans,1
Romulan Culture,1
Qowat Milat,1
No Supernova,1
Ferenginar,1
Attempted Murder,1
Elim Garak is not a heartless assassin after all,1
Alternate Universe - Canon Divergence,1
Abandoned Work - Unfinished and Discontinued,1
Trans Elim Garak,1
T4T Garashir,1
Garak's Gender Crisis,1
Discussions of Internalized Transphobia,1
Community and Mutual Aid are the best assets,1
Holodecks/Holosuites,1
yaknow,1
Rom is a comrade,1
Not Safe For Dukat's Mental Health,1
season 6,1
Sukkot | Tabernacles,1
Judaism,1
Jewish Worf,1
Identity,1
Community: daysofawesome,1
Canon Compliant,1
Adopted Worf,1
Screenplay/Script Format,1
Male-Female Friendship,1
"season 4 episode 24 ""Body Parts""",1
not really a dream,1
mention of death but no one dies,1
background garashir,1
There is always background Garashir,1
Rom is a good brother,1
Coming Out as Transgender,1
sometimes u feel homosexual feelings and thats ok,1
but there's no actual self-harm in this fic,1
I figured what the heck,1
Rape Recovery,1
Rape Aftermath,1
Rape,1
Non-Linear Narrative,1
Healing,1
Tellarites,1
School,1
Tains basement,1
Friendship,1
Found Family,1
Fluff and Angst,1
College,1
delete scene,1
Bajorans,1
drunk,1
Vorta - Freeform,1
Audio Format: MP3,1
Garak and Damar have both dealt with addiction why not write this,1
This is saved as 'Garak and Damar talk about feelings' if that tells you anything,1
just guys being dudes,1
Implied/Referenced Torture,1
its literally some boys having a convo there is nothing else to it,1
im setting this in like alternate history 2019-2020 so like no rona just rodo,1
idk why i only write about Riker being gay idk its cathartic,1
i wrote picard as a huge prissy nerd and im not sorry,1
i have a feeling this is going to come back to haunt me someday,1
bisexual awakening,1
aye!,1
anyway,1
Gay Awakening,1
Alternate Universe - High School,1
One for All is a Trill Symbiont,1
Mild Language,1
Crossovers & Fandom Fusions,1
Alternate Universe - Star Trek Fusion,1
Trauma,1
Serious Injuries,1
Medicine,1
Tora Ziyal Lives,1
We All Hate Enabran Tain,1
mentions of the idea of someone self-harming,1
Risa - Freeform,1
Misunderstandings,1
Klingon Culture (Star Trek),1
Hijinks & Shenanigans,1
Genderfluid,1
Gender Identity,1
Emotionally Repressed,1
Embarrassment,1
Drunk Sex,1
Awkward Sexual Situations,1
Awkward Conversations,1
Arguing,1
Angry Worf,1
United Federation of Planets (Star Trek),1
Post-Dominion War (Star Trek),1
Cardassians,1
Cardassia,1
fantasies,1
POV Worf (Star Trek),1
Polyamorous Character,1
Promiscuous Dax,1
POV Tora Ziyal,1
miles and his emotions (repressed),1
julian's many exes (neither mentioned nor absent),1
jadzia and her emotions (idem),1
Everyone is going through it,1
this is Ziyal's little plot of earth,1
lost and found family,1
garashir far far in the background,1
Not loneliness,1
Symbiont hosts,1
Missing Scenes,1
Loneliness,1
Heavy-handed metaphors,1
Worf is uptight,1
Waking up the Morning After,1
Trill Culture (Star Trek),1
The Author Regrets Nothing,1
USS Defiant NX-74205 (Star Trek),1
The Borg,1
Teasing,1
Gore,1
Crossdressing,1
Awkward Julian Bashir,1
Awkward Crush,1
Alternate Universe - Crack,1
Young Elim Garak,1
Obsidian Order (Star Trek),1
Interrogation,1
Cults,1
Mild Blood,1
Blood,1
Season/Series 01,1
Episode: s01e03 Past Prologue,1
Episode: s01e19 Duet (Deep Space Nine),1
Season/Series 05,1
Episode: s05e03 Looking for par'Mach in All the Wrong Places,1
tw self harm,1
Deep Space Nine Nonsense,1
Gymnast,1
non-canon,1
Rambling Julian Bashir,1
Symbiont joining,1
Surprise Kissing,1
Starfleet,1
Star Trek AU - crack,1
Star Trek AU,1
challenge community: dark fest,1
Sexual References,1
Fallen Heroes,1
Gymnastics,1
Parody,1
POV Alternating,1
One-Sided Attraction,1
Odo being Odo,1
Nervous Julian Bashir,1
Missing Scene,1
season 1 i think?,1
Shore Leave,1
Drinking Games,1
Friendship/Love,1
in general I'm ignoring canon mirrorverse plot,1
