,freeforms
Alien Sex,10
Oral Sex,9
Plot What Plot/Porn Without Plot,7
Alien Biology,7
Porn with Feelings,6
Established Relationship,5
Hurt/Comfort,5
Frottage,4
Angst,4
Xeno,4
Hand Jobs,4
Cardassian Anatomy,4
Alien Gender/Sexuality,4
Holodecks/Holosuites,4
Xenophilia,3
Oo-mox,3
Dubious Consent,3
Aftercare,3
Masturbation,3
Blood and Injury,3
Intersex Kelas Parmak,3
Tentacle Sex,3
Denial of Feelings,3
Alcohol,3
First Time,3
Mirror Universe,3
Feelings Realization,3
Illustrations,3
Dirty Talk,3
Restraints,2
Post-Canon,2
Wet & Messy,2
Pon Farr,2
Gentle Sex,2
Consentacles,2
Medical Procedures,2
Urophilia,2
Nonbinary Character,2
Religious Guilt,2
Watersports,2
Foot Fetish,2
Vorta Pussy (Vussy),2
Aftermath of Torture,2
Friends With Benefits To Lovers,2
Topping from the Bottom,2
Gender-neutral Reader,2
Fluff and Crack,2
Vorta have tails!,2
Anal Fingering,2
kind of,2
Fingerfucking,2
Vaginal Sex,2
Banter,2
Angst and Hurt/Comfort,2
Blow Jobs,2
Bondage,2
Cardassian Culture,2
Trauma,2
Cunnilingus,2
Cloacal Sex,2
Cloaca,2
Dom/sub,2
Rough Sex,2
BDSM,2
Pining,2
Tentacles,2
Oviposition,2
Spanking,2
Intersex!Kelas Parmak,2
Fluff,2
Body Positivity,2
Smut,2
Cardassian Literature,2
Intersex,2
Love Confessions,2
Hate Sex,2
Alternate Universe,2
Xenobiology,2
Outdoor Sex,2
Cardassians,2
Crack,2
Ferengi,2
Semi-Public Sex,2
dubcon,2
Porn,2
Body Horror,2
Voyeurism,2
Polyamory,2
Rough Oral Sex,2
Missing Scene,2
Genderfluid Character,2
Post-Traumatic Stress Disorder - PTSD,2
Daddy Kink,2
Sex Toys,2
The Federation as a metaphor for how the government sucks,1
ketracel-white being the drug,1
Mommy kink in a supernatural way?,1
Mommy Kink,1
smarmy commentary from your fave jem'hadar,1
Goddess Worship,1
Office Sex,1
swivel chair shenanigans,1
Character Study,1
Wet Dream,1
Drug Use,1
He’s dead,1
Idiots in Love,1
Garak gets fucked by a planet,1
Smoking,1
Father/Son Incest,1
Threesome,1
Episode: s07e25 What You Leave Behind,1
Damar is just mentioned,1
post-WYLB,1
NB Damar and Weyoun,1
lot going on in this fic,1
not like. cocaine.,1
anyway,1
Weyoun 9,1
although keevan one hundred percent snorts cocaine,1
AU,1
Implied/Referenced Homophobia,1
Service Kink,1
Sappy,1
Safeword Use,1
Rope Bondage,1
Past Child Abuse,1
Panic Attacks,1
Orgasm Delay/Denial,1
Obsidian Order,1
Masochist Elim Garak,1
Masochism,1
Julian Bashir and Elim Garak's Book Club,1
I've Written This Story Before...,1
Filthy,1
Angst with a Happy Ending,1
...And I'll Write It Again!,1
Porn With Plot,1
Not too much,1
First Time Blow Jobs,1
Episode: s02e07 Rules of Acquisition,1
Alternate Universe - Canon Divergence,1
impact-play,1
holographic porn,1
Sappy Ending,1
Soft Dom Julian Bashir,1
Fluff and Smut,1
complete and utter filth,1
which is hardly relevant,1
but not aggressive,1
Weyoun/Damar is in chapter two,1
Weyoun being repressed,1
Keevan was just bored,1
I made up everything about the vorta homeworld,1
I just like jungles,1
Biting,1
weyoun hates himself whenever he has sex,1
sex with a holosuite program,1
but i might make a continuation,1
although with this ending you might think it is,1
Not Actually Unrequited Love,1
Humor,1
Gratuitous Smut,1
they switch,1
switch rights,1
safeword,1
pure filth,1
past trauma,1
fight me,1
Rape/Non-con Elements,1
Non-Consensual Drug Use,1
for crack reasons,1
implied child loss,1
Vague Handwavey Gestures at Alien Biology,1
Definitely No Feelings of Any Kind,1
Breaking and Entering,1
Bants,1
nonbinary ezri dax,1
Post-Episode: s07e03 Afterimage,1
Open Relationships,1
Ny/Nyr Pronouns for Ezri Dax,1
DSNiners' Yule Flash Kinkswap 2021,1
Trans Elim Garak,1
The Crimson Shadow - Una McCormack,1
Nonbinary Kelas Parmak,1
dabo boy Julian,1
magical semen,1
Zanthi Fever,1
Post-Episode: s05e16 Doctor Bashir I Presume,1
Past Relationship(s),1
Nude Modeling,1
Julian fucks a Horta,1
Holosuite Dates (Star Trek),1
Genetics,1
Gambling,1
Fuck Form,1
Complicated Relationships,1
Clothed Sex,1
Bureaucracy,1
Begging,1
Enemies to Lovers,1
Human Odo,1
Post-Episode: s04e26 Broken Link,1
Effeminacy,1
Crossdressing,1
whatever honestly i have been on this site for seven years and i still dont know how to tag shit,1
read it either way fuck if i care,1
rachael [barry manilow voice] this ones for you,1
or just a prequel,1
i mean its the fuckin woods is that public or like,1
holy shit just realized ive been on this hellsite for seven years,1
anyway moving on!,1
First Meetings,1
Bittersweet Ending,1
i don't want to have a tag for old people lizard sex but. well,1
garak cries while riding kelas. yeah......,1
Post-Canon Cardassia,1
yes I did way too much research for this,1
very little of it translated to the page,1
