,freeforms
Fluff,15
Drabble,5
Established Relationship,5
Post-Canon Cardassia,5
Trans Julian Bashir,4
Friendship/Love,4
Slow Romance,3
Hurt/Comfort,3
Bathing/Washing,3
Domestic Fluff,3
Drama & Romance,3
Eventual Romance,3
Angst,3
Interspecies Romance,3
Ficlet,3
Bigotry & Prejudice,3
Fluff and Angst,3
Unrequited Love,3
Long-Distance Relationship,3
Polyamory,3
Episode: s02e22 The Wire,3
Soulmates,2
Alien Gender/Sexuality,2
Alternate Universe - Human,2
Silly,2
Pre-Relationship,2
Cantair Set,2
Love Confessions,2
Mild Hurt/Comfort,2
BFFs,2
Not Actually Unrequited Love,2
Sexual Tension,2
Erotica,2
Nonbinary Elim Garak,2
Friends to Lovers,2
Intersex Kelas Parmak,2
POV Second Person,2
Genderqueer Elim Garak,2
Partners to Lovers,2
True Love,2
Resolved Sexual Tension,2
Implied Sexual Content,2
Alien Culture,2
Sickfic,2
Self-Insert,2
Time Travel,2
Alien Mythology/Religion,2
Family Issues,2
Meta,2
Alternate Universe - Canon Divergence,2
Unconventional Families,2
Shedding,2
Family,2
Agender Character,2
Grooming,2
Bittersweet,1
Break Up,1
A Stitch in Time - Andrew Robinson,1
gay culture,1
Exes,1
Cardassian Culture,1
Social Anxiety,1
Time Travel Fix-It,1
Grief/Mourning,1
got me feeling,1
Addiction,1
Alcohol Abuse/Alcoholism,1
Depression,1
i'm high,1
basically what i think happens once Julian gets the 400 page letter that is a stitch in time,1
No beta we die like redshirts,1
You've Got Me Feeling Emotions,1
Fanfiction,1
Gen or Pre-Slash,1
screenplay,1
Happy Ending,1
Garshir - Freeform,1
Don't copy to another site,1
Q Continuum,1
Romulans,1
Crossover,1
The Borg,1
to anyone who actually ships Jezri: Im sorry but this is a breakup,1
this is actually what happens post canon in my opinion,1
okay but can I have this without angst please,1
is this how i actually use tags?,1
"i took one look at ""Under The Blind Moon"" and went",1
dialogue only,1
but only in reference,1
Violence,1
Friend-Insert,1
Bureaucracy comedy in space,1
mostly just Julian comforting someone with a fear of doctors,1
heavily implied garashir,1
like big time fluffy,1
for me and some other people with very specific issues,1
can't imagine what inspired me to write THAT,1
Slice of Life,1
but that's everything I write isn't it,1
just some green ensigns fucking around,1
all aboard the self indulgence train,1
Wish Fulfillment,1
Self-Indulgent,1
Medical,1
Cardassian Anatomy,1
I'm not sure what to tag this one as tbh,1
neither is particularly plot relevant but im the trans author so its canon now,1
just some dudes in love you know how it is,1
Proposals,1
Light Angst,1
mentions of food and food related anxiety,1
fuck the canon we die like warriors,1
I am not writing in first person for the first time in ages,1
Autistic Julian Bashir,1
but now it is,1
good for me!,1
this wasn't going to be DSD,1
Weyoun 6 lives,1
YOU'VE,1
Whoa-oh-oh Whoa oh-oh,1
Video Chat,1
Phone Calls,1
Higher Than The Heavens Above,1
Friendship,1
Feelings,1
Emotions,1
Deeper Than I've Ever Dreamed Of,1
i will die on this hill.,1
ft a little cardassian language,1
but it plays a minor part,1
again. not relevant to the fic but its true!,1
Original Character(s),1
Reader-Insert,1
Workplace Relationship,1
Cardassian hatching from egg,1
Forgive Me,1
Flash Fic,1
episode: s04e10 Homefront,1
drabble for the prompt °Frame°,1
better not to ask,1
What's Polite-ese For 'Oh Hell No'?,1
WHAT DOES THAT EVEN MEAN,1
