,freeforms
Hurt/Comfort,5
Angst,5
Alternate Universe - Canon Divergence,4
Dubious Consent,4
Ferengi,3
Voyeurism,3
Cardassian Culture,3
Deep Space Nine - Freeform,3
Established Relationship,3
Implied Sexual Content,3
Masturbation,3
Prostitution,3
Flirting,3
Alien Biology,3
Some Humor,2
Post-Traumatic Stress Disorder - PTSD,2
Alien Gender/Sexuality,2
Implied/Referenced Sex,2
Internalized Homophobia,2
Drabble Collection,2
Queerplatonic Relationships,2
Implied/Referenced Torture,2
Cuddling & Snuggling,2
Polyamory,2
Weight Gain,2
MWG,2
Vorta - Freeform,2
sorry - Freeform,2
Bad Things Happen Bingo,2
Drabble,2
Implied/Referenced Rape/Non-con,2
Domestic Fluff,2
Fluff,2
Sex,2
Emotional/Psychological Abuse,2
Erotica,2
Changelings,2
Pining,2
Psychological Horror,2
Bajorans,2
Bajoran Culture,2
Self-Harm,2
Slavery,2
Intersex Kelas Parmak,2
Dominion War,2
Interspecies Sex,2
Sexual Content,2
Misunderstandings,2
Self-Esteem Issues,2
Body Positivity,2
Kissing,2
Alternate Universe,2
i had to do this,1
many headcanons,1
Oh hell no,1
Parody,1
Sex Pollen,1
dukat still flirts,1
he/they Weyoun,1
they hate each other,1
Dayoun is not the abusive relationship,1
Gen or Pre-Slash,1
Flashbacks,1
Episode: s06e23 Profit and Lace,1
Fix-It of Sorts,1
Ferengi culture,1
Grooming,1
shy!reader,1
Alcohol Abuse/Alcoholism,1
Reader is gender neutral,1
night on the prowl,1
friend zone to end zone,1
Used As Bait,1
Therapy,1
Surgery,1
Meet-Cute,1
Section 31 (Star Trek),1
Implied/Referenced Character Death,1
Heavy Angst,1
Hallucinations,1
Electrocution,1
Broken Bones,1
POV Second Person,1
Blood and Injury,1
Blood and Gore,1
Age Swap,1
Blood and Violence,1
Chubby Kink,1
Drug Use,1
Tora Ziyal has ADHD,1
Tora Ziyal Lives,1
Slice of Life,1
Plague,1
Humour,1
Genital-Themed Pasta,1
Implied/Referenced Self-Harm,1
lockdown - Freeform,1
Curtain Fic,1
Nudity,1
Covid-19 Related Fanwork,1
COVID-19,1
(although I didn't make that super obvious here),1
Teasing,1
Drug Addiction,1
Alien Flora & Fauna,1
Post-Canon,1
not graphic,1
Oo-mox,1
Missing Scene,1
Holodecks/Holosuites,1
Alternate Universe - Age Changes,1
Reader-Insert,1
Gender-Neutral Pronouns,1
One Shot,1
Aphrodisiacs,1
Bad Medical Ethics,1
vaguely telepathic vines,1
Drug Abuse,1
fashion concious vines,1
Tentacles,1
Tentacle Sex,1
Getting Together,1
Explicit Sexual Content,1
dw it's not a therapist/patient romance thing,1
Implied/Referenced Dubious Consent,1
Vorta Culture,1
Spa Treatments,1
Sexual Humor,1
Nonbinary Elim Garak,1
Rare Pairings,1
Light Angst,1
Implied/Referenced Abuse,1
Episode: s07e08 The Siege of AR-558,1
Forbidden Love,1
Dayoun is referenced,1
Xeno as a vehicle for worldbuilding and tenderness,1
Xeno,1
Consentacles,1
Alien Culture,1
Episode: s02e05 Non Sequitur,1
Post-Episode: s04e01-02 Way of the Warrior,1
Trans Tora Ziyal,1
Non-Binary Weyoun,1
but it's not very explicit nor graphic so idk,1
also i didn't know whether to tag this as gen or not,1
Trans Character,1
they/them Ezri,1
Strangling,1
Rated M for some violence,1
Non-Binary Ezri,1
Angst with a Happy Ending,1
No beta we die like Jem'Hadar,1
Intrusive Thoughts,1
Emotional Hurt/Comfort,1
Dissociation,1
Bad Things Happen Bingo - strangling,1
Far Beyond The Stars Type AU,1
Trans Julian Bashir,1
Warning for depictions of transphobia,1
Threesome,1
Demonic Possession,1
space gladiator,1
lot of Romulans,1
crackship,1
Rare Characters,1
that porn trope where someone is stuck in a dryer but make it Quodo,1
Fluff and Angst,1
there's really not porn in this I just wanted to write the silly setup,1
Attempted Sexual Assault,1
Relationship Discussions,1
Belly Kink,1
Confessions,1
Belly Rubs,1
Tender Sex,1
Honeymoon,1
You Have Been Warned,1
Denial of Feelings,1
basically everyone is LGBTQ+,1
