,freeforms
Erotica,3
Sexual Humor,3
Friendship/Love,3
Trills,2
Implied Sexual Content,2
Falling In Love,2
Trill Culture (Star Trek),2
Interspecies Relationship(s),2
Awkward Sexual Situations,2
Interspecies Romance,2
Interspecies Sex,2
Alien Sex,2
Pansexual Character,2
Romance,2
True Love,2
Unresolved Sexual Tension,2
Sexual Tension,2
Episode: s06e26 Tears of the Prophets,2
Friendship,2
Love,2
Sexual Fantasy,2
Protection,1
Post-Canon Cardassia,1
Male Friendship,1
Nonbinary Character,1
Resolved Sexual Tension,1
Major Character Injury,1
Lies,1
Injury Recovery,1
Amnesia,1
Slash,1
Prose Poem,1
Sexy,1
Sexual,1
Klingons,1
Love/Hate,1
Taboo,1
Alternative Timeline,1
posting because the longfic in progress won't get here for years,1
i may or may not post fleshed out versions later,1
Work In Progress,1
Polyamory,1
No beta we die like Jem'Hadar,1
Idiots in Love,1
I Will Go Down With This Ship,1
Fic Snippets,1
Evil Author Day,1
Symbiotic Relationship,1
Alien Culture,1
Suicidal Thoughts,1
Non-Consensual Body Modification,1
Mild Gore,1
Medical Trauma,1
Grief/Mourning,1
Good Intentions,1
Family Issues,1
Body Horror,1
Arguing,1
Alternate Universe - Canon Divergence,1
Male Slash,1
Homosexuality,1
Love Triangles,1
based of off fanfic,1
Quodo lite,1
garak and keiko are only mentioned,1
Destiny,1
there's a lot of reminiscing about violence and flashbacks etc,1
This is technically part of Still Here,1
Blood,1
Growing Up,1
Originally Posted on deviantART,1
Heart-to-Heart,1
Inspired by Fanfiction,1
Illustrations,1
Gift Art,1
Gift,1
Fanart,1
Elim Garak - Freeform,1
Voyeurism,1
Drinking,1
a drunk goo man and his drunk bat boyfriend,1
Forbidden Love,1
Canon Bisexual Character,1
changlings,1
Queerplatonic Relationships,1
Queer Themes,1
Male Homosexuality,1
Alien Gender/Sexuality,1
Canon Queer Relationship,1
Canon Queer Character,1
Brotherly Love,1
Hurt/Comfort,1
Bisexuality,1
Slow Romance,1
Interspecies Awkwardness,1
Eventual Romance,1
Drama & Romance,1
Awkward Romance,1
Angst and Romance,1
One True Pairing,1
