,freeforms
Angst,12
Established Relationship,10
Fluff,9
Alternate Universe - Canon Divergence,8
Hurt/Comfort,6
Drabble,5
Fluff and Angst,5
Friendship,4
Missing Scene,4
Friends to Lovers,4
Fix-It of Sorts,4
Intersex Kelas Parmak,4
Alpha/Beta/Omega Dynamics,4
Alpha/Omega,4
Post-Canon Cardassia,3
One Shot,3
Alternate Universe,3
Drama,3
Slice of Life,3
Getting Together,3
Shapeshifting,3
Humor,3
Cardassian Culture,3
Angst with a Happy Ending,3
Flirting,3
Pre-Relationship,3
First Kiss,3
Horror,3
Family,3
The Borg,3
Feelings Realization,3
No beta we die like Jem'Hadar,2
Mild Gore,2
Claustrophobia,2
Rescue,2
Enemies to Lovers,2
Crossover,2
Pre-Slash,2
Cave-In,2
Dragons,2
Confessions,2
Sharing a Bed,2
Slavery,2
Developing Relationship,2
Telepathy,2
Crack Treated Seriously,2
Space Battles,2
Genocide,2
Rare Pairings,2
Domestic Fluff,2
Murder Mystery,2
Mild Sexual Content,2
Omega John Watson,2
Ficlet,2
Pining,2
Reader-Insert,2
Trauma,2
Canon Compliant,2
Romulans,2
Time Travel,2
Implied Sexual Content,2
Kissing,2
Emotional Hurt/Comfort,2
Alien Biology,2
Post-Canon,2
Reunions,2
Tragedy,2
Disabled Kelas Parmak,2
Romance,2
Sexuality Crisis,1
No Smut,1
If there’s is only one Vorta commander on each ship,1
in a weird way only they can pull off lol,1
Cardassian flirting,1
(damar is the moron),1
Workplace Relationship,1
Resolved Sexual Tension,1
Curtain Fic,1
Friends With Benefits,1
Tea,1
First Time,1
Caretaking,1
Crimson Shadow Spolers,1
Section 31 (Star Trek),1
gender neutral reader,1
Weyoun is morosexual,1
and the jem’hadar dont sleep,1
how many beds could they possibly have???,1
Internal Monologue,1
Grilled Cheese,1
Injury Recovery,1
Cooking,1
Episode: s01e07 Eye of the Needle,1
kind of,1
Sickbed vigil,1
Episode: s03e18 Distant Voices,1
theres only one bed,1
non-sexual nudity,1
Protective Odo,1
Sailing,1
