relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other
Elim Garak/Julian Bashir,79.5,7.3,4.5,1.7999999999999998,3.4000000000000004,2.3,1.2
Jadzia Dax/Kira Nerys,9.1,7.7,4.7,72.8,4.3,0.4,1.0
Odo/Quark,74.4,8.1,5.7,2.4,5.5,0.7000000000000001,3.1
non-cast/non-cast,26.900000000000002,14.2,28.7,13.200000000000001,10.4,1.6,5.0
Kira Nerys/Odo,10.9,19.8,46.6,4.9,7.000000000000001,2.6,8.1
Julian Bashir/non-cast,52.0,6.800000000000001,20.4,5.0,8.1,2.3,5.4
Jadzia Dax/Worf,20.3,18.0,41.4,7.199999999999999,9.9,2.3,0.8999999999999999
Miles O'Brien/non-cast,27.0,19.3,31.3,8.6,12.0,0.0,1.7000000000000002
Corat Damar/Weyoun,65.2,6.6000000000000005,3.3000000000000003,3.9,4.3999999999999995,0.0,16.6
Elim Garak/Kelas Parmak,53.400000000000006,7.3999999999999995,4.3,4.3,9.8,0.6,20.200000000000003
Ezri Dax/Julian Bashir,26.8,12.8,40.2,7.3,8.4,1.7000000000000002,2.8000000000000003
Julian Bashir/Miles O'Brien,56.2,6.2,15.4,6.2,15.4,0.0,0.6
Elim Garak/non-cast,48.4,9.700000000000001,24.2,2.4,10.5,0.8,4.0
Jake Sisko/Nog,65.0,13.700000000000001,8.5,5.1,6.800000000000001,0.0,0.8999999999999999
Ezri Dax/Kira Nerys,12.6,9.700000000000001,5.800000000000001,63.1,6.800000000000001,0.0,1.9
Jadzia Dax/Lenara Kahn,7.000000000000001,7.000000000000001,10.5,73.3,1.2,0.0,1.2
Benjamin Sisko/Kasidy Yates,15.1,14.299999999999999,31.1,14.299999999999999,25.2,0.0,0.0
Kira Nerys/non-cast,12.4,7.199999999999999,18.6,48.5,11.3,0.0,2.1
Kira Nerys/Skrain Dukat,11.899999999999999,7.5,79.10000000000001,0.0,1.5,0.0,0.0
Skrain Dukat/non-cast,18.2,3.0,60.6,3.0,12.1,0.0,3.0
Jadzia Dax/Julian Bashir,17.9,13.4,47.8,6.0,11.899999999999999,0.0,3.0
Benjamin Sisko/Kira Nerys,5.6000000000000005,14.099999999999998,39.4,9.9,31.0,0.0,0.0
Elim Garak/Skrain Dukat,75.5,2.0,8.200000000000001,2.0,2.0,0.0,10.2
Elim Garak/Tora Ziyal,19.7,18.0,34.4,6.6000000000000005,11.5,6.6000000000000005,3.3000000000000003
Corat Damar/Kira Nerys,11.4,4.5,72.7,2.3,4.5,4.5,0.0
Jadzia Dax/non-cast,16.7,6.7,23.3,41.699999999999996,10.0,1.7000000000000002,0.0
Kira Nerys/Miles O'Brien,15.1,8.200000000000001,21.9,16.400000000000002,34.2,0.0,4.1000000000000005
Elim Garak/Odo,88.6,2.9000000000000004,2.9000000000000004,0.0,2.9000000000000004,0.0,2.9000000000000004
Benjamin Sisko/Julian Bashir,84.2,5.3,5.3,0.0,5.3,0.0,0.0
Weyoun/non-cast,16.3,14.000000000000002,48.8,0.0,7.000000000000001,2.3,11.600000000000001
Skrain Dukat/Tora Naprem,0.0,18.9,75.7,2.7,0.0,0.0,2.7
Bareil Antos/Kira Nerys,2.3,25.0,63.6,6.800000000000001,2.3,0.0,0.0
Skrain Dukat/Weyoun,86.1,2.8000000000000003,2.8000000000000003,0.0,5.6000000000000005,0.0,2.8000000000000003
Julian Bashir/Leeta,42.6,6.4,29.799999999999997,4.3,14.899999999999999,0.0,2.1
Jake Sisko/Tora Ziyal,28.9,8.9,46.7,6.7,6.7,2.1999999999999997,0.0
Leeta/Rom,24.0,14.000000000000002,32.0,10.0,14.000000000000002,4.0,2.0
Julian Bashir/Kira Nerys,17.0,10.6,46.800000000000004,4.3,17.0,0.0,4.3
Julian Bashir/Kelas Parmak,52.300000000000004,4.5,2.3,2.3,25.0,2.3,11.4
Corat Damar/Skrain Dukat,63.6,6.1,12.1,3.0,12.1,0.0,3.0
Ezri Dax/Lenara Kahn,12.8,14.899999999999999,14.899999999999999,46.800000000000004,8.5,0.0,2.1
Corat Damar/non-cast,21.9,18.8,46.9,3.1,9.4,0.0,0.0
Kasidy Yates/Kira Nerys,5.0,10.0,17.5,25.0,42.5,0.0,0.0
Kira Nerys/Kira Nerys,0.0,9.1,4.5,81.8,0.0,0.0,4.5
Benjamin Sisko/Skrain Dukat,67.9,14.299999999999999,10.7,3.5999999999999996,3.5999999999999996,0.0,0.0
Julian Bashir/Skrain Dukat,95.19999999999999,0.0,0.0,0.0,0.0,0.0,4.8
Brunt/Quark,86.4,0.0,4.5,0.0,4.5,0.0,4.5
Quark/non-cast,58.3,8.3,20.8,0.0,8.3,0.0,4.2
Kira Nerys/Shakaar Edon,9.700000000000001,25.8,51.6,6.5,3.2,0.0,3.2
Ezri Dax/Weyoun,4.3,4.3,73.9,4.3,4.3,0.0,8.7
Ezri Dax/non-cast,3.6999999999999997,7.3999999999999995,33.300000000000004,51.9,0.0,0.0,3.6999999999999997
Enabran Tain/Mila Garak,18.2,36.4,36.4,0.0,0.0,9.1,0.0
Julian Bashir/Quark,66.7,0.0,12.5,4.2,4.2,4.2,8.3
Jadzia Dax/Leeta,25.0,0.0,8.3,50.0,12.5,0.0,4.2
Corat Damar/Elim Garak,69.6,4.3,13.0,4.3,8.7,0.0,0.0
Elim Garak/Weyoun,65.2,4.3,0.0,0.0,30.4,0.0,0.0
Lwaxana Troi/Odo,16.1,12.9,48.4,6.5,9.700000000000001,0.0,6.5
Benjamin Sisko/Jadzia Dax,17.4,4.3,52.2,4.3,17.4,0.0,4.3
Odo/non-cast,24.0,12.0,36.0,12.0,0.0,0.0,16.0
Kimara Cretak/Kira Nerys,0.0,6.7,0.0,93.30000000000001,0.0,0.0,0.0
Worf/non-cast,23.799999999999997,19.0,28.599999999999998,4.8,23.799999999999997,0.0,0.0
Kira Meru/Skrain Dukat,0.0,21.4,71.39999999999999,0.0,7.1,0.0,0.0
Julian Bashir/Martok,65.0,0.0,10.0,0.0,15.0,0.0,10.0
Keevan/Remata'Klan,61.1,5.6000000000000005,5.6000000000000005,11.1,5.6000000000000005,0.0,11.1
Elim Garak/Quark,85.7,0.0,7.1,0.0,7.1,0.0,0.0
Natima Lang/Quark,12.5,6.2,50.0,6.2,25.0,0.0,0.0
Elim Garak/Jadzia Dax,35.0,0.0,35.0,0.0,20.0,0.0,10.0
Elim Garak/Worf,78.60000000000001,0.0,7.1,0.0,14.299999999999999,0.0,0.0
Q/non-cast,50.0,7.1,21.4,0.0,21.4,0.0,0.0
Ezri Dax/Tora Ziyal,7.7,7.7,0.0,76.9,7.7,0.0,0.0
Elim Garak/Kira Nerys,18.8,0.0,50.0,12.5,18.8,0.0,0.0
Grilka/Quark,27.800000000000004,5.6000000000000005,44.4,0.0,22.2,0.0,0.0
Benjamin Sisko/non-cast,69.19999999999999,0.0,15.4,15.4,0.0,0.0,0.0
Odo/Weyoun,63.6,18.2,9.1,0.0,0.0,9.1,0.0
Skrain Dukat/Winn Adami,0.0,27.3,63.6,9.1,0.0,0.0,0.0
Keevan/Weyoun,42.1,10.5,10.5,10.5,10.5,0.0,15.8
Elim Garak/Miles O'Brien,75.0,0.0,8.3,0.0,16.7,0.0,0.0
Sarina Douglas/non-cast,7.7,15.4,0.0,69.19999999999999,7.7,0.0,0.0
Kira Nerys/Tora Ziyal,9.1,9.1,18.2,63.6,0.0,0.0,0.0
Tora Ziyal/non-cast,9.1,18.2,9.1,45.5,9.1,0.0,9.1
Julian Bashir/Sarina Douglas,20.0,10.0,60.0,0.0,10.0,0.0,0.0
Hanok/Quark,63.6,0.0,18.2,0.0,18.2,0.0,0.0
Keevan/non-cast,8.3,8.3,58.3,0.0,16.7,0.0,8.3
Elim Garak/Ezri Dax,26.700000000000003,6.7,26.700000000000003,6.7,33.300000000000004,0.0,0.0
Benjamin Sisko/Elim Garak,80.0,0.0,10.0,0.0,10.0,0.0,0.0
Ezri Dax/Worf,15.4,15.4,30.8,7.7,23.1,7.7,0.0
Pel/Quark,33.300000000000004,8.3,25.0,8.3,8.3,0.0,16.7
Quark/Worf,77.8,0.0,11.1,0.0,11.1,0.0,0.0
Julian Bashir/Melora Pazlar,25.0,8.3,41.699999999999996,0.0,16.7,0.0,8.3
Emony Dax/non-cast,20.0,0.0,40.0,30.0,10.0,0.0,0.0
Ezri Dax/Jadzia Dax,0.0,0.0,11.1,66.7,11.1,0.0,11.1
Shakaar Edon/non-cast,8.3,41.699999999999996,50.0,0.0,0.0,0.0,0.0
Julian Bashir/Luther Sloan,87.5,0.0,12.5,0.0,0.0,0.0,0.0
Nilani Kahn/Torias Dax,0.0,10.0,40.0,40.0,0.0,0.0,10.0
Julian Bashir/Worf,62.5,0.0,12.5,0.0,25.0,0.0,0.0
Ezri Dax/Quark,14.299999999999999,0.0,85.7,0.0,0.0,0.0,0.0
Nog/non-cast,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Elim Garak/Pythas Lok,60.0,10.0,0.0,10.0,20.0,0.0,0.0
Elim Garak/Palandine,41.699999999999996,16.7,33.300000000000004,0.0,8.3,0.0,0.0
Jack/Kelas Parmak,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Tora Ziyal,33.300000000000004,8.3,16.7,8.3,33.300000000000004,0.0,0.0
Skrain Dukat/Tora Ziyal,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Jennifer Sisko,11.1,33.300000000000004,33.300000000000004,11.1,11.1,0.0,0.0
Julian Bashir/Palis Delon,36.4,0.0,27.3,9.1,18.2,0.0,9.1
Jack/Sarina Douglas,30.0,10.0,50.0,10.0,0.0,0.0,0.0
Benjamin Sisko/Curzon Dax,30.0,0.0,30.0,0.0,30.0,0.0,10.0
Ishka/Lwaxana Troi,0.0,0.0,14.299999999999999,71.39999999999999,14.299999999999999,0.0,0.0
Thomas Riker/non-cast,42.9,14.299999999999999,42.9,0.0,0.0,0.0,0.0
Curzon Dax/Jadzia Dax,33.300000000000004,11.1,22.2,11.1,22.2,0.0,0.0
Kira Nerys/Leeta,16.7,0.0,0.0,50.0,33.300000000000004,0.0,0.0
Benjamin Sisko/Quark,80.0,20.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/Lupaza,0.0,25.0,0.0,75.0,0.0,0.0,0.0
Benjamin Sisko/Ezri Dax,12.5,12.5,12.5,25.0,25.0,0.0,12.5
Remata'Klan/non-cast,0.0,0.0,66.7,0.0,33.300000000000004,0.0,0.0
Kira Nerys/Quark,25.0,0.0,25.0,0.0,50.0,0.0,0.0
Ezri Dax/Leeta,14.299999999999999,14.299999999999999,0.0,57.099999999999994,14.299999999999999,0.0,0.0
Felix/Julian Bashir,57.099999999999994,0.0,14.299999999999999,0.0,14.299999999999999,0.0,14.299999999999999
Yelgrun/non-cast,75.0,25.0,0.0,0.0,0.0,0.0,0.0
Female Changeling/Weyoun,60.0,0.0,20.0,0.0,0.0,0.0,20.0
Eris/Weyoun,0.0,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Morn/non-cast,33.300000000000004,33.300000000000004,16.7,0.0,0.0,0.0,16.7
Ezri Dax/Jake Sisko,0.0,20.0,80.0,0.0,0.0,0.0,0.0
Martok/non-cast,16.7,0.0,66.7,0.0,0.0,0.0,16.7
Female Changeling/Odo,0.0,25.0,50.0,0.0,0.0,0.0,25.0
Jake Sisko/non-cast,40.0,20.0,20.0,0.0,0.0,0.0,20.0
Kelas Parmak/non-cast,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Odo,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Arissa/Odo,12.5,12.5,37.5,12.5,12.5,0.0,12.5
Eris/Luaran,33.300000000000004,16.7,0.0,50.0,0.0,0.0,0.0
Iloja of Prim/Tobin Dax,33.300000000000004,66.7,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Weyoun,40.0,0.0,0.0,0.0,60.0,0.0,0.0
Enabran Tain/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Tora Naprem/non-cast,16.7,16.7,16.7,33.300000000000004,16.7,0.0,0.0
Mekor Dukat/non-cast,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Michael Eddington,75.0,0.0,0.0,25.0,0.0,0.0,0.0
Captain Solok/non-cast,0.0,40.0,60.0,0.0,0.0,0.0,0.0
Jack/Julian Bashir,50.0,0.0,25.0,0.0,25.0,0.0,0.0
Rotan'talag/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Keevan/Yelgrun,42.9,0.0,0.0,14.299999999999999,14.299999999999999,0.0,28.599999999999998
Aamin Marritza/Iliana Ghemor,0.0,0.0,66.7,0.0,0.0,33.300000000000004,0.0
Boheeka/Quark,75.0,0.0,25.0,0.0,0.0,0.0,0.0
Felix/non-cast,33.300000000000004,0.0,33.300000000000004,0.0,16.7,0.0,16.7
Furel/Lupaza,16.7,33.300000000000004,50.0,0.0,0.0,0.0,0.0
Vreenak/non-cast,0.0,0.0,60.0,20.0,20.0,0.0,0.0
Corat Damar/Ezri Dax,16.7,16.7,33.300000000000004,16.7,16.7,0.0,0.0
Julian Bashir/Julian Bashir,50.0,0.0,0.0,0.0,25.0,0.0,25.0
Spock/non-cast,50.0,0.0,25.0,0.0,0.0,25.0,0.0
Goran'Agar/Julian Bashir,50.0,25.0,0.0,0.0,0.0,0.0,25.0
Alexander Rozhenko/Nog,66.7,0.0,0.0,0.0,33.300000000000004,0.0,0.0
Corat Damar/Tora Ziyal,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Jake Sisko/Kesha,25.0,0.0,50.0,0.0,25.0,0.0,0.0
Joseph Sisko/non-cast,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Kira Nerys/Winn Adami,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Laas/Odo,33.300000000000004,33.300000000000004,0.0,33.300000000000004,0.0,0.0,0.0
Kira Nerys/Worf,20.0,0.0,40.0,20.0,20.0,0.0,0.0
Natima Lang/Tora Naprem,0.0,0.0,0.0,33.300000000000004,33.300000000000004,0.0,33.300000000000004
Quark/Vic Fontaine,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Vic Fontaine,25.0,0.0,25.0,0.0,50.0,0.0,0.0
Tom Paris/non-cast,28.599999999999998,0.0,28.599999999999998,14.299999999999999,28.599999999999998,0.0,0.0
Enabran Tain/non-cast,66.7,0.0,33.300000000000004,0.0,0.0,0.0,0.0
Opaka/Winn Adami,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Corat Damar/Keevan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Melora Pazlar,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Corat Damar/Mila Garak,25.0,25.0,50.0,0.0,0.0,0.0,0.0
Bareil Antos/Benjamin Sisko,28.599999999999998,14.299999999999999,14.299999999999999,28.599999999999998,14.299999999999999,0.0,0.0
Enabran Tain/Martok,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishka/Zek,0.0,20.0,40.0,20.0,20.0,0.0,0.0
Gilora Rejal/non-cast,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Joseph Sisko/Sarah Sisko,0.0,50.0,50.0,0.0,0.0,0.0,0.0
Curzon Dax/Quark,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Enabran Tain/Kelas Parmak,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalan Aroya/Odo,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0,0.0,0.0
Jaro Essa/Winn Adami,0.0,50.0,50.0,0.0,0.0,0.0,0.0
Corat Damar/Julian Bashir,66.7,33.300000000000004,0.0,0.0,0.0,0.0,0.0
Winn Adami/non-cast,0.0,0.0,33.300000000000004,33.300000000000004,0.0,33.300000000000004,0.0
Dax/Lenara Kahn,12.5,25.0,25.0,25.0,12.5,0.0,0.0
Grilka/Natima Lang,0.0,0.0,0.0,66.7,33.300000000000004,0.0,0.0
Kilana/non-cast,0.0,50.0,0.0,50.0,0.0,0.0,0.0
Borath/non-cast,50.0,50.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Enabran Tain,50.0,0.0,0.0,0.0,0.0,50.0,0.0
Dax/non-cast,0.0,0.0,0.0,66.7,0.0,0.0,33.300000000000004
Ishka/Keldar,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Jadzia Dax/Odo,20.0,0.0,40.0,20.0,20.0,0.0,0.0
Julian Bashir/Odo,40.0,0.0,20.0,20.0,20.0,0.0,0.0
Morn/Quark,50.0,25.0,25.0,0.0,0.0,0.0,0.0
Elim Garak/Lwaxana Troi,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Akellen Macet/Elim Garak,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Dax/Worf,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Keevan/Skrain Dukat,100.0,0.0,0.0,0.0,0.0,0.0,0.0
