relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other,Total
Elim Garak/Julian Bashir,3551,324,200,81,152,104,53,4465
Jadzia Dax/Kira Nerys,46,39,24,369,22,2,5,507
Odo/Quark,338,37,26,11,25,3,14,454
non-cast/non-cast,134,71,143,64,52,8,25,497
Kira Nerys/Odo,42,76,179,19,27,10,31,384
Julian Bashir/non-cast,110,15,40,11,15,5,12,208
Jadzia Dax/Worf,45,40,92,16,22,5,2,222
Keiko O'Brien/Miles O'Brien,59,45,73,20,28,0,3,228
Corat Damar/Weyoun,118,12,6,7,8,0,30,181
Elim Garak/Kelas Parmak,87,12,7,7,16,1,33,163
Ezri Dax/Julian Bashir,48,23,72,13,15,3,5,179
Julian Bashir/Miles O'Brien,87,9,21,9,20,0,1,147
Elim Garak/non-cast,58,12,26,3,9,1,4,113
Jake Sisko/Nog,76,16,10,6,8,0,1,117
Ezri Dax/Kira Nerys,13,10,6,65,7,0,2,103
Jadzia Dax/Lenara Kahn,6,6,9,63,1,0,1,86
Benjamin Sisko/Kasidy Yates,18,17,37,17,30,0,0,119
Kira Nerys/Skrain Dukat,8,5,53,0,1,0,0,67
Skrain Dukat/non-cast,12,2,40,2,8,0,2,66
Keiko O'Brien/Kira Nerys,18,7,19,34,30,0,4,112
Jadzia Dax/Julian Bashir,12,9,32,4,8,0,2,67
Benjamin Sisko/Kira Nerys,4,10,28,7,22,0,0,71
Elim Garak/Skrain Dukat,37,1,4,1,1,0,5,49
Elim Garak/Tora Ziyal,12,11,21,4,7,4,2,61
Kira Nerys/non-cast,7,6,11,23,5,0,1,53
Corat Damar/Kira Nerys,5,2,32,1,2,2,0,44
Skrain Dukat/Tora Naprem,0,7,28,1,0,0,1,37
Elim Garak/Odo,31,1,1,0,1,0,1,35
Weyoun/non-cast,7,6,21,0,3,1,5,43
Benjamin Sisko/Julian Bashir,32,2,2,0,2,0,0,38
Bareil Antos/Kira Nerys,1,11,28,3,1,0,0,44
Skrain Dukat/Weyoun,31,1,1,0,2,0,1,36
Jadzia Dax/non-cast,7,4,11,22,5,1,0,50
Julian Bashir/Leeta,20,3,14,2,7,0,1,47
Jake Sisko/Tora Ziyal,13,4,21,3,3,1,0,45
Leeta/Rom,12,7,16,5,7,2,1,50
Julian Bashir/Kira Nerys,8,5,22,2,7,0,2,46
Julian Bashir/Kelas Parmak,23,2,1,1,11,1,5,44
Corat Damar/Skrain Dukat,21,2,4,1,4,0,1,33
Ezri Dax/Lenara Kahn,6,7,7,22,4,0,1,47
Corat Damar/non-cast,7,6,15,1,3,0,0,32
Kasidy Yates/Kira Nerys,2,4,7,10,17,0,0,40
Kira Nerys/Kira Nerys,0,2,1,18,0,0,1,22
Benjamin Sisko/Skrain Dukat,19,4,3,1,1,0,0,28
Brunt/Quark,19,0,1,0,1,0,1,22
Julian Bashir/Skrain Dukat,20,0,0,0,0,0,1,21
Quark/non-cast,14,2,5,0,2,0,1,24
Ezri Dax/Weyoun,1,1,17,1,1,0,2,23
Kira Nerys/Shakaar Edon,3,8,16,2,1,0,1,31
Enabran Tain/Mila Garak,4,8,8,0,0,2,0,22
Ezri Dax/non-cast,1,2,9,14,0,0,1,27
Julian Bashir/Quark,16,0,3,1,1,1,2,24
Jadzia Dax/Leeta,6,0,2,12,3,0,1,24
Corat Damar/Elim Garak,16,1,3,1,2,0,0,23
Elim Garak/Weyoun,15,1,0,0,7,0,0,23
Lwaxana Troi/Odo,5,4,15,2,3,0,2,31
Julian Bashir/Keiko O'Brien,10,1,12,2,12,0,0,37
Kimara Cretak/Kira Nerys,0,1,0,14,0,0,0,15
Worf/non-cast,5,4,6,1,5,0,0,21
Odo/non-cast,6,3,9,3,0,0,4,25
Benjamin Sisko/Jadzia Dax,4,1,12,1,4,0,1,23
Julian Bashir/Martok,13,0,2,0,3,0,2,20
Kira Meru/Skrain Dukat,0,3,10,0,1,0,0,14
Elim Garak/Quark,12,0,1,0,1,0,0,14
Keevan/Remata'Klan,11,1,1,2,1,0,2,18
Elim Garak/Jadzia Dax,7,0,7,0,4,0,2,20
Elim Garak/Worf,11,0,1,0,2,0,0,14
Natima Lang/Quark,2,1,8,1,4,0,0,16
Ezri Dax/Tora Ziyal,1,1,0,10,1,0,0,13
Q/non-cast,7,1,3,0,3,0,0,14
Grilka/Quark,5,1,8,0,4,0,0,18
Elim Garak/Kira Nerys,3,0,8,2,3,0,0,16
Benjamin Sisko/non-cast,9,0,2,2,0,0,0,13
Odo/Weyoun,7,2,1,0,0,1,0,11
Keevan/Weyoun,8,2,2,2,2,0,3,19
Sarina Douglas/non-cast,1,2,0,9,1,0,0,13
Elim Garak/Miles O'Brien,9,0,1,0,2,0,0,12
Skrain Dukat/Winn Adami,0,3,7,1,0,0,0,11
Tora Ziyal/non-cast,1,2,1,5,1,0,1,11
Keevan/non-cast,1,1,7,0,2,0,1,12
Julian Bashir/Sarina Douglas,2,1,6,0,1,0,0,10
Hanok/Quark,7,0,2,0,2,0,0,11
Ezri Dax/Worf,2,2,4,1,3,1,0,13
Elim Garak/Ezri Dax,4,1,4,1,5,0,0,15
Benjamin Sisko/Elim Garak,8,0,1,0,1,0,0,10
Kira Nerys/Tora Ziyal,1,1,2,7,0,0,0,11
Elim Garak/Keiko O'Brien,2,0,4,0,5,0,1,12
Nilani Kahn/Torias Dax,0,1,4,4,0,0,1,10
Julian Bashir/Luther Sloan,7,0,1,0,0,0,0,8
Julian Bashir/Worf,5,0,1,0,2,0,0,8
Emony Dax/non-cast,2,0,4,3,1,0,0,10
Kira Nerys/Miles O'Brien,2,1,6,4,5,0,0,18
Julian Bashir/Melora Pazlar,3,1,5,0,2,0,1,12
Miles O'Brien/non-cast,5,1,0,0,0,0,1,7
Quark/Worf,7,0,1,0,1,0,0,9
Ezri Dax/Jadzia Dax,0,0,1,6,1,0,1,9
Shakaar Edon/non-cast,1,5,6,0,0,0,0,12
Pel/Quark,4,1,3,1,1,0,2,12
Elim Garak/Pythas Lok,6,1,0,1,2,0,0,10
Nog/non-cast,4,0,4,0,0,0,0,8
Jack/Kelas Parmak,6,0,0,0,0,0,0,6
Ezri Dax/Quark,1,0,6,0,0,0,0,7
Elim Garak/Palandine,5,2,4,0,1,0,0,12
Benjamin Sisko/Jennifer Sisko,1,3,3,1,1,0,0,9
Julian Bashir/Palis Delon,4,0,3,1,2,0,1,11
Ishka/Lwaxana Troi,0,0,1,5,1,0,0,7
Thomas Riker/non-cast,3,1,3,0,0,0,0,7
Skrain Dukat/Tora Ziyal,0,0,5,0,0,0,0,5
Benjamin Sisko/Curzon Dax,3,0,3,0,3,0,1,10
Curzon Dax/Jadzia Dax,3,1,2,1,2,0,0,9
Julian Bashir/Tora Ziyal,4,1,2,1,4,0,0,12
Jack/Sarina Douglas,3,1,5,1,0,0,0,10
Felix/Julian Bashir,4,0,1,0,1,0,1,7
Martok/non-cast,1,0,4,0,0,0,1,6
Ezri Dax/Leeta,1,1,0,4,1,0,0,7
Yelgrun/non-cast,3,1,0,0,0,0,0,4
Benjamin Sisko/Quark,4,1,0,0,0,0,0,5
Kira Nerys/Leeta,1,0,0,3,2,0,0,6
Eris/Weyoun,0,2,4,0,0,0,0,6
Female Changeling/Weyoun,3,0,1,0,0,0,1,5
Kira Nerys/Lupaza,0,1,0,3,0,0,0,4
Jake Sisko/non-cast,2,1,1,0,0,0,1,5
Kira Nerys/Quark,1,0,1,0,2,0,0,4
Jadzia Dax/Keiko O'Brien,3,0,3,4,1,0,0,11
Female Changeling/Odo,0,1,2,0,0,0,1,4
Remata'Klan/non-cast,0,0,4,0,2,0,0,6
Benjamin Sisko/Ezri Dax,1,1,1,2,2,0,1,8
Morn/non-cast,2,2,1,0,0,0,1,6
Ezri Dax/Jake Sisko,0,1,4,0,0,0,0,5
Felix/non-cast,2,0,2,0,1,0,1,6
Boheeka/Quark,3,0,1,0,0,0,0,4
Jack/Julian Bashir,2,0,1,0,1,0,0,4
Furel/Lupaza,1,2,3,0,0,0,0,6
Julian Bashir/Weyoun,2,0,0,0,3,0,0,5
Kelas Parmak/non-cast,3,0,0,0,0,0,0,3
Benjamin Sisko/Odo,3,0,0,0,0,0,0,3
Captain Solok/non-cast,0,2,3,0,0,0,0,5
Arissa/Odo,1,1,3,1,1,0,1,8
Keiko O'Brien/non-cast,1,1,1,3,0,0,1,7
Rotan'talag/Weyoun,3,0,0,0,0,0,0,3
Benjamin Sisko/Michael Eddington,3,0,0,1,0,0,0,4
Eris/Luaran,2,1,0,3,0,0,0,6
Iloja of Prim/Tobin Dax,1,2,0,0,0,0,0,3
Keevan/Yelgrun,3,0,0,1,1,0,2,7
Enabran Tain/Julian Bashir,3,0,0,0,0,0,0,3
