relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Elim Garak/Julian Bashir,28.799999999999997,32.5,15.4,19.7,3.5999999999999996
Jadzia Dax/Kira Nerys,40.400000000000006,40.1,8.9,8.9,1.7999999999999998
Odo/Quark,25.3,38.7,12.6,21.5,1.9
non-cast/non-cast,22.0,34.9,20.1,18.4,4.6
Kira Nerys/Odo,41.0,34.8,9.4,10.2,4.5
Jadzia Dax/Worf,44.4,31.900000000000002,6.9,9.700000000000001,6.9
Julian Bashir/non-cast,21.7,23.799999999999997,26.6,25.2,2.8000000000000003
Keiko O'Brien/Miles O'Brien,30.4,48.0,8.0,9.6,4.0
Corat Damar/Weyoun,10.5,29.799999999999997,16.900000000000002,41.099999999999994,1.6
Elim Garak/Kelas Parmak,32.2,27.1,19.5,19.5,1.7000000000000002
Ezri Dax/Julian Bashir,32.1,28.599999999999998,15.2,17.9,6.2
Julian Bashir/Miles O'Brien,18.4,35.699999999999996,12.2,26.5,7.1
Elim Garak/non-cast,27.3,13.600000000000001,25.0,30.7,3.4000000000000004
Jake Sisko/Nog,36.9,38.1,4.8,16.7,3.5999999999999996
Ezri Dax/Kira Nerys,31.900000000000002,37.5,23.599999999999998,6.9,0.0
Jadzia Dax/Lenara Kahn,59.699999999999996,31.3,4.5,1.5,3.0
Benjamin Sisko/Kasidy Yates,59.0,23.0,6.6000000000000005,8.200000000000001,3.3000000000000003
Kira Nerys/Skrain Dukat,13.600000000000001,18.6,18.6,49.2,0.0
Skrain Dukat/non-cast,7.1,14.299999999999999,14.299999999999999,64.3,0.0
Elim Garak/Julian Bashir/Kelas Parmak,40.400000000000006,21.3,21.3,14.899999999999999,2.1
Jadzia Dax/Julian Bashir,42.9,16.7,21.4,11.899999999999999,7.1
Benjamin Sisko/Kira Nerys,64.3,19.0,11.899999999999999,2.4,2.4
Elim Garak/Skrain Dukat,2.6,15.4,20.5,61.5,0.0
Elim Garak/Tora Ziyal,41.699999999999996,25.0,16.7,16.7,0.0
Corat Damar/Kira Nerys,17.1,28.599999999999998,5.7,37.1,11.4
Kira Nerys/non-cast,23.5,41.199999999999996,17.599999999999998,8.799999999999999,8.799999999999999
Elim Garak/Odo,18.2,12.1,6.1,0.0,63.6
Keiko O'Brien/Kira Nerys/Miles O'Brien,42.4,36.4,6.1,9.1,6.1
Weyoun/non-cast,9.1,18.2,27.3,39.4,6.1
Skrain Dukat/Tora Naprem,18.2,42.4,27.3,12.1,0.0
Benjamin Sisko/Julian Bashir,6.1,30.3,42.4,21.2,0.0
Bareil Antos/Kira Nerys,34.4,34.4,18.8,9.4,3.1
Jadzia Dax/non-cast,25.0,34.4,18.8,18.8,3.1
Skrain Dukat/Weyoun,6.2,21.9,15.6,53.1,3.1
Julian Bashir/Leeta,17.2,37.9,17.2,24.099999999999998,3.4000000000000004
Jake Sisko/Tora Ziyal,31.0,44.800000000000004,17.2,6.9,0.0
Leeta/Rom,35.699999999999996,42.9,7.1,7.1,7.1
Keiko O'Brien/Kira Nerys,40.699999999999996,33.300000000000004,3.6999999999999997,22.2,0.0
Julian Bashir/Kira Nerys,18.5,29.599999999999998,18.5,25.900000000000002,7.3999999999999995
Julian Bashir/Kelas Parmak,30.8,23.1,7.7,34.599999999999994,3.8
Corat Damar/non-cast,8.7,26.1,13.0,47.8,4.3
Ezri Dax/Lenara Kahn,52.2,26.1,13.0,4.3,4.3
Corat Damar/Skrain Dukat,4.5,9.1,18.2,63.6,4.5
Kasidy Yates/Kira Nerys,71.39999999999999,23.799999999999997,4.8,0.0,0.0
Benjamin Sisko/Skrain Dukat,19.0,47.599999999999994,9.5,23.799999999999997,0.0
Kira Nerys/Kira Nerys,9.5,52.400000000000006,9.5,28.599999999999998,0.0
Julian Bashir/Skrain Dukat,5.0,15.0,5.0,75.0,0.0
Brunt/Quark,0.0,40.0,30.0,30.0,0.0
Quark/non-cast,15.8,31.6,5.3,47.4,0.0
Kira Nerys/Shakaar Edon,15.8,42.1,21.099999999999998,15.8,5.3
Ezri Dax/Weyoun,42.1,26.3,10.5,21.099999999999998,0.0
Ezri Dax/non-cast,27.800000000000004,33.300000000000004,11.1,22.2,5.6000000000000005
Enabran Tain/Mila Garak,61.1,27.800000000000004,11.1,0.0,0.0
Jadzia Dax/Leeta,29.4,23.5,17.599999999999998,29.4,0.0
