relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Elim Garak/Julian Bashir,1096,1238,588,751,139,3812
Jadzia Dax/Kira Nerys,159,158,35,35,7,394
Odo/Quark,94,144,47,80,7,372
non-cast/non-cast,67,106,61,56,14,304
Kira Nerys/Odo,100,85,23,25,11,244
Jadzia Dax/Worf,64,46,10,14,10,144
Julian Bashir/non-cast,31,34,38,36,4,143
Keiko O'Brien/Miles O'Brien,38,60,10,12,5,125
Corat Damar/Weyoun,13,37,21,51,2,124
Elim Garak/Kelas Parmak,38,32,23,23,2,118
Ezri Dax/Julian Bashir,36,32,17,20,7,112
Julian Bashir/Miles O'Brien,18,35,12,26,7,98
Elim Garak/non-cast,24,12,22,27,3,88
Jake Sisko/Nog,31,32,4,14,3,84
Ezri Dax/Kira Nerys,23,27,17,5,0,72
Jadzia Dax/Lenara Kahn,40,21,3,1,2,67
Benjamin Sisko/Kasidy Yates,36,14,4,5,2,61
Kira Nerys/Skrain Dukat,8,11,11,29,0,59
Skrain Dukat/non-cast,4,8,8,36,0,56
Elim Garak/Julian Bashir/Kelas Parmak,19,10,10,7,1,47
Jadzia Dax/Julian Bashir,18,7,9,5,3,42
Benjamin Sisko/Kira Nerys,27,8,5,1,1,42
Elim Garak/Skrain Dukat,1,6,8,24,0,39
Elim Garak/Tora Ziyal,15,9,6,6,0,36
Corat Damar/Kira Nerys,6,10,2,13,4,35
Kira Nerys/non-cast,8,14,6,3,3,34
Elim Garak/Odo,6,4,2,0,21,33
Keiko O'Brien/Kira Nerys/Miles O'Brien,14,12,2,3,2,33
Weyoun/non-cast,3,6,9,13,2,33
Skrain Dukat/Tora Naprem,6,14,9,4,0,33
Benjamin Sisko/Julian Bashir,2,10,14,7,0,33
Bareil Antos/Kira Nerys,11,11,6,3,1,32
Jadzia Dax/non-cast,8,11,6,6,1,32
Skrain Dukat/Weyoun,2,7,5,17,1,32
Julian Bashir/Leeta,5,11,5,7,1,29
Jake Sisko/Tora Ziyal,9,13,5,2,0,29
Leeta/Rom,10,12,2,2,2,28
Keiko O'Brien/Kira Nerys,11,9,1,6,0,27
Julian Bashir/Kira Nerys,5,8,5,7,2,27
Julian Bashir/Kelas Parmak,8,6,2,9,1,26
Corat Damar/non-cast,2,6,3,11,1,23
Ezri Dax/Lenara Kahn,12,6,3,1,1,23
Corat Damar/Skrain Dukat,1,2,4,14,1,22
Kasidy Yates/Kira Nerys,15,5,1,0,0,21
Benjamin Sisko/Skrain Dukat,4,10,2,5,0,21
Kira Nerys/Kira Nerys,2,11,2,6,0,21
Julian Bashir/Skrain Dukat,1,3,1,15,0,20
Brunt/Quark,0,8,6,6,0,20
Quark/non-cast,3,6,1,9,0,19
Kira Nerys/Shakaar Edon,3,8,4,3,1,19
Ezri Dax/Weyoun,8,5,2,4,0,19
Ezri Dax/non-cast,5,6,2,4,1,18
Enabran Tain/Mila Garak,11,5,2,0,0,18
Jadzia Dax/Leeta,5,4,3,5,0,17
Julian Bashir/Quark,0,6,4,7,0,17
Elim Garak/Julian Bashir/non-cast,1,1,0,14,0,16
