relationshipspairampgender,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Male & Male,493,442,143,101,40,1219
Female & Male,263,215,71,43,20,612
Male & unknown,96,68,18,17,7,206
Female & Female,75,60,14,3,6,158
Female & unknown,42,21,11,2,0,76
unknown & unknown,29,31,13,2,1,76
Female & Male & Male,8,13,1,0,0,22
Male & Male & Male,4,1,0,0,0,5
Male & Male & unknown,3,2,0,0,0,5
Male & Other,0,4,0,0,0,4
Female & Female & unknown,4,0,0,0,0,4
Female & Other,1,1,0,0,1,3
Male & unknown & unknown,1,1,0,0,0,2
Male & Male & unknown & unknown,0,0,1,0,0,1
Male & Male & Male & unknown,1,0,0,0,0,1
Other & unknown,0,1,0,0,0,1
Female & Female & Male & Male,0,0,0,1,0,1
Female & Female & Male & Male & Male,0,1,0,0,0,1
Total,1020,861,272,169,75,2397
