relationshipspairampspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Cardassian & Human,228,243,79,59,16,625
Human & Human,75,66,18,13,10,182
Human & Trill,53,62,17,10,7,149
Cardassian & Cardassian,51,32,15,8,0,106
Bajoran & Trill,49,36,9,2,5,101
Bajoran & Human,47,38,6,5,2,98
Cardassian & unknown,38,32,7,9,2,88
Human & unknown,41,23,4,8,2,78
unknown & unknown,29,31,13,2,1,76
Changeling & Ferangi,34,18,4,2,6,64
Betazoid & Human,29,17,3,3,0,52
Bajoran & Cardassian,16,15,10,9,0,50
Cardassian & Multiple,20,19,5,5,0,49
Ferangi & Human,24,16,5,0,1,46
Betazoid & Trill,20,18,2,1,2,43
Bajoran & Changeling,17,15,4,3,3,42
Cardassian & Changeling,16,10,7,5,4,42
Trill & unknown,15,5,10,2,0,32
Bajoran & Betazoid,20,7,1,0,2,30
Cardassian & Vorta,5,12,5,6,2,30
Bajoran & unknown,18,7,1,0,0,26
Ferangi & Trill,8,7,3,3,1,22
Cardassian & Trill,10,3,5,4,0,22
Changeling & unknown,9,7,3,0,2,21
Ferangi & Ferangi,11,7,3,0,0,21
Bajoran & Multiple,8,11,1,0,0,20
Changeling & Vorta,11,5,2,0,0,18
Klingon & Trill,11,5,1,0,0,17
Trill & Trill,8,4,3,0,2,17
Betazoid & unknown,7,5,1,0,0,13
Betazoid & Changeling,5,7,1,0,0,13
Cardassian & Ferangi,4,7,1,1,0,13
Bajoran & Bajoran,6,6,1,0,0,13
Betazoid & Cardassian,9,3,0,1,0,13
Ferangi & unknown,5,4,2,0,0,11
Human & Klingon,4,2,1,2,2,11
Human & Human & Human,5,5,1,0,0,11
Betazoid & Ferangi,5,1,3,1,0,10
Bajoran & Ferangi,3,4,2,0,0,9
Human & Multiple,3,4,0,2,0,9
Vorta & Vorta,0,4,2,1,1,8
Klingon & unknown,4,2,0,0,1,7
Changeling & Human,3,3,1,0,0,7
Changeling & Trill,1,4,2,0,0,7
Bajoran & Cardassian & Cardassian,1,6,0,0,0,7
Vorta & unknown,0,3,2,0,0,5
Trill & Vorta,2,1,2,0,0,5
Trill & sy,1,2,0,0,1,4
Multiple & unknown,1,2,0,0,0,3
Cardassian & Human & Trill,2,1,0,0,0,3
Changeling & Klingon,3,0,0,0,0,3
Cardassian & Klingon,3,0,0,0,0,3
Human & Vorta,1,2,0,0,0,3
Changeling & Changeling,2,0,1,0,0,3
Ferangi & Klingon,1,0,1,0,0,2
Human & sy,0,2,0,0,0,2
Cardassian & Human & unknown,2,0,0,0,0,2
Klingon & Trill & unknown,2,0,0,0,0,2
Cardassian & Cardassian & Human,1,0,0,0,0,1
Human & Human & Human & Human & Human,0,1,0,0,0,1
Bajoran & Human & Human & Trill,0,0,0,1,0,1
Betazoid & Ferangi & Human,0,1,0,0,0,1
Ferangi & Human & Multiple,0,1,0,0,0,1
Betazoid & sy,0,1,0,0,0,1
Betazoid & Klingon,1,0,0,0,0,1
Klingon & unknown & unknown,1,0,0,0,0,1
Jem'Hadar & Vorta,0,1,0,0,0,1
Bajoran & Betazoid & unknown,1,0,0,0,0,1
Cardassian & Changeling & Klingon,1,0,0,0,0,1
Cardassian & fc,0,0,1,0,0,1
sy & unknown,0,1,0,0,0,1
Betazoid & Vulcan,0,1,0,0,0,1
Betazoid & Multiple,1,0,0,0,0,1
Cardassian & Human & unknown & unknown,0,0,1,0,0,1
Multiple & Trill,1,0,0,0,0,1
Bajoran & Trill & unknown,1,0,0,0,0,1
Human & Human & unknown,0,1,0,0,0,1
Ferangi & Vorta,1,0,0,0,0,1
Multiple & Vorta,1,0,0,0,0,1
Ferangi & Human & unknown,0,1,0,0,0,1
Cardassian & unknown & unknown,0,1,0,0,0,1
Cardassian & Changeling & Human,1,0,0,0,0,1
Cardassian & Cardassian & Human & unknown,1,0,0,0,0,1
Cardassian & Changeling & unknown,1,0,0,0,0,1
Klingon & Klingon,0,0,0,1,0,1
Changeling & Ferangi & Human,1,0,0,0,0,1
Total,1020,861,272,169,75,2397
