relationshipspairslashgender,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Male/Male,26.900000000000002,32.0,15.4,22.0,3.8
Female/Male,32.9,32.0,13.700000000000001,17.5,4.0
Male/unknown,20.7,28.1,19.0,28.999999999999996,3.2
Female/Female,39.2,38.9,10.7,9.5,1.7000000000000002
unknown/unknown,20.7,35.5,21.3,18.2,4.3
Female/unknown,31.5,33.300000000000004,14.499999999999998,17.599999999999998,3.0
Male/Male/Male,35.099999999999994,21.6,18.9,23.0,1.4000000000000001
Female/Male/Male,30.2,20.8,7.5,37.7,3.8
Male/Male/unknown,9.3,27.900000000000002,7.000000000000001,55.800000000000004,0.0
Female/Male/unknown,37.8,32.4,8.1,13.5,8.1
Female/Female/Female,41.699999999999996,33.300000000000004,25.0,0.0,0.0
Female/Female/Male,25.0,0.0,37.5,25.0,12.5
Male/unknown/unknown,0.0,50.0,25.0,25.0,0.0
Female/Other,25.0,50.0,25.0,0.0,0.0
Male/Other,0.0,100.0,0.0,0.0,0.0
Male/Male/Male/unknown,0.0,0.0,50.0,50.0,0.0
Female/Female/unknown,0.0,33.300000000000004,33.300000000000004,0.0,33.300000000000004
Female/Female/Male/unknown,50.0,0.0,0.0,50.0,0.0
Other/unknown,0.0,0.0,50.0,50.0,0.0
Female/unknown/unknown,100.0,0.0,0.0,0.0,0.0
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,0.0,100.0,0.0,0.0,0.0
Male/Male/Male/Other,0.0,0.0,0.0,100.0,0.0
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,0.0,100.0,0.0,0.0,0.0
Female/Female/Male/Male,0.0,0.0,0.0,100.0,0.0
Female/Male/Male/Other,0.0,0.0,0.0,0.0,100.0
Female/Male/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Male/Male/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Male/Male/Male/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Female/Female/Female/Female,0.0,100.0,0.0,0.0,0.0
Female/Male/Male/unknown,0.0,100.0,0.0,0.0,0.0
Male/Male/Male/Male,0.0,100.0,0.0,0.0,0.0
Total,28.000000000000004,32.2,15.2,20.9,3.5999999999999996
