relationshipspairslashspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Cardassian/Human,28.499999999999996,32.2,15.299999999999999,20.3,3.5999999999999996
Bajoran/Trill,38.7,39.300000000000004,11.3,9.2,1.4000000000000001
Changeling/Ferangi,25.3,38.7,12.6,21.5,1.9
Human/unknown,27.500000000000004,34.0,17.9,17.9,2.7
unknown/unknown,20.7,35.699999999999996,21.0,18.3,4.3
Cardassian/Cardassian,23.9,25.900000000000002,19.3,28.999999999999996,1.9
Bajoran/Changeling,40.699999999999996,35.4,9.3,10.2,4.5
Cardassian/unknown,17.8,16.8,19.8,43.6,2.0
Cardassian/Vorta,9.0,29.4,18.099999999999998,41.8,1.7000000000000002
Human/Trill,35.6,25.8,16.6,16.0,6.1
Klingon/Trill,43.4,33.6,6.6000000000000005,9.9,6.6000000000000005
Human/Human,17.299999999999997,35.3,18.0,24.099999999999998,5.3
Bajoran/Cardassian,12.9,25.8,15.2,43.2,3.0
Trill/Trill,51.4,33.900000000000006,8.3,3.6999999999999997,2.8000000000000003
Ferangi/Human,28.999999999999996,39.300000000000004,8.4,19.6,3.6999999999999997
Betazoid/Human,42.5,25.5,17.9,12.3,1.9
Bajoran/Bajoran,22.1,45.300000000000004,14.7,14.7,3.2
Bajoran/Human,29.9,33.300000000000004,14.899999999999999,18.4,3.4000000000000004
Bajoran/unknown,28.799999999999997,41.099999999999994,13.700000000000001,12.3,4.1000000000000005
Trill/unknown,27.500000000000004,34.8,15.9,18.8,2.9000000000000004
Vorta/unknown,8.6,19.0,25.900000000000002,39.7,6.9
Cardassian/Cardassian/Human,42.0,20.0,20.0,16.0,2.0
Cardassian/Multiple,37.0,21.7,17.4,23.9,0.0
Bajoran/Ferangi,29.5,45.5,6.800000000000001,9.1,9.1
Bajoran/Betazoid,61.4,18.2,13.600000000000001,4.5,2.3
Ferangi/unknown,9.5,28.599999999999998,19.0,42.9,0.0
Cardassian/Changeling,17.599999999999998,11.799999999999999,5.8999999999999995,0.0,64.7
Human/Multiple,29.4,41.199999999999996,14.7,14.7,0.0
Bajoran/Human/unknown,42.4,36.4,6.1,9.1,6.1
Ferangi/Ferangi,0.0,46.9,21.9,31.2,0.0
Betazoid/Cardassian,19.400000000000002,35.5,19.400000000000002,22.6,3.2
Human/Klingon,9.1,4.5,27.3,59.099999999999994,0.0
Betazoid/Trill,9.5,28.599999999999998,14.299999999999999,42.9,4.8
Trill/Vorta,38.1,28.599999999999998,14.299999999999999,19.0,0.0
Cardassian/Human/unknown,5.3,10.5,0.0,84.2,0.0
Klingon/unknown,22.2,33.300000000000004,11.1,33.300000000000004,0.0
Betazoid/Changeling,22.2,22.2,16.7,22.2,16.7
Vorta/Vorta,5.6000000000000005,22.2,44.4,27.800000000000004,0.0
Changeling/unknown,17.599999999999998,17.599999999999998,17.599999999999998,23.5,23.5
Ferangi/Klingon,17.599999999999998,76.5,0.0,5.8999999999999995,0.0
Bajoran/Betazoid/Human,75.0,18.8,6.2,0.0,0.0
Human/Human/unknown,13.3,60.0,6.7,20.0,0.0
Cardassian/Trill,33.300000000000004,13.3,13.3,33.300000000000004,6.7
Bajoran/Romulan,57.099999999999994,42.9,0.0,0.0,0.0
Changeling/Vorta,14.299999999999999,14.299999999999999,21.4,42.9,7.1
Cardassian/Ferangi,15.4,0.0,23.1,53.800000000000004,7.7
Cardassian/Klingon,7.7,23.1,23.1,46.2,0.0
Betazoid/Ferangi,33.300000000000004,16.7,16.7,33.300000000000004,0.0
Cardassian/Human/Trill,0.0,16.7,8.3,66.7,8.3
Jem'Hadar/Vorta,8.3,41.699999999999996,16.7,33.300000000000004,0.0
Bajoran/Trill/Trill,41.699999999999996,33.300000000000004,25.0,0.0,0.0
Q/unknown,40.0,60.0,0.0,0.0,0.0
Multiple/Trill,30.0,60.0,0.0,10.0,0.0
Ferangi/Trill,20.0,30.0,10.0,40.0,0.0
Betazoid/unknown,40.0,30.0,20.0,10.0,0.0
Bajoran/Multiple,12.5,12.5,25.0,50.0,0.0
Multiple/unknown,50.0,25.0,12.5,12.5,0.0
Cardassian/Changeling/Human,57.099999999999994,28.599999999999998,0.0,14.299999999999999,0.0
Cardassian/Human/Human,0.0,16.7,33.300000000000004,50.0,0.0
Changeling/Changeling,16.7,33.300000000000004,33.300000000000004,16.7,0.0
Romulan/unknown,0.0,20.0,60.0,20.0,0.0
Bajoran/Changeling/Ferangi,20.0,60.0,0.0,0.0,20.0
Human/unknown/unknown,0.0,50.0,50.0,0.0,0.0
Bajoran/Klingon,0.0,0.0,50.0,50.0,0.0
Human/Vorta,25.0,0.0,50.0,25.0,0.0
Jem'Hadar/unknown,0.0,0.0,0.0,100.0,0.0
Cardassian/Cardassian/unknown,0.0,0.0,50.0,50.0,0.0
