relationshipspairslashspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Cardassian/Human,1108,1249,595,790,141,3883
Bajoran/Trill,189,192,55,45,7,488
Changeling/Ferangi,94,144,47,80,7,372
Human/unknown,92,114,60,60,9,335
unknown/unknown,68,117,69,60,14,328
Cardassian/Cardassian,62,67,50,75,5,259
Bajoran/Changeling,100,87,23,25,11,246
Cardassian/unknown,36,34,40,88,4,202
Cardassian/Vorta,16,52,32,74,3,177
Human/Trill,58,42,27,26,10,163
Klingon/Trill,66,51,10,15,10,152
Human/Human,23,47,24,32,7,133
Bajoran/Cardassian,17,34,20,57,4,132
Trill/Trill,56,37,9,4,3,109
Ferangi/Human,31,42,9,21,4,107
Betazoid/Human,45,27,19,13,2,106
Bajoran/Bajoran,21,43,14,14,3,95
Bajoran/Human,26,29,13,16,3,87
Bajoran/unknown,21,30,10,9,3,73
Trill/unknown,19,24,11,13,2,69
Vorta/unknown,5,11,15,23,4,58
Cardassian/Cardassian/Human,21,10,10,8,1,50
Cardassian/Multiple,17,10,8,11,0,46
Bajoran/Ferangi,13,20,3,4,4,44
Bajoran/Betazoid,27,8,6,2,1,44
Ferangi/unknown,4,12,8,18,0,42
Cardassian/Changeling,6,4,2,0,22,34
Human/Multiple,10,14,5,5,0,34
Bajoran/Human/unknown,14,12,2,3,2,33
Ferangi/Ferangi,0,15,7,10,0,32
Betazoid/Cardassian,6,11,6,7,1,31
Human/Klingon,2,1,6,13,0,22
Betazoid/Trill,2,6,3,9,1,21
Trill/Vorta,8,6,3,4,0,21
Cardassian/Human/unknown,1,2,0,16,0,19
Klingon/unknown,4,6,2,6,0,18
Betazoid/Changeling,4,4,3,4,3,18
Vorta/Vorta,1,4,8,5,0,18
Changeling/unknown,3,3,3,4,4,17
Ferangi/Klingon,3,13,0,1,0,17
Bajoran/Betazoid/Human,12,3,1,0,0,16
Human/Human/unknown,2,9,1,3,0,15
Cardassian/Trill,5,2,2,5,1,15
Bajoran/Romulan,8,6,0,0,0,14
Changeling/Vorta,2,2,3,6,1,14
Cardassian/Ferangi,2,0,3,7,1,13
Cardassian/Klingon,1,3,3,6,0,13
Betazoid/Ferangi,4,2,2,4,0,12
Cardassian/Human/Trill,0,2,1,8,1,12
Jem'Hadar/Vorta,1,5,2,4,0,12
Bajoran/Trill/Trill,5,4,3,0,0,12
Q/unknown,4,6,0,0,0,10
Multiple/Trill,3,6,0,1,0,10
Ferangi/Trill,2,3,1,4,0,10
Betazoid/unknown,4,3,2,1,0,10
Bajoran/Multiple,1,1,2,4,0,8
Multiple/unknown,4,2,1,1,0,8
Cardassian/Changeling/Human,4,2,0,1,0,7
Cardassian/Human/Human,0,1,2,3,0,6
