Fluff,794
Established Relationship,613
Angst,610
Post-Canon,398
Hurt/Comfort,378
Post-Canon Cardassia,335
Humor,305
Friendship,291
Alternate Universe - Canon Divergence,264
First Kiss,255
Oral Sex,245
Friends to Lovers,241
First Time,226
Emotional Hurt/Comfort,210
Alternate Universe,201
Getting Together,195
Holodecks/Holosuites,194
Romance,191
Plot What Plot/Porn Without Plot,189
Pre-Slash,179
Character Study,173
Ficlet,168
Anal Sex,168
Drabble,166
Pining,153
Alien Biology,152
Fanart,145
Flirting,138
Cardassian Anatomy,136
Smut,133
POV Elim Garak,132
POV Julian Bashir,127
Domestic Fluff,127
Pre-Relationship,126
Crack,126
Cardassians,124
Cardassian Culture,123
Fluff and Angst,118
Occupation of Bajor,117
Introspection,115
Pre-Canon,115
Love Confessions,114
Mutual Pining,112
Post-Traumatic Stress Disorder - PTSD,110
Episode Related,109
Cuddling & Snuggling,109
Canon Compliant,108
Polyamory,108
Kissing,107
Explicit Sexual Content,105
Alien Sex,103
Light Angst,101
Angst with a Happy Ending,101
Crossover,98
Podfic,95
One Shot,92
Rough Sex,90
Fluff and Humor,89
Autistic Julian Bashir,88
Grief/Mourning,87
Banter,86
Alien Culture,85
Developing Relationship,85
Family,84
Alien Cultural Differences,84
Jealousy,84
Missing Scene,83
Canon-Typical Violence,79
Alcohol,79
Genetic Engineering,79
Dominion War (Star Trek),78
Screenplay/Script Format,77
Porn with Feelings,77
Garashir - Freeform,77
Masturbation,77
Mirror Universe,76
Unrequited Love,75
Deep Dish Nine,75
Sharing a Bed,73
Happy Ending,72
Don't copy to another site,72
Xenophilia,72
Claustrophobia,70
Dubious Consent,68
Idiots in Love,68
Trans Julian Bashir,67
Fanvids,66
Cultural Differences,65
Art,65
Implied Sexual Content,64
Bottom Elim Garak,62
Drama,62
Podfic & Podficced Works,61
Angst and Hurt/Comfort,61
Slash,61
Kid Fic,60
Hand Jobs,60
Teasing,59
Love,58
Slow Burn,58
Slice of Life,57
Dirty Talk,57
PWP,56
Trills,56
Kinktober,55
Secret Relationship,55
