Elim Garak/Julian Bashir,3850
Jadzia Dax/Kira Nerys,407
Odo/Quark,372
non-cast/non-cast,301
Kira Nerys/Odo,247
Julian Bashir/non-cast,151
Jadzia Dax/Worf,144
Miles O'Brien/non-cast,131
Corat Damar/Weyoun,124
Elim Garak/Kelas Parmak,120
Ezri Dax/Julian Bashir,112
Julian Bashir/Miles O'Brien,104
Elim Garak/non-cast,94
Jake Sisko/Nog,84
Ezri Dax/Kira Nerys,73
Jadzia Dax/Lenara Kahn,67
Benjamin Sisko/Kasidy Yates,64
Kira Nerys/non-cast,61
Kira Nerys/Skrain Dukat,59
Skrain Dukat/non-cast,56
Jadzia Dax/Julian Bashir,44
Benjamin Sisko/Kira Nerys,42
Elim Garak/Skrain Dukat,41
Elim Garak/Tora Ziyal,36
Corat Damar/Kira Nerys,35
Jadzia Dax/non-cast,35
Kira Nerys/Miles O'Brien,34
Elim Garak/Odo,33
Benjamin Sisko/Julian Bashir,33
Weyoun/non-cast,33
Skrain Dukat/Tora Naprem,33
Bareil Antos/Kira Nerys,32
Skrain Dukat/Weyoun,32
Julian Bashir/Leeta,31
Jake Sisko/Tora Ziyal,29
Leeta/Rom,28
Julian Bashir/Kira Nerys,28
Julian Bashir/Kelas Parmak,26
Corat Damar/Skrain Dukat,25
Ezri Dax/Lenara Kahn,23
Corat Damar/non-cast,23
Kasidy Yates/Kira Nerys,21
Kira Nerys/Kira Nerys,21
Benjamin Sisko/Skrain Dukat,21
Julian Bashir/Skrain Dukat,20
Brunt/Quark,20
Quark/non-cast,19
Kira Nerys/Shakaar Edon,19
Ezri Dax/Weyoun,19
Ezri Dax/non-cast,18
Enabran Tain/Mila Garak,18
Julian Bashir/Quark,17
Jadzia Dax/Leeta,17
Corat Damar/Elim Garak,16
Elim Garak/Weyoun,16
Lwaxana Troi/Odo,16
Benjamin Sisko/Jadzia Dax,14
Odo/non-cast,14
Kimara Cretak/Kira Nerys,14
Worf/non-cast,14
Kira Meru/Skrain Dukat,13
Julian Bashir/Martok,13
Keevan/Remata'Klan,12
Elim Garak/Quark,12
Natima Lang/Quark,11
Elim Garak/Jadzia Dax,11
Elim Garak/Worf,11
Q/non-cast,10
Ezri Dax/Tora Ziyal,10
Elim Garak/Kira Nerys,10
Grilka/Quark,10
Benjamin Sisko/non-cast,10
Odo/Weyoun,10
Skrain Dukat/Winn Adami,9
Keevan/Weyoun,9
Elim Garak/Miles O'Brien,9
Sarina Douglas/non-cast,9
Kira Nerys/Tora Ziyal,8
Tora Ziyal/non-cast,8
Julian Bashir/Sarina Douglas,8
Hanok/Quark,8
Keevan/non-cast,8
Elim Garak/Ezri Dax,8
Benjamin Sisko/Elim Garak,8
Ezri Dax/Worf,8
Pel/Quark,7
Quark/Worf,7
Julian Bashir/Melora Pazlar,7
Emony Dax/non-cast,7
Ezri Dax/Jadzia Dax,7
