charactersclean,works,comments,kudos,hits,words
Julian Bashir,4938,110911,633161,6343689,29428092
Elim Garak,4521,106712,606841,5971556,24994180
Kira Nerys,1945,38681,142215,1791858,16928641
non-cast,1922,49296,147675,1839595,21799734
Jadzia Dax,1631,35007,163586,1743817,12520276
Odo,1380,28614,127886,1444062,11561861
Benjamin Sisko,1190,27159,107504,1233615,12703665
Quark,1122,24492,108962,1091406,9433072
Miles O'Brien,1051,35308,138997,1452537,10809417
Ezri Dax,577,12505,34412,479394,5297759
Skrain Dukat,544,10131,34805,507387,5955291
Worf,438,10551,35947,411843,4874295
Jake Sisko,384,7415,29832,324676,3846649
Weyoun,369,3830,16622,189508,2235686
Keiko O'Brien,365,15483,44381,459623,4305369
Corat Damar,323,4613,16014,196563,2637656
Tora Ziyal,289,6764,21937,276362,3031499
Nog,283,4959,20609,213615,2862848
Kelas Parmak,224,10336,17849,254639,2465464
Rom,203,4864,14346,148840,2300193
Enabran Tain,186,7574,21931,232482,1861477
Leeta,169,4538,14734,164663,1818890
Molly O'Brien,147,5941,17048,149749,1436653
Kasidy Yates,121,2463,6937,91487,867974
Martok,91,4116,10018,122986,1231676
Lenara Kahn,87,850,2859,46102,423522
Morn,85,1852,7125,73317,613010
Mila Garak,73,3437,8016,74290,609202
Lwaxana Troi,73,2778,7515,83611,803252
Amsha Bashir,69,2434,9019,93746,1239655
Winn Adami,68,516,1333,26828,984078
Richard Bashir,67,1991,8273,81731,1110682
Shakaar Edon,63,991,1935,32255,1159692
Vic Fontaine,62,1069,4475,55037,766861
Kirayoshi O'Brien,54,1000,4853,49666,363787
Female Changeling,52,626,2259,32536,499331
Kukalaka,51,2923,6914,68678,577842
Bareil Antos,50,577,1446,18267,741079
Dax,48,334,1144,14492,329796
Q,48,760,1609,29780,761050
Tora Naprem,47,726,1745,25388,428883
Jabara,47,2479,6274,67209,492165
Keevan,43,383,1171,19352,394972
Ishka,35,651,1804,20521,275559
Curzon Dax,33,354,1809,17909,138067
Brunt,32,465,1488,12244,114727
Luther Sloan,32,703,2010,31604,551386
Alexander Rozhenko,30,851,1504,26886,800421
Sarina Douglas,29,796,1789,26961,292600
Kira Meru,28,221,645,8645,218695
Kilana,27,276,680,10121,340898
Lupaza,26,565,1215,17785,266933
Jack,26,562,1557,21286,262352
Mora Pol,25,255,1883,21387,296542
Natima Lang,24,1144,2881,32210,284681
