relationshipspairslash,works,comments,kudos,hits,words
Elim Garak/Julian Bashir,3850,96841,601979,5868705,19683503
Jadzia Dax/Kira Nerys,406,4783,25603,317247,1524299
Odo/Quark,372,6319,38204,325751,1706558
non-cast/non-cast,299,6977,16810,362785,5809313
Kira Nerys/Odo,247,2514,14733,298714,1917333
Julian Bashir/non-cast,145,3835,10301,136550,1825956
Jadzia Dax/Worf,144,2776,10460,123833,958660
Keiko O'Brien/Miles O'Brien,126,4275,13277,127902,1299390
Corat Damar/Weyoun,124,1527,6412,69006,732637
Elim Garak/Kelas Parmak,120,4105,7445,97294,1031230
Ezri Dax/Julian Bashir,112,4624,6457,91384,1000297
Julian Bashir/Miles O'Brien,98,1313,6576,88037,450688
Elim Garak/non-cast,88,3323,7573,94000,1179935
Jake Sisko/Nog,84,1237,6283,56219,329382
Ezri Dax/Kira Nerys,73,593,2667,43637,480209
Jadzia Dax/Lenara Kahn,67,511,2553,33429,155090
Benjamin Sisko/Kasidy Yates,64,892,2230,33674,673666
Kira Nerys/Skrain Dukat,59,982,4132,79773,539484
Skrain Dukat/non-cast,56,1499,2614,38145,1107305
Keiko O'Brien/Kira Nerys,56,1040,5419,54931,265386
Jadzia Dax/Julian Bashir,44,324,2617,34235,251568
Benjamin Sisko/Kira Nerys,42,308,654,9807,146994
Elim Garak/Skrain Dukat,41,416,2434,30866,169028
Elim Garak/Tora Ziyal,36,603,2148,34394,378810
Kira Nerys/non-cast,35,594,1433,17843,539422
Corat Damar/Kira Nerys,35,614,1668,28385,493466
Skrain Dukat/Tora Naprem,33,188,717,13373,236083
Elim Garak/Odo,33,125,1038,9036,38062
Weyoun/non-cast,33,181,872,14866,237531
Benjamin Sisko/Julian Bashir,33,298,890,10831,125108
Bareil Antos/Kira Nerys,32,302,465,5469,284834
Skrain Dukat/Weyoun,32,463,1613,19298,213812
Jadzia Dax/non-cast,32,347,1024,11039,117745
Julian Bashir/Leeta,31,1484,4189,38565,306306
Jake Sisko/Tora Ziyal,29,565,2151,22739,393667
Leeta/Rom,28,448,1799,17797,191356
Julian Bashir/Kira Nerys,27,1053,1759,26263,225738
Julian Bashir/Kelas Parmak,26,1481,2056,33069,415502
Corat Damar/Skrain Dukat,25,504,1561,23558,153287
Ezri Dax/Lenara Kahn,23,391,795,15312,291577
Corat Damar/non-cast,23,592,956,18741,406906
