relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other
Elim Garak/Julian Bashir,80.2,7.199999999999999,4.5,1.7000000000000002,2.9000000000000004,2.4,1.2
Jadzia Dax/Kira Nerys,9.2,7.6,4.7,74.7,2.7,0.4,0.8
Odo/Quark,74.4,8.1,5.7,2.4,5.5,0.7000000000000001,3.1
Kira Nerys/Odo,11.1,20.0,46.800000000000004,4.7,6.6000000000000005,2.6,8.200000000000001
Jadzia Dax/Worf,20.3,18.0,41.4,7.199999999999999,9.9,2.3,0.8999999999999999
Julian Bashir/non-cast,53.2,7.3,19.5,5.4,6.3,2.4,5.8999999999999995
Keiko O'Brien/Miles O'Brien,25.6,19.8,32.2,8.799999999999999,12.3,0.0,1.3
Corat Damar/Weyoun,65.2,6.6000000000000005,3.3000000000000003,3.9,4.3999999999999995,0.0,16.6
Elim Garak/Kelas Parmak,53.1,7.5,4.3999999999999995,4.3999999999999995,9.4,0.6,20.599999999999998
Ezri Dax/Julian Bashir,26.8,12.8,40.2,7.3,8.4,1.7000000000000002,2.8000000000000003
Julian Bashir/Miles O'Brien,59.199999999999996,6.1,14.299999999999999,6.1,13.600000000000001,0.0,0.7000000000000001
Elim Garak/non-cast,51.300000000000004,10.6,23.0,2.7,8.0,0.8999999999999999,3.5000000000000004
Jake Sisko/Nog,65.0,13.700000000000001,8.5,5.1,6.800000000000001,0.0,0.8999999999999999
Ezri Dax/Kira Nerys,12.7,9.8,5.8999999999999995,62.7,6.9,0.0,2.0
Jadzia Dax/Lenara Kahn,7.000000000000001,7.000000000000001,10.5,73.3,1.2,0.0,1.2
Benjamin Sisko/Kasidy Yates,15.8,14.899999999999999,31.6,14.000000000000002,23.7,0.0,0.0
Kira Nerys/Skrain Dukat,11.899999999999999,7.5,79.10000000000001,0.0,1.5,0.0,0.0
Skrain Dukat/non-cast,18.2,3.0,60.6,3.0,12.1,0.0,3.0
Elim Garak/Julian Bashir/Kelas Parmak,41.099999999999994,10.5,6.3,8.4,27.400000000000002,1.0999999999999999,5.3
Jadzia Dax/Julian Bashir,18.3,13.3,51.7,5.0,10.0,0.0,1.7000000000000002
Benjamin Sisko/Kira Nerys,5.6000000000000005,14.099999999999998,39.4,9.9,31.0,0.0,0.0
Elim Garak/Skrain Dukat,76.6,2.1,6.4,2.1,2.1,0.0,10.6
Elim Garak/Tora Ziyal,19.7,18.0,34.4,6.6000000000000005,11.5,6.6000000000000005,3.3000000000000003
Corat Damar/Kira Nerys,11.4,4.5,72.7,2.3,4.5,4.5,0.0
Kira Nerys/non-cast,13.5,11.5,21.2,42.3,9.6,0.0,1.9
Skrain Dukat/Tora Naprem,0.0,18.9,75.7,2.7,0.0,0.0,2.7
Weyoun/non-cast,16.3,14.000000000000002,48.8,0.0,7.000000000000001,2.3,11.600000000000001
Keiko O'Brien/Kira Nerys/Miles O'Brien,16.2,6.800000000000001,20.3,17.599999999999998,35.099999999999994,0.0,4.1000000000000005
Benjamin Sisko/Julian Bashir,84.2,5.3,5.3,0.0,5.3,0.0,0.0
Elim Garak/Odo,88.6,2.9000000000000004,2.9000000000000004,0.0,2.9000000000000004,0.0,2.9000000000000004
Total,58.4,9.1,13.3,9.2,5.7,1.7000000000000002,2.6
