relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other,Total
Elim Garak/Julian Bashir,3525,315,197,76,127,104,51,4395
Jadzia Dax/Kira Nerys,45,37,23,366,13,2,4,490
Odo/Quark,338,37,26,11,25,3,14,454
Kira Nerys/Odo,42,76,178,18,25,10,31,380
Jadzia Dax/Worf,45,40,92,16,22,5,2,222
Julian Bashir/non-cast,109,15,40,11,13,5,12,205
Keiko O'Brien/Miles O'Brien,58,45,73,20,28,0,3,227
Corat Damar/Weyoun,118,12,6,7,8,0,30,181
Elim Garak/Kelas Parmak,85,12,7,7,15,1,33,160
Ezri Dax/Julian Bashir,48,23,72,13,15,3,5,179
Julian Bashir/Miles O'Brien,87,9,21,9,20,0,1,147
Elim Garak/non-cast,58,12,26,3,9,1,4,113
Jake Sisko/Nog,76,16,10,6,8,0,1,117
Ezri Dax/Kira Nerys,13,10,6,64,7,0,2,102
Jadzia Dax/Lenara Kahn,6,6,9,63,1,0,1,86
Benjamin Sisko/Kasidy Yates,18,17,36,16,27,0,0,114
Kira Nerys/Skrain Dukat,8,5,53,0,1,0,0,67
Skrain Dukat/non-cast,12,2,40,2,8,0,2,66
Elim Garak/Julian Bashir/Kelas Parmak,39,10,6,8,26,1,5,95
Jadzia Dax/Julian Bashir,11,8,31,3,6,0,1,60
Benjamin Sisko/Kira Nerys,4,10,28,7,22,0,0,71
Elim Garak/Skrain Dukat,36,1,3,1,1,0,5,47
Elim Garak/Tora Ziyal,12,11,21,4,7,4,2,61
Corat Damar/Kira Nerys,5,2,32,1,2,2,0,44
Kira Nerys/non-cast,7,6,11,22,5,0,1,52
Skrain Dukat/Tora Naprem,0,7,28,1,0,0,1,37
Weyoun/non-cast,7,6,21,0,3,1,5,43
Keiko O'Brien/Kira Nerys/Miles O'Brien,12,5,15,13,26,0,3,74
Benjamin Sisko/Julian Bashir,32,2,2,0,2,0,0,38
Elim Garak/Odo,31,1,1,0,1,0,1,35
Total,4887,758,1114,768,473,142,220,8362
