relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Elim Garak/Julian Bashir,1096,1238,588,751,139,3812
Jadzia Dax/Kira Nerys,159,158,35,35,7,394
Odo/Quark,94,144,47,80,7,372
Kira Nerys/Odo,100,85,23,25,11,244
Jadzia Dax/Worf,64,46,10,14,10,144
Julian Bashir/non-cast,31,34,38,36,4,143
Keiko O'Brien/Miles O'Brien,38,60,10,12,5,125
Corat Damar/Weyoun,13,37,21,51,2,124
Elim Garak/Kelas Parmak,38,32,23,23,2,118
Ezri Dax/Julian Bashir,36,32,17,20,7,112
Julian Bashir/Miles O'Brien,18,35,12,26,7,98
Elim Garak/non-cast,24,12,22,27,3,88
Jake Sisko/Nog,31,32,4,14,3,84
Ezri Dax/Kira Nerys,23,27,17,5,0,72
Jadzia Dax/Lenara Kahn,40,21,3,1,2,67
Benjamin Sisko/Kasidy Yates,36,14,4,5,2,61
Kira Nerys/Skrain Dukat,8,11,11,29,0,59
Skrain Dukat/non-cast,4,8,8,36,0,56
Elim Garak/Julian Bashir/Kelas Parmak,19,10,10,7,1,47
Jadzia Dax/Julian Bashir,18,7,9,5,3,42
Benjamin Sisko/Kira Nerys,27,8,5,1,1,42
Elim Garak/Skrain Dukat,1,6,8,24,0,39
Elim Garak/Tora Ziyal,15,9,6,6,0,36
Corat Damar/Kira Nerys,6,10,2,13,4,35
Kira Nerys/non-cast,8,14,6,3,3,34
Skrain Dukat/Tora Naprem,6,14,9,4,0,33
Weyoun/non-cast,3,6,9,13,2,33
Keiko O'Brien/Kira Nerys/Miles O'Brien,14,12,2,3,2,33
Benjamin Sisko/Julian Bashir,2,10,14,7,0,33
Elim Garak/Odo,6,4,2,0,21,33
Total,1978,2136,975,1276,248,6613
