relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Elim Garak/Julian Bashir,78.4,16.900000000000002,1.9,1.3,1.3,0.2
Jadzia Dax/Kira Nerys,83.7,12.1,0.2,3.6999999999999997,0.2,0.0
Odo/Quark,84.89999999999999,12.2,0.8,1.6,0.5,0.0
Kira Nerys/Odo,62.8,30.4,2.4,3.2,1.2,0.0
Jadzia Dax/Worf,68.4,22.400000000000002,2.6,5.8999999999999995,0.7000000000000001,0.0
Julian Bashir/non-cast,65.3,18.7,6.0,4.0,6.0,0.0
Keiko O'Brien/Miles O'Brien,83.3,12.7,2.4,0.8,0.8,0.0
Corat Damar/Weyoun,64.8,21.099999999999998,3.9,3.9,6.2,0.0
Elim Garak/Kelas Parmak,80.80000000000001,13.3,1.7000000000000002,2.5,0.8,0.8
Ezri Dax/Julian Bashir,71.1,21.9,2.6,3.5000000000000004,0.8999999999999999,0.0
Julian Bashir/Miles O'Brien,87.0,8.0,3.0,1.0,1.0,0.0
Elim Garak/non-cast,55.800000000000004,25.3,11.600000000000001,0.0,5.3,2.1
Jake Sisko/Nog,83.3,10.7,2.4,1.2,1.2,1.2
Ezri Dax/Kira Nerys,66.7,22.2,4.2,6.9,0.0,0.0
Jadzia Dax/Lenara Kahn,84.89999999999999,11.0,0.0,4.1000000000000005,0.0,0.0
Benjamin Sisko/Kasidy Yates,66.2,21.5,9.2,3.1,0.0,0.0
Kira Nerys/Skrain Dukat,54.800000000000004,24.2,3.2,3.2,14.499999999999998,0.0
Skrain Dukat/non-cast,42.1,42.1,3.5000000000000004,1.7999999999999998,10.5,0.0
Elim Garak/Julian Bashir/Kelas Parmak,85.39999999999999,14.6,0.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir,75.0,15.9,6.800000000000001,0.0,2.3,0.0
Benjamin Sisko/Kira Nerys,90.5,7.1,0.0,2.4,0.0,0.0
Elim Garak/Skrain Dukat,51.2,29.299999999999997,2.4,4.9,9.8,2.4
Elim Garak/Tora Ziyal,53.800000000000004,38.5,2.6,5.1,0.0,0.0
Corat Damar/Kira Nerys,71.39999999999999,11.4,14.299999999999999,2.9000000000000004,0.0,0.0
Kira Nerys/non-cast,66.7,19.400000000000002,8.3,0.0,5.6000000000000005,0.0
Skrain Dukat/Tora Naprem,60.6,27.3,6.1,3.0,3.0,0.0
Weyoun/non-cast,40.0,45.7,5.7,2.9000000000000004,5.7,0.0
Keiko O'Brien/Kira Nerys/Miles O'Brien,94.1,5.8999999999999995,0.0,0.0,0.0,0.0
Benjamin Sisko/Julian Bashir,90.9,6.1,0.0,0.0,3.0,0.0
Elim Garak/Odo,39.4,60.6,0.0,0.0,0.0,0.0
Total,76.3,17.7,2.3,2.0,1.7000000000000002,0.2
