relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage,Total
Elim Garak/Julian Bashir,3041,654,74,52,52,6,3879
Jadzia Dax/Kira Nerys,338,49,1,15,1,0,404
Odo/Quark,320,46,3,6,2,0,377
Kira Nerys/Odo,159,77,6,8,3,0,253
Jadzia Dax/Worf,104,34,4,9,1,0,152
Julian Bashir/non-cast,98,28,9,6,9,0,150
Keiko O'Brien/Miles O'Brien,105,16,3,1,1,0,126
Corat Damar/Weyoun,83,27,5,5,8,0,128
Elim Garak/Kelas Parmak,97,16,2,3,1,1,120
Ezri Dax/Julian Bashir,81,25,3,4,1,0,114
Julian Bashir/Miles O'Brien,87,8,3,1,1,0,100
Elim Garak/non-cast,53,24,11,0,5,2,95
Jake Sisko/Nog,70,9,2,1,1,1,84
Ezri Dax/Kira Nerys,48,16,3,5,0,0,72
Jadzia Dax/Lenara Kahn,62,8,0,3,0,0,73
Benjamin Sisko/Kasidy Yates,43,14,6,2,0,0,65
Kira Nerys/Skrain Dukat,34,15,2,2,9,0,62
Skrain Dukat/non-cast,24,24,2,1,6,0,57
Elim Garak/Julian Bashir/Kelas Parmak,41,7,0,0,0,0,48
Jadzia Dax/Julian Bashir,33,7,3,0,1,0,44
Benjamin Sisko/Kira Nerys,38,3,0,1,0,0,42
Elim Garak/Skrain Dukat,21,12,1,2,4,1,41
Elim Garak/Tora Ziyal,21,15,1,2,0,0,39
Corat Damar/Kira Nerys,25,4,5,1,0,0,35
Kira Nerys/non-cast,24,7,3,0,2,0,36
Skrain Dukat/Tora Naprem,20,9,2,1,1,0,33
Weyoun/non-cast,14,16,2,1,2,0,35
Keiko O'Brien/Kira Nerys/Miles O'Brien,32,2,0,0,0,0,34
Benjamin Sisko/Julian Bashir,30,2,0,0,1,0,33
Elim Garak/Odo,13,20,0,0,0,0,33
Total,5159,1194,156,132,112,11,6764
